VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2005,5.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2006,6.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2015,48.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2016,18.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--F,dcs:country/ALB,2017,10.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--M,dcs:country/ALB,2017,5.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2017,54.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17,dcs:country/ALB,2017,9.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17,dcs:country/ALB,2018,26.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--M,dcs:country/ALB,2018,18.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2018,81.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--F,dcs:country/ALB,2018,10.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--F,dcs:country/ALB,2019,10.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--M,dcs:country/ALB,2019,6.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2019,41.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17,dcs:country/ALB,2019,10.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--M,dcs:country/ALB,2020,5.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17,dcs:country/ALB,2020,8.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2020,39.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ALB,2021,84.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--M,dcs:country/DZA,2016,8.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18+SEX--F,dcs:country/DZA,2016,10.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18+SEX--M,dcs:country/DZA,2016,7.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/DZA,2016,32.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y0T17+SEX--F,dcs:country/DZA,2016,7.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ARG,2018,7.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18,dcs:country/ARG,2018,7.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18+SEX--F,dcs:country/ARG,2019,74.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18+SEX--M,dcs:country/ARG,2019,46.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ARG,2019,112.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18,dcs:country/ARG,2019,108.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18+SEX--F,dcs:country/ARG,2020,42.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP,dcs:country/ARG,2020,54.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_HTF_DETVOP:AGE--Y_GE18,dcs:country/ARG,2020,47.0,dcs:SDG_NUMBER,,dcs:SDG_C_G
