VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/ARG,2016,54.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/ARG,2016,41.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/ARG,2016,47.6,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/BEL,2018,74.25,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/BEL,2018,79.14,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/BEL,2018,69.7,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/BOL,2016,49.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/BOL,2016,51.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/BOL,2016,47.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/BOL,2017,58.0,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/BOL,2017,62.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/BOL,2017,60.1,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/BOL,2018,57.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/BOL,2018,59.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/BOL,2018,55.9,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/BOL,2019,68.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/BOL,2019,70.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/BOL,2019,69.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/BRA,2021,55.1,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/BRA,2021,41.1,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/BRA,2021,48.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--F,dcs:country/BGR,2020,18.6,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK,dcs:country/MMR,2019,83.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_SNS_WALN_DRK:SEX--M,dcs:country/MMR,2019,86.8,dcs:SDG_PT,,dcs:SDG_C_G
