VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/AFG,2015,1.1,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/AGO,2016,4.6,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/AZE,2006,0.09,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/BGD,2015,3.45,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/ARM,2016,0.052,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/MMR,2016,1.2,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--M,dcs:country/BDI,2017,0.2,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/BDI,2017,3.5,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/KHM,2014,1.704,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--M,dcs:country/CMR,2018,2.1,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/CMR,2018,7.2,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--F,dcs:country/TCD,2015,1.819,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/VC_VAW_SXVLN:AGE--Y18T29+SEX--M,dcs:country/COL,2015,0.3,dcs:SDG_PT,,dcs:SDG_CA_G
