VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_VOH_SXPH:SEX--F,dcs:country/AUT,2021,0.02,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH,dcs:country/GMB,2020,14.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--M,dcs:country/ISR,2014,2.89,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--F,dcs:country/ISR,2014,4.42,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH,dcs:country/ISR,2014,3.68,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--F,dcs:country/ISR,2015,5.43,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--M,dcs:country/ISR,2015,3.92,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH,dcs:country/ISR,2015,4.7,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH,dcs:country/ISR,2016,4.17,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--M,dcs:country/ISR,2016,3.53,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--F,dcs:country/ISR,2016,4.78,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH,dcs:country/ISR,2017,4.24,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--M,dcs:country/ISR,2017,3.25,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--F,dcs:country/ISR,2017,5.18,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH:SEX--M,dcs:country/ISR,2018,3.43,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOH_SXPH,dcs:country/ISR,2018,4.81,dcs:SDG_PT,,dcs:SDG_C_G
