VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/ARG,2016,5.2,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/ARG,2016,7.0,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/ARG,2016,6.2,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2009,0.8,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2009,0.6,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2009,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2010,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2010,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2010,0.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2011,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2011,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2011,0.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2012,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2012,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2012,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2013,0.2,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2013,0.6,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2013,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2014,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2014,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2014,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2015,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2015,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2015,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2016,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2016,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2016,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2017,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2017,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2017,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2018,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2018,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2018,0.2,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2019,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2019,0.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2019,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2020,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--F,dcs:country/AUS,2020,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2020,0.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB,dcs:country/AUS,2021,0.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/VC_VOV_ROBB:SEX--M,dcs:country/AUS,2021,0.3,dcs:SDG_PT,,dcs:SDG_C_G
