"Commodity Code","Country or Area Code","Country or Area","Transaction Code","Commodity - Transaction Code","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"BT","8","Albania","01","BT01","Bitumen - Production","2019","Metric tons,  thousand","104.58",""
"BT","8","Albania","01","BT01","Bitumen - Production","2018","Metric tons,  thousand","25.82",""
"BT","8","Albania","01","BT01","Bitumen - Production","2017","Metric tons,  thousand","77.1",""
"BT","8","Albania","01","BT01","Bitumen - Production","2016","Metric tons,  thousand","84",""
"BT","8","Albania","01","BT01","Bitumen - Production","2015","Metric tons,  thousand","83",""
"BT","8","Albania","01","BT01","Bitumen - Production","2014","Metric tons,  thousand","61.99",""
"BT","8","Albania","01","BT01","Bitumen - Production","2013","Metric tons,  thousand","28.69",""
"BT","8","Albania","01","BT01","Bitumen - Production","2012","Metric tons,  thousand","25.19",""
"BT","8","Albania","01","BT01","Bitumen - Production","2011","Metric tons,  thousand","25.89",""
"BT","8","Albania","01","BT01","Bitumen - Production","2010","Metric tons,  thousand","64.21",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2019","Metric tons,  thousand","104.58",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2018","Metric tons,  thousand","25.82",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2017","Metric tons,  thousand","77.1",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2016","Metric tons,  thousand","84",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2015","Metric tons,  thousand","83",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2014","Metric tons,  thousand","61.99",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2013","Metric tons,  thousand","28.69",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2012","Metric tons,  thousand","25.19",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2011","Metric tons,  thousand","25.89",""
"BT","8","Albania","013","BT013","Bitumen - production from refineries","2010","Metric tons,  thousand","64.21",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2019","Metric tons,  thousand","0.6",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2018","Metric tons,  thousand","0.46",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2017","Metric tons,  thousand","2",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2016","Metric tons,  thousand","1",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2015","Metric tons,  thousand","0",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2014","Metric tons,  thousand","1.9",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2013","Metric tons,  thousand","10.26",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2012","Metric tons,  thousand","7.45",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2011","Metric tons,  thousand","29.26",""
"BT","8","Albania","03","BT03","Bitumen - Imports","2010","Metric tons,  thousand","13.37",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2019","Metric tons,  thousand","68.4",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2018","Metric tons,  thousand","19.18",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2017","Metric tons,  thousand","51",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2016","Metric tons,  thousand","2",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2015","Metric tons,  thousand","57",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2014","Metric tons,  thousand","61.99",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2013","Metric tons,  thousand","28.69",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2012","Metric tons,  thousand","11.63",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2011","Metric tons,  thousand","21.15",""
"BT","8","Albania","04","BT04","Bitumen - Exports","2010","Metric tons,  thousand","0",""
"BT","8","Albania","06","BT06","Bitumen - Stock changes","2017","Metric tons,  thousand","10",""
"BT","8","Albania","06","BT06","Bitumen - Stock changes","2016","Metric tons,  thousand","15",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2019","Metric tons,  thousand","36.79",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2018","Metric tons,  thousand","7.1",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2017","Metric tons,  thousand","14.81",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2016","Metric tons,  thousand","68",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2015","Metric tons,  thousand","26",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2014","Metric tons,  thousand","1.91",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2013","Metric tons,  thousand","10.26",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2012","Metric tons,  thousand","21.01",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2011","Metric tons,  thousand","34.01",""
"BT","8","Albania","11","BT11","Bitumen - Non-energy uses","2010","Metric tons,  thousand","77.58",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2019","Metric tons,  thousand","36.78",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2018","Metric tons,  thousand","7.1",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2017","Metric tons,  thousand","18.1",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2016","Metric tons,  thousand","68",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2015","Metric tons,  thousand","26",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2014","Metric tons,  thousand","1.9",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2013","Metric tons,  thousand","10.26",""
