"Commodity Code","Country or Area Code","Country or Area","Transaction Code","Commodity - Transaction Code","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","8161",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","7330",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","7217",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","7691",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","6873",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","7869",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","7566",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","5821",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","7059",""
"EN","32","Argentina","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","6177",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","2494",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","2461",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","2553",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","2640",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","2716",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","2403",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","1998",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","2282",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","1987",""
"EN","51","Armenia","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","2005",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","47222",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","45568",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","48227",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","46645",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","47595",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","47312",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","47379",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","47360",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","46349",""
"EN","56","Belgium","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","48157",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","12957",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","13969",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","12350",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","13754",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","9855",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","11611",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","13358",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","13836",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","14279",""
"EN","76","Brazil","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","6046",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","15256",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","15765",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","14643",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","19493",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","18653",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","16815",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","17280",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","20222",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","19553",""
"EN","100","Bulgaria","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","18178",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","90091",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","96020",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","93482",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","97964",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","92040",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","90387",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","74892",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","75526",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","76695",""
"EN","124","Canada","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","72799",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","70134",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","68394",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","62130",""
