,Quarter,value,GeoId,NAICS
2,2005-03,2659.8,geoId/01,11
3,2005-03,2421.4,geoId/01,21
4,2005-03,3586.6,geoId/01,22
5,2005-03,7434.9,geoId/01,23
6,2005-03,27768.3,geoId/01,31-33
7,2005-03,16549.4,geoId/01,JOLTS_320000
8,2005-03,11218.9,geoId/01,JOLTS_340000
9,2005-03,8747.9,geoId/01,42
10,2005-03,11560.6,geoId/01,44-45
11,2005-03,3928.7,geoId/01,48-49
12,2005-03,5159.0,geoId/01,51
13,2005-03,9712.1,geoId/01,52
14,2005-03,13810.9,geoId/01,53
15,2005-03,8022.6,geoId/01,54
16,2005-03,992.9,geoId/01,55
17,2005-03,3409.7,geoId/01,56
18,2005-03,758.8,geoId/01,61
19,2005-03,9731.1,geoId/01,62
20,2005-03,533.0,geoId/01,71
21,2005-03,3453.0,geoId/01,72
22,2005-03,4228.1,geoId/01,81
26,2005-03,216.5,geoId/02,11
27,2005-03,8610.3,geoId/02,21
28,2005-03,431.2,geoId/02,22
29,2005-03,1979.2,geoId/02,23
30,2005-03,1278.4,geoId/02,31-33
31,2005-03,156.7,geoId/02,JOLTS_320000
32,2005-03,1121.7,geoId/02,JOLTS_340000
33,2005-03,869.5,geoId/02,42
34,2005-03,1843.5,geoId/02,44-45
35,2005-03,3255.6,geoId/02,48-49
36,2005-03,1004.1,geoId/02,51
37,2005-03,1265.9,geoId/02,52
38,2005-03,3035.4,geoId/02,53
39,2005-03,1246.3,geoId/02,54
40,2005-03,180.9,geoId/02,55
41,2005-03,667.0,geoId/02,56
42,2005-03,125.8,geoId/02,61
43,2005-03,2046.4,geoId/02,62
44,2005-03,172.3,geoId/02,71
45,2005-03,1019.2,geoId/02,72
46,2005-03,674.7,geoId/02,81
50,2005-03,2113.8,geoId/04,11
51,2005-03,2630.6,geoId/04,21
52,2005-03,4026.3,geoId/04,22
53,2005-03,16547.0,geoId/04,23
54,2005-03,20838.9,geoId/04,31-33
55,2005-03,18098.1,geoId/04,JOLTS_320000
56,2005-03,2740.8,geoId/04,JOLTS_340000
57,2005-03,12335.2,geoId/04,42
58,2005-03,17997.2,geoId/04,44-45
59,2005-03,6021.9,geoId/04,48-49
60,2005-03,6647.9,geoId/04,51
61,2005-03,17539.9,geoId/04,52
62,2005-03,32051.7,geoId/04,53
63,2005-03,11322.3,geoId/04,54
64,2005-03,1903.6,geoId/04,55
65,2005-03,9571.6,geoId/04,56
66,2005-03,1792.8,geoId/04,61
67,2005-03,13727.6,geoId/04,62
68,2005-03,1867.2,geoId/04,71
69,2005-03,7850.1,geoId/04,72
70,2005-03,4484.0,geoId/04,81
74,2005-03,2854.2,geoId/05,11
75,2005-03,624.7,geoId/05,21
76,2005-03,1837.3,geoId/05,22
77,2005-03,4231.8,geoId/05,23
78,2005-03,16425.9,geoId/05,31-33
79,2005-03,8622.9,geoId/05,JOLTS_320000
80,2005-03,7803.0,geoId/05,JOLTS_340000
81,2005-03,5991.8,geoId/05,42
82,2005-03,6463.0,geoId/05,44-45
83,2005-03,4153.3,geoId/05,48-49
84,2005-03,4068.1,geoId/05,51
85,2005-03,3744.8,geoId/05,52
86,2005-03,7514.2,geoId/05,53
87,2005-03,3072.6,geoId/05,54
88,2005-03,2002.7,geoId/05,55
89,2005-03,1776.4,geoId/05,56
90,2005-03,399.5,geoId/05,61
91,2005-03,6363.8,geoId/05,62
92,2005-03,281.3,geoId/05,71
93,2005-03,2092.8,geoId/05,72
94,2005-03,2135.4,geoId/05,81
98,2005-03,25770.7,geoId/06,11
99,2005-03,10432.1,geoId/06,21
100,2005-03,20806.2,geoId/06,22
101,2005-03,86660.0,geoId/06,23
102,2005-03,199996.5,geoId/06,31-33
103,2005-03,122758.1,geoId/06,JOLTS_320000
104,2005-03,77238.5,geoId/06,JOLTS_340000
105,2005-03,91376.0,geoId/06,42
106,2005-03,118537.7,geoId/06,44-45
107,2005-03,38348.3,geoId/06,48-49
108,2005-03,119543.8,geoId/06,51
109,2005-03,92999.5,geoId/06,52
110,2005-03,278276.8,geoId/06,53
111,2005-03,128459.9,geoId/06,54
112,2005-03,24836.2,geoId/06,55
113,2005-03,49688.3,geoId/06,56
114,2005-03,14745.9,geoId/06,61
115,2005-03,88519.9,geoId/06,62
116,2005-03,23948.1,geoId/06,71
117,2005-03,44742.9,geoId/06,72
118,2005-03,41086.4,geoId/06,81
122,2005-03,2243.2,geoId/08,11
123,2005-03,7529.3,geoId/08,21
124,2005-03,2838.9,geoId/08,22
125,2005-03,12722.0,geoId/08,23
126,2005-03,16241.2,geoId/08,31-33
127,2005-03,10522.0,geoId/08,JOLTS_320000
128,2005-03,5719.2,geoId/08,JOLTS_340000
129,2005-03,11337.9,geoId/08,42
130,2005-03,13217.6,geoId/08,44-45
131,2005-03,6369.9,geoId/08,48-49
132,2005-03,16994.9,geoId/08,51
133,2005-03,12771.9,geoId/08,52
134,2005-03,29968.0,geoId/08,53
135,2005-03,17093.3,geoId/08,54
136,2005-03,3293.4,geoId/08,55
137,2005-03,6931.1,geoId/08,56
138,2005-03,1513.8,geoId/08,61
139,2005-03,11504.4,geoId/08,62
140,2005-03,2287.1,geoId/08,71
141,2005-03,6892.0,geoId/08,72
142,2005-03,5400.2,geoId/08,81
146,2005-03,359.3,geoId/09,11
147,2005-03,112.7,geoId/09,21
148,2005-03,3829.3,geoId/09,22
149,2005-03,7190.8,geoId/09,23
150,2005-03,32055.4,geoId/09,31-33
151,2005-03,15538.5,geoId/09,JOLTS_320000
152,2005-03,16516.8,geoId/09,JOLTS_340000
153,2005-03,10778.6,geoId/09,42
154,2005-03,11796.3,geoId/09,44-45
155,2005-03,3259.9,geoId/09,48-49
156,2005-03,8443.8,geoId/09,51
157,2005-03,30018.4,geoId/09,52
158,2005-03,28045.0,geoId/09,53
159,2005-03,13248.5,geoId/09,54
160,2005-03,4273.7,geoId/09,55
161,2005-03,5069.2,geoId/09,56
162,2005-03,3160.8,geoId/09,61
163,2005-03,13967.8,geoId/09,62
164,2005-03,2052.5,geoId/09,71
165,2005-03,3764.5,geoId/09,72
166,2005-03,4372.7,geoId/09,81
170,2005-03,423.9,geoId/10,11
171,2005-03,(D),geoId/10,21
172,2005-03,650.3,geoId/10,22
173,2005-03,(D),geoId/10,23
174,2005-03,4121.9,geoId/10,31-33
175,2005-03,1218.2,geoId/10,JOLTS_320000
176,2005-03,2903.7,geoId/10,JOLTS_340000
177,2005-03,2014.4,geoId/10,42
178,2005-03,2351.5,geoId/10,44-45
179,2005-03,684.3,geoId/10,48-49
180,2005-03,998.8,geoId/10,51
181,2005-03,14707.7,geoId/10,52
182,2005-03,6926.0,geoId/10,53
183,2005-03,3382.8,geoId/10,54
184,2005-03,1309.3,geoId/10,55
185,2005-03,1025.5,geoId/10,56
186,2005-03,287.4,geoId/10,61
187,2005-03,2817.4,geoId/10,62
188,2005-03,347.5,geoId/10,71
189,2005-03,1042.2,geoId/10,72
190,2005-03,851.0,geoId/10,81
194,2005-03,0.4,geoId/11,11
195,2005-03,(D),geoId/11,21
196,2005-03,967.8,geoId/11,22
197,2005-03,(D),geoId/11,23
198,2005-03,297.8,geoId/11,31-33
199,2005-03,127.2,geoId/11,JOLTS_320000
200,2005-03,170.7,geoId/11,JOLTS_340000
201,2005-03,711.0,geoId/11,42
202,2005-03,990.6,geoId/11,44-45
203,2005-03,289.7,geoId/11,48-49
204,2005-03,6300.4,geoId/11,51
205,2005-03,2988.6,geoId/11,52
206,2005-03,6378.1,geoId/11,53
207,2005-03,17078.5,geoId/11,54
208,2005-03,332.0,geoId/11,55
209,2005-03,2131.6,geoId/11,56
210,2005-03,2605.3,geoId/11,61
211,2005-03,3550.0,geoId/11,62
212,2005-03,681.1,geoId/11,71
213,2005-03,2604.0,geoId/11,72
214,2005-03,5342.1,geoId/11,81
218,2005-03,6491.8,geoId/12,11
219,2005-03,958.0,geoId/12,21
220,2005-03,10179.0,geoId/12,22
221,2005-03,52799.0,geoId/12,23
222,2005-03,35703.4,geoId/12,31-33
223,2005-03,24225.9,geoId/12,JOLTS_320000
224,2005-03,11477.5,geoId/12,JOLTS_340000
225,2005-03,45295.4,geoId/12,42
226,2005-03,53743.6,geoId/12,44-45
227,2005-03,18417.8,geoId/12,48-49
228,2005-03,32893.9,geoId/12,51
229,2005-03,36770.8,geoId/12,52
230,2005-03,111553.4,geoId/12,53
231,2005-03,46689.8,geoId/12,54
232,2005-03,9347.5,geoId/12,55
233,2005-03,31442.9,geoId/12,56
234,2005-03,5440.8,geoId/12,61
235,2005-03,47414.1,geoId/12,62
236,2005-03,9382.3,geoId/12,71
237,2005-03,27741.1,geoId/12,72
238,2005-03,19036.7,geoId/12,81
242,2005-03,3680.8,geoId/13,11
243,2005-03,1302.8,geoId/13,21
244,2005-03,6078.9,geoId/13,22
245,2005-03,20453.5,geoId/13,23
246,2005-03,46449.5,geoId/13,31-33
247,2005-03,17976.4,geoId/13,JOLTS_320000
248,2005-03,28473.1,geoId/13,JOLTS_340000
249,2005-03,28770.3,geoId/13,42
250,2005-03,23175.6,geoId/13,44-45
251,2005-03,13501.7,geoId/13,48-49
252,2005-03,35442.6,geoId/13,51
253,2005-03,24537.2,geoId/13,52
254,2005-03,46999.1,geoId/13,53
255,2005-03,21471.6,geoId/13,54
256,2005-03,5812.4,geoId/13,55
257,2005-03,12416.8,geoId/13,56
258,2005-03,3312.5,geoId/13,61
259,2005-03,20020.0,geoId/13,62
260,2005-03,1988.3,geoId/13,71
261,2005-03,10054.6,geoId/13,72
262,2005-03,7757.9,geoId/13,81
266,2005-03,443.2,geoId/15,11
267,2005-03,37.3,geoId/15,21
268,2005-03,1044.3,geoId/15,22
269,2005-03,3507.6,geoId/15,23
270,2005-03,1124.7,geoId/15,31-33
271,2005-03,266.3,geoId/15,JOLTS_320000
272,2005-03,858.5,geoId/15,JOLTS_340000
273,2005-03,1921.9,geoId/15,42
274,2005-03,4293.7,geoId/15,44-45
275,2005-03,2516.6,geoId/15,48-49
276,2005-03,1489.7,geoId/15,51
277,2005-03,2222.4,geoId/15,52
278,2005-03,10466.4,geoId/15,53
279,2005-03,2398.2,geoId/15,54
280,2005-03,691.5,geoId/15,55
281,2005-03,1631.1,geoId/15,56
282,2005-03,613.6,geoId/15,61
283,2005-03,3332.3,geoId/15,62
284,2005-03,614.5,geoId/15,71
285,2005-03,5540.4,geoId/15,72
286,2005-03,1452.1,geoId/15,81
290,2005-03,2314.0,geoId/16,11
291,2005-03,425.8,geoId/16,21
292,2005-03,613.1,geoId/16,22
293,2005-03,2880.4,geoId/16,23
294,2005-03,6716.8,geoId/16,31-33
295,2005-03,5290.1,geoId/16,JOLTS_320000
296,2005-03,1426.7,geoId/16,JOLTS_340000
297,2005-03,2608.1,geoId/16,42
298,2005-03,4116.2,geoId/16,44-45
299,2005-03,1274.5,geoId/16,48-49
300,2005-03,1200.4,geoId/16,51
301,2005-03,1997.6,geoId/16,52
302,2005-03,5427.5,geoId/16,53
303,2005-03,2490.4,geoId/16,54
304,2005-03,750.2,geoId/16,55
305,2005-03,1553.7,geoId/16,56
306,2005-03,301.3,geoId/16,61
307,2005-03,2962.9,geoId/16,62
308,2005-03,291.7,geoId/16,71
309,2005-03,1140.8,geoId/16,72
310,2005-03,970.5,geoId/16,81
314,2005-03,2804.9,geoId/17,11
315,2005-03,1413.6,geoId/17,21
316,2005-03,10601.2,geoId/17,22
317,2005-03,29569.0,geoId/17,23
318,2005-03,80526.6,geoId/17,31-33
319,2005-03,44875.1,geoId/17,JOLTS_320000
320,2005-03,35651.5,geoId/17,JOLTS_340000
321,2005-03,40606.5,geoId/17,42
322,2005-03,33196.0,geoId/17,44-45
323,2005-03,19600.6,geoId/17,48-49
324,2005-03,23124.6,geoId/17,51
325,2005-03,54412.3,geoId/17,52
326,2005-03,71989.4,geoId/17,53
327,2005-03,43144.9,geoId/17,54
328,2005-03,12873.1,geoId/17,55
329,2005-03,17549.2,geoId/17,56
330,2005-03,6636.7,geoId/17,61
331,2005-03,36527.7,geoId/17,62
332,2005-03,4900.6,geoId/17,71
333,2005-03,13137.7,geoId/17,72
334,2005-03,14435.0,geoId/17,81
338,2005-03,2064.2,geoId/18,11
339,2005-03,843.7,geoId/18,21
340,2005-03,4077.2,geoId/18,22
341,2005-03,11044.9,geoId/18,23
342,2005-03,69899.2,geoId/18,31-33
343,2005-03,44168.8,geoId/18,JOLTS_320000
344,2005-03,25730.5,geoId/18,JOLTS_340000
345,2005-03,13205.1,geoId/18,42
346,2005-03,15481.5,geoId/18,44-45
347,2005-03,7973.9,geoId/18,48-49
348,2005-03,5909.2,geoId/18,51
349,2005-03,13290.0,geoId/18,52
350,2005-03,22618.4,geoId/18,53
351,2005-03,8424.7,geoId/18,54
352,2005-03,2658.6,geoId/18,55
353,2005-03,6226.2,geoId/18,56
354,2005-03,2108.5,geoId/18,61
355,2005-03,16714.1,geoId/18,62
356,2005-03,2997.0,geoId/18,71
357,2005-03,5449.6,geoId/18,72
358,2005-03,6148.2,geoId/18,81
362,2005-03,5260.0,geoId/19,11
363,2005-03,241.4,geoId/19,21
364,2005-03,2161.7,geoId/19,22
365,2005-03,4950.9,geoId/19,23
366,2005-03,24381.9,geoId/19,31-33
367,2005-03,14065.7,geoId/19,JOLTS_320000
368,2005-03,10316.3,geoId/19,JOLTS_340000
369,2005-03,6510.6,geoId/19,42
370,2005-03,7268.9,geoId/19,44-45
371,2005-03,4011.8,geoId/19,48-49
372,2005-03,4010.5,geoId/19,51
373,2005-03,16608.3,geoId/19,52
374,2005-03,11213.1,geoId/19,53
375,2005-03,3240.5,geoId/19,54
376,2005-03,967.7,geoId/19,55
377,2005-03,2259.0,geoId/19,56
378,2005-03,1124.4,geoId/19,61
379,2005-03,7555.5,geoId/19,62
380,2005-03,731.8,geoId/19,71
381,2005-03,2465.2,geoId/19,72
382,2005-03,2658.4,geoId/19,81
386,2005-03,3442.0,geoId/20,11
387,2005-03,1365.1,geoId/20,21
388,2005-03,1646.9,geoId/20,22
389,2005-03,4214.8,geoId/20,23
390,2005-03,15586.9,geoId/20,31-33
391,2005-03,9184.2,geoId/20,JOLTS_320000
392,2005-03,6402.7,geoId/20,JOLTS_340000
393,2005-03,6581.9,geoId/20,42
394,2005-03,7420.2,geoId/20,44-45
395,2005-03,3782.2,geoId/20,48-49
396,2005-03,6430.0,geoId/20,51
397,2005-03,5271.6,geoId/20,52
398,2005-03,9633.0,geoId/20,53
399,2005-03,4543.1,geoId/20,54
400,2005-03,1044.5,geoId/20,55
401,2005-03,2934.7,geoId/20,56
402,2005-03,619.8,geoId/20,61
403,2005-03,7335.3,geoId/20,62
404,2005-03,483.6,geoId/20,71
405,2005-03,2766.9,geoId/20,72
406,2005-03,2812.8,geoId/20,81
410,2005-03,2206.0,geoId/21,11
