,Quarter,value,GeoId,NAICS
4,2005-03,3586.6,geoId/01,22
28,2005-03,431.2,geoId/02,22
52,2005-03,4026.3,geoId/04,22
76,2005-03,1837.3,geoId/05,22
100,2005-03,20806.2,geoId/06,22
124,2005-03,2838.9,geoId/08,22
148,2005-03,3829.3,geoId/09,22
172,2005-03,650.3,geoId/10,22
196,2005-03,967.8,geoId/11,22
220,2005-03,10179.0,geoId/12,22
244,2005-03,6078.9,geoId/13,22
268,2005-03,1044.3,geoId/15,22
292,2005-03,613.1,geoId/16,22
316,2005-03,10601.2,geoId/17,22
340,2005-03,4077.2,geoId/18,22
364,2005-03,2161.7,geoId/19,22
388,2005-03,1646.9,geoId/20,22
412,2005-03,2036.6,geoId/21,22
436,2005-03,3489.6,geoId/22,22
460,2005-03,771.2,geoId/23,22
484,2005-03,3722.3,geoId/24,22
508,2005-03,3612.8,geoId/25,22
532,2005-03,5828.9,geoId/26,22
556,2005-03,2878.9,geoId/27,22
580,2005-03,1895.0,geoId/28,22
604,2005-03,2883.1,geoId/29,22
628,2005-03,645.5,geoId/30,22
652,2005-03,618.6,geoId/31,22
676,2005-03,1674.6,geoId/32,22
700,2005-03,921.0,geoId/33,22
724,2005-03,7172.8,geoId/34,22
748,2005-03,966.4,geoId/35,22
772,2005-03,15532.0,geoId/36,22
796,2005-03,4516.2,geoId/37,22
820,2005-03,576.9,geoId/38,22
844,2005-03,6323.7,geoId/39,22
868,2005-03,2314.7,geoId/40,22
892,2005-03,1549.1,geoId/41,22
916,2005-03,9020.3,geoId/42,22
940,2005-03,543.0,geoId/44,22
964,2005-03,3292.1,geoId/45,22
988,2005-03,402.9,geoId/46,22
1012,2005-03,1352.5,geoId/47,22
1036,2005-03,18555.1,geoId/48,22
1060,2005-03,1033.3,geoId/49,22
1084,2005-03,483.6,geoId/50,22
1108,2005-03,4078.4,geoId/51,22
1132,2005-03,2953.6,geoId/53,22
1156,2005-03,1292.9,geoId/54,22
1180,2005-03,3463.4,geoId/55,22
1204,2005-03,548.4,geoId/56,22
1228,2005-06,3730.0,geoId/01,22
1252,2005-06,434.4,geoId/02,22
1276,2005-06,3645.9,geoId/04,22
1300,2005-06,1729.0,geoId/05,22
1324,2005-06,19572.0,geoId/06,22
1348,2005-06,2889.1,geoId/08,22
1372,2005-06,3585.0,geoId/09,22
1396,2005-06,583.9,geoId/10,22
1420,2005-06,950.6,geoId/11,22
1444,2005-06,10366.5,geoId/12,22
1468,2005-06,6074.2,geoId/13,22
1492,2005-06,1003.4,geoId/15,22
1516,2005-06,573.8,geoId/16,22
1540,2005-06,9699.7,geoId/17,22
1564,2005-06,4051.0,geoId/18,22
1588,2005-06,2063.0,geoId/19,22
1612,2005-06,1705.2,geoId/20,22
1636,2005-06,2018.5,geoId/21,22
1660,2005-06,3417.4,geoId/22,22
1684,2005-06,708.6,geoId/23,22
1708,2005-06,3291.1,geoId/24,22
1732,2005-06,3402.4,geoId/25,22
1756,2005-06,5882.2,geoId/26,22
1780,2005-06,3077.7,geoId/27,22
1804,2005-06,1829.9,geoId/28,22
1828,2005-06,2892.8,geoId/29,22
1852,2005-06,639.9,geoId/30,22
1876,2005-06,562.0,geoId/31,22
1900,2005-06,1668.8,geoId/32,22
1924,2005-06,942.4,geoId/33,22
1948,2005-06,6786.6,geoId/34,22
1972,2005-06,971.8,geoId/35,22
1996,2005-06,15366.1,geoId/36,22
2020,2005-06,4477.4,geoId/37,22
2044,2005-06,566.6,geoId/38,22
2068,2005-06,6228.9,geoId/39,22
2092,2005-06,2385.8,geoId/40,22
2116,2005-06,1697.2,geoId/41,22
2140,2005-06,8501.5,geoId/42,22
2164,2005-06,509.4,geoId/44,22
2188,2005-06,3281.0,geoId/45,22
2212,2005-06,454.0,geoId/46,22
2236,2005-06,1337.7,geoId/47,22
2260,2005-06,19644.1,geoId/48,22
2284,2005-06,1043.8,geoId/49,22
2308,2005-06,434.1,geoId/50,22
2332,2005-06,4570.9,geoId/51,22
2356,2005-06,3119.6,geoId/53,22
2380,2005-06,1402.9,geoId/54,22
2404,2005-06,3345.4,geoId/55,22
2428,2005-06,539.1,geoId/56,22
2452,2005-09,4008.8,geoId/01,22
2476,2005-09,448.1,geoId/02,22
2500,2005-09,3853.6,geoId/04,22
2524,2005-09,2036.9,geoId/05,22
2548,2005-09,21213.1,geoId/06,22
2572,2005-09,2801.4,geoId/08,22
2596,2005-09,3637.8,geoId/09,22
2620,2005-09,621.1,geoId/10,22
2644,2005-09,1009.7,geoId/11,22
2668,2005-09,11280.7,geoId/12,22
2692,2005-09,6637.9,geoId/13,22
2716,2005-09,1034.0,geoId/15,22
2740,2005-09,621.1,geoId/16,22
2764,2005-09,9983.6,geoId/17,22
2788,2005-09,4437.2,geoId/18,22
2812,2005-09,2185.7,geoId/19,22
2836,2005-09,1788.4,geoId/20,22
2860,2005-09,2186.5,geoId/21,22
2884,2005-09,3929.0,geoId/22,22
2908,2005-09,727.2,geoId/23,22
2932,2005-09,3808.5,geoId/24,22
2956,2005-09,3478.0,geoId/25,22
2980,2005-09,6010.5,geoId/26,22
3004,2005-09,3106.1,geoId/27,22
3028,2005-09,2200.0,geoId/28,22
3052,2005-09,3217.6,geoId/29,22
3076,2005-09,713.1,geoId/30,22
3100,2005-09,559.4,geoId/31,22
3124,2005-09,1689.0,geoId/32,22
3148,2005-09,987.2,geoId/33,22
3172,2005-09,7140.3,geoId/34,22
3196,2005-09,1013.5,geoId/35,22
3220,2005-09,15875.8,geoId/36,22
3244,2005-09,4654.0,geoId/37,22
3268,2005-09,617.8,geoId/38,22
3292,2005-09,6671.0,geoId/39,22
3316,2005-09,2616.2,geoId/40,22
3340,2005-09,1772.3,geoId/41,22
3364,2005-09,8511.2,geoId/42,22
3388,2005-09,538.7,geoId/44,22
3412,2005-09,3551.4,geoId/45,22
3436,2005-09,461.3,geoId/46,22
3460,2005-09,1409.6,geoId/47,22
3484,2005-09,19864.2,geoId/48,22
3508,2005-09,1238.5,geoId/49,22
3532,2005-09,457.3,geoId/50,22
3556,2005-09,4490.6,geoId/51,22
3580,2005-09,3156.6,geoId/53,22
3604,2005-09,1455.0,geoId/54,22
3628,2005-09,3684.4,geoId/55,22
3652,2005-09,617.5,geoId/56,22
3676,2005-12,3970.7,geoId/01,22
3700,2005-12,476.5,geoId/02,22
3724,2005-12,4203.3,geoId/04,22
3748,2005-12,2274.2,geoId/05,22
3772,2005-12,22354.3,geoId/06,22
3796,2005-12,2977.7,geoId/08,22
3820,2005-12,3568.5,geoId/09,22
3844,2005-12,677.5,geoId/10,22
3868,2005-12,1085.0,geoId/11,22
3892,2005-12,13189.5,geoId/12,22
3916,2005-12,6777.0,geoId/13,22
3940,2005-12,1135.2,geoId/15,22
3964,2005-12,597.4,geoId/16,22
3988,2005-12,10172.1,geoId/17,22
4012,2005-12,4816.4,geoId/18,22
4036,2005-12,2304.0,geoId/19,22
4060,2005-12,1807.9,geoId/20,22
4084,2005-12,2262.9,geoId/21,22
4108,2005-12,4074.9,geoId/22,22
4132,2005-12,765.3,geoId/23,22
4156,2005-12,3900.2,geoId/24,22
4180,2005-12,3797.0,geoId/25,22
4204,2005-12,6635.7,geoId/26,22
4228,2005-12,3371.4,geoId/27,22
4252,2005-12,2391.2,geoId/28,22
4276,2005-12,3494.7,geoId/29,22
4300,2005-12,710.5,geoId/30,22
4324,2005-12,561.4,geoId/31,22
4348,2005-12,1922.5,geoId/32,22
4372,2005-12,1076.6,geoId/33,22
4396,2005-12,7435.9,geoId/34,22
4420,2005-12,1024.7,geoId/35,22
4444,2005-12,16582.2,geoId/36,22
4468,2005-12,4712.1,geoId/37,22
4492,2005-12,667.4,geoId/38,22
4516,2005-12,6750.3,geoId/39,22
4540,2005-12,2716.6,geoId/40,22
4564,2005-12,1571.6,geoId/41,22
4588,2005-12,9312.3,geoId/42,22
4612,2005-12,597.2,geoId/44,22
4636,2005-12,3831.9,geoId/45,22
4660,2005-12,495.3,geoId/46,22
4684,2005-12,1391.4,geoId/47,22
4708,2005-12,21111.4,geoId/48,22
4732,2005-12,1004.6,geoId/49,22
4756,2005-12,562.6,geoId/50,22
4780,2005-12,4671.1,geoId/51,22
4804,2005-12,3103.5,geoId/53,22
4828,2005-12,1474.1,geoId/54,22
4852,2005-12,3640.1,geoId/55,22
4876,2005-12,575.2,geoId/56,22
4900,2006-03,4397.9,geoId/01,22
4924,2006-03,488.7,geoId/02,22
4948,2006-03,4272.8,geoId/04,22
4972,2006-03,1993.8,geoId/05,22
4996,2006-03,24383.0,geoId/06,22
5020,2006-03,3060.9,geoId/08,22
5044,2006-03,4162.9,geoId/09,22
5068,2006-03,797.5,geoId/10,22
5092,2006-03,1009.3,geoId/11,22
5116,2006-03,12834.1,geoId/12,22
5140,2006-03,7240.7,geoId/13,22
5164,2006-03,1172.4,geoId/15,22
5188,2006-03,712.2,geoId/16,22
5212,2006-03,10490.2,geoId/17,22
5236,2006-03,4635.0,geoId/18,22
5260,2006-03,2486.1,geoId/19,22
5284,2006-03,1755.6,geoId/20,22
5308,2006-03,2328.8,geoId/21,22
5332,2006-03,3640.4,geoId/22,22
5356,2006-03,847.9,geoId/23,22
5380,2006-03,4292.7,geoId/24,22
5404,2006-03,4657.5,geoId/25,22
5428,2006-03,6708.0,geoId/26,22
5452,2006-03,3276.8,geoId/27,22
5476,2006-03,2222.8,geoId/28,22
5500,2006-03,3354.0,geoId/29,22
5524,2006-03,740.2,geoId/30,22
5548,2006-03,701.0,geoId/31,22
5572,2006-03,1944.5,geoId/32,22
5596,2006-03,892.0,geoId/33,22
5620,2006-03,7556.0,geoId/34,22
