GeoId,YEAR,Count_Jurisdiction_WhiteAlone_Female,Count_Jurisdiction_WhiteAlone_Male,Count_Jurisdiction_WhiteAlone,Count_Jurisdiction_BlackOrAfricanAmericanAlone_Female,Count_Jurisdiction_BlackOrAfricanAmericanAlone_Male,Count_Jurisdiction_BlackOrAfricanAmericanAlone,Count_Jurisdiction_HispanicOrLatino_Female,Count_Jurisdiction_HispanicOrLatino_Male,Count_Jurisdiction_HispanicOrLatino,Count_Jurisdiction_AmericanIndianOrAlaskaNativeAlone_Female,Count_Jurisdiction_AmericanIndianOrAlaskaNativeAlone_Male,Count_Jurisdiction_AmericanIndianOrAlaskaNativeAlone,Count_Jurisdiction_AsianAlone_Female,Count_Jurisdiction_AsianAlone_Male,Count_Jurisdiction_AsianAlone,Count_Jurisdiction_NativeHawaiianOrOtherPacificIslanderAlone_Female,Count_Jurisdiction_NativeHawaiianOrOtherPacificIslanderAlone_Male,Count_Jurisdiction_NativeHawaiianOrOtherPacificIslanderAlone,Count_Jurisdiction_TwoOrMoreRaces_Female,Count_Jurisdiction_TwoOrMoreRaces_Male,Count_Jurisdiction_TwoOrMoreRaces,Count_Jurisdiction_Death_Female,Count_Jurisdiction_Death_Male,Count_Jurisdiction_Death,Count_Jurisdiction_DeathByJudicialExecution_Female,Count_Jurisdiction_DeathByJudicialExecution_Male,Count_Jurisdiction_DeathByJudicialExecution,Count_Jurisdiction_DeathByIllnessOrNaturalCause_Female,Count_Jurisdiction_DeathByIllnessOrNaturalCause_Male,Count_Jurisdiction_DeathByIllnessOrNaturalCause,Count_Jurisdiction_DeathByAIDS_Female,Count_Jurisdiction_DeathByAIDS_Male,Count_Jurisdiction_DeathByAIDS,Count_Jurisdiction_DeathByIntentionalSelf-Harm(Suicide)_Female,Count_Jurisdiction_DeathByIntentionalSelf-Harm(Suicide)_Male,Count_Jurisdiction_DeathByIntentionalSelf-Harm(Suicide),Count_Jurisdiction_DeathByAccidents(UnintentionalInjuries)_Female,Count_Jurisdiction_DeathByAccidents(UnintentionalInjuries)_Male,Count_Jurisdiction_DeathByAccidents(UnintentionalInjuries),Count_Jurisdiction_DeathByDeathDueToAnotherPerson_Female,Count_Jurisdiction_DeathByDeathDueToAnotherPerson_Male,Count_Jurisdiction_DeathByDeathDueToAnotherPerson,Count_Jurisdiction_DeathByAssault(Homicide)_Female,Count_Jurisdiction_DeathByAssault(Homicide)_Male,Count_Jurisdiction_DeathByAssault(Homicide),Count_Jurisdiction_DeathByNPSOtherCauseOfDeath_Female,Count_Jurisdiction_DeathByNPSOtherCauseOfDeath_Male,Count_Jurisdiction_DeathByNPSOtherCauseOfDeath,Count_Jurisdiction_AdmittedToPrison_Female,Count_Jurisdiction_AdmittedToPrison_Male,Count_Jurisdiction_AdmittedToPrison,Count_Jurisdiction_ReleasedFromPrison_Female,Count_Jurisdiction_ReleasedFromPrison_Male,Count_Jurisdiction_ReleasedFromPrison,Count_Jurisdiction_MaxSentenceGreaterThan1Year_Female,Count_Jurisdiction_MaxSentenceGreaterThan1Year_Male,Count_Jurisdiction_MaxSentenceGreaterThan1Year,Count_Jurisdiction_MaxSentence1YearOrLess_Female,Count_Jurisdiction_MaxSentence1YearOrLess_Male,Count_Jurisdiction_MaxSentence1YearOrLess,Count_Jurisdiction_Unsentenced_Female,Count_Jurisdiction_Unsentenced_Male,Count_Jurisdiction_Unsentenced,Count_Jurisdiction_PrivatelyOperatedInStateFacility_Female,Count_Jurisdiction_PrivatelyOperatedInStateFacility_Male,Count_Jurisdiction_PrivatelyOperatedInStateFacility,Count_Jurisdiction_PrivatelyOperatedOutOfStateFacility_Female,Count_Jurisdiction_PrivatelyOperatedOutOfStateFacility_Male,Count_Jurisdiction_PrivatelyOperatedOutOfStateFacility,Count_Jurisdiction_LocallyOperatedLocalFacility_Female,Count_Jurisdiction_LocallyOperatedLocalFacility_Male,Count_Jurisdiction_LocallyOperatedLocalFacility,Count_Jurisdiction_FederallyOperatedFacility_Female,Count_Jurisdiction_FederallyOperatedFacility_Male,Count_Jurisdiction_FederallyOperatedFacility,Count_Jurisdiction_StateOperatedOutOfStateFacility_Female,Count_Jurisdiction_StateOperatedOutOfStateFacility_Male,Count_Jurisdiction_StateOperatedOutOfStateFacility,Count_Custody_NotAUSCitizen_Female,Count_Custody_NotAUSCitizen_Male,Count_Custody_NotAUSCitizen,Count_Custody_NotAUSCitizen_MaxSentenceGreaterThan1Year_Female,Count_Custody_NotAUSCitizen_MaxSentenceGreaterThan1Year_Male,Count_Custody_NotAUSCitizen_MaxSentenceGreaterThan1Year,Count_Custody_NotAUSCitizen_MaxSentence1YearOrLess_Female,Count_Custody_NotAUSCitizen_MaxSentence1YearOrLess_Male,Count_Custody_NotAUSCitizen_MaxSentence1YearOrLess,Count_Custody_NotAUSCitizen_Unsentenced_Female,Count_Custody_NotAUSCitizen_Unsentenced_Male,Count_Custody_NotAUSCitizen_Unsentenced,Count_Custody_Under18_Female,Count_Custody_Under18_Male,Count_Custody_Under18,Count_Jurisdiction_Female,Count_Jurisdiction_Male,Count_Jurisdiction
geoId/01,1978,100.0,2097.0,2197.0,158.0,3116.0,3274.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,3.0,7.0,10.0,,,,0.0,2.0,2.0,0.0,1.0,1.0,0.0,6.0,6.0,,,,0.0,0.0,0.0,184.0,2631.0,2815.0,161.0,2823.0,2984.0,244.0,5285.0,5529.0,13.0,83.0,96.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,5368.0,5625.0
geoId/02,1978,22.0,441.0,463.0,9.0,176.0,185.0,,,,3.0,54.0,57.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,10.0,270.0,280.0,9.0,313.0,322.0,22.0,468.0,490.0,6.0,57.0,63.0,6.0,153.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,678.0,712.0
geoId/04,1978,124.0,2478.0,2602.0,42.0,641.0,683.0,38.0,874.0,912.0,6.0,91.0,97.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,,,,0.0,0.0,0.0,134.0,1774.0,1908.0,141.0,1546.0,1687.0,180.0,3270.0,3450.0,1.0,5.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,3275.0,3456.0
geoId/05,1978,45.0,1207.0,1252.0,49.0,1304.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,107.0,1868.0,1975.0,107.0,1801.0,1908.0,98.0,2480.0,2578.0,3.0,73.0,76.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,2553.0,2654.0
geoId/06,1978,732.0,12968.0,13700.0,379.0,6743.0,7122.0,,,,29.0,193.0,222.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,43.0,44.0,725.0,11694.0,12419.0,549.0,9658.0,10207.0,847.0,18703.0,19550.0,0.0,0.0,0.0,300.0,1475.0,1775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.0,20178.0,21325.0
geoId/08,1978,46.0,1862.0,1908.0,18.0,533.0,551.0,13.0,677.0,690.0,2.0,16.0,18.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,0.0,3.0,3.0,64.0,1458.0,1522.0,70.0,1302.0,1372.0,66.0,2408.0,2474.0,1.0,11.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,2419.0,2486.0
geoId/09,1978,69.0,2007.0,2076.0,60.0,1351.0,1411.0,10.0,443.0,453.0,0.0,2.0,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,143.0,1960.0,2103.0,155.0,1561.0,1716.0,75.0,1788.0,1863.0,38.0,381.0,419.0,32.0,875.0,907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,3044.0,3189.0
geoId/10,1978,25.0,555.0,580.0,39.0,706.0,745.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,32.0,661.0,693.0,25.0,483.0,508.0,48.0,957.0,1005.0,10.0,127.0,137.0,6.0,177.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1261.0,1325.0
geoId/11,1978,5.0,84.0,89.0,54.0,2672.0,2726.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,5.0,5.0,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,,,,0.0,0.0,0.0,185.0,3443.0,3628.0,175.0,3160.0,3335.0,52.0,2478.0,2530.0,24.0,240.0,264.0,4.0,66.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,2784.0,2864.0
geoId/12,1978,303.0,9775.0,10078.0,534.0,10156.0,10690.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,25.0,26.0,,,,0.0,16.0,16.0,0.0,0.0,0.0,0.0,8.0,8.0,,,,0.0,0.0,0.0,409.0,8479.0,8888.0,450.0,7291.0,7741.0,856.0,20387.0,21243.0,8.0,185.0,193.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0,20572.0,21436.0
