date,cpi
1913-01,9.8
1913-02,9.8
1913-03,9.8
1913-04,9.8
1913-05,9.7
1913-06,9.8
1913-07,9.9
1913-08,9.9
1913-09,10.0
1913-10,10.0
1913-11,10.1
1913-12,10.0
1914-01,10.0
1914-02,9.9
1914-03,9.9
1914-04,9.8
1914-05,9.9
1914-06,9.9
1914-07,10.0
1914-08,10.2
1914-09,10.2
1914-10,10.1
1914-11,10.2
1914-12,10.1
1915-01,10.1
1915-02,10.0
1915-03,9.9
1915-04,10.0
1915-05,10.1
1915-06,10.1
1915-07,10.1
1915-08,10.1
1915-09,10.1
1915-10,10.2
1915-11,10.3
1915-12,10.3
1916-01,10.4
1916-02,10.4
1916-03,10.5
1916-04,10.6
1916-05,10.7
1916-06,10.8
1916-07,10.8
1916-08,10.9
1916-09,11.1
1916-10,11.3
1916-11,11.5
1916-12,11.6
1917-01,11.7
1917-02,12.0
1917-03,12.0
1917-04,12.6
1917-05,12.8
1917-06,13.0
1917-07,12.8
1917-08,13.0
1917-09,13.3
1917-10,13.5
1917-11,13.5
1917-12,13.7
1918-01,14.0
1918-02,14.1
1918-03,14.0
1918-04,14.2
1918-05,14.5
1918-06,14.7
1918-07,15.1
1918-08,15.4
1918-09,15.7
1918-10,16.0
1918-11,16.3
1918-12,16.5
1919-01,16.5
1919-02,16.2
1919-03,16.4
1919-04,16.7
1919-05,16.9
1919-06,16.9
1919-07,17.4
1919-08,17.7
1919-09,17.8
1919-10,18.1
1919-11,18.5
1919-12,18.9
1920-01,19.3
1920-02,19.5
1920-03,19.7
1920-04,20.3
1920-05,20.6
1920-06,20.9
1920-07,20.8
1920-08,20.3
1920-09,20.0
1920-10,19.9
1920-11,19.8
1920-12,19.4
1921-01,19.0
1921-02,18.4
1921-03,18.3
1921-04,18.1
1921-05,17.7
1921-06,17.6
1921-07,17.7
1921-08,17.7
1921-09,17.5
1921-10,17.5
1921-11,17.4
1921-12,17.3
1922-01,16.9
1922-02,16.9
1922-03,16.7
1922-04,16.7
1922-05,16.7
1922-06,16.7
1922-07,16.8
1922-08,16.6
1922-09,16.6
1922-10,16.7
1922-11,16.8
1922-12,16.9
1923-01,16.8
1923-02,16.8
1923-03,16.8
1923-04,16.9
1923-05,16.9
1923-06,17.0
1923-07,17.2
1923-08,17.1
1923-09,17.2
1923-10,17.3
1923-11,17.3
1923-12,17.3
1924-01,17.3
1924-02,17.2
1924-03,17.1
1924-04,17.0
1924-05,17.0
1924-06,17.0
1924-07,17.1
1924-08,17.0
1924-09,17.1
1924-10,17.2
1924-11,17.2
1924-12,17.3
1925-01,17.3
1925-02,17.2
1925-03,17.3
1925-04,17.2
1925-05,17.3
1925-06,17.5
1925-07,17.7
1925-08,17.7
1925-09,17.7
1925-10,17.7
1925-11,18.0
1925-12,17.9
1926-01,17.9
1926-02,17.9
1926-03,17.8
1926-04,17.9
1926-05,17.8
1926-06,17.7
1926-07,17.5
1926-08,17.4
1926-09,17.5
1926-10,17.6
1926-11,17.7
1926-12,17.7
1927-01,17.5
1927-02,17.4
1927-03,17.3
1927-04,17.3
1927-05,17.4
1927-06,17.6
1927-07,17.3
1927-08,17.2
1927-09,17.3
1927-10,17.4
1927-11,17.3
1927-12,17.3
1928-01,17.3
1928-02,17.1
1928-03,17.1
1928-04,17.1
1928-05,17.2
1928-06,17.1
1928-07,17.1
1928-08,17.1
1928-09,17.3
1928-10,17.2
1928-11,17.2
1928-12,17.1
1929-01,17.1
1929-02,17.1
1929-03,17.0
1929-04,16.9
1929-05,17.0
1929-06,17.1
1929-07,17.3
1929-08,17.3
1929-09,17.3
1929-10,17.3
1929-11,17.3
1929-12,17.2
1930-01,17.1
1930-02,17.0
1930-03,16.9
1930-04,17.0
1930-05,16.9
1930-06,16.8
1930-07,16.6
1930-08,16.5
1930-09,16.6
1930-10,16.5
1930-11,16.4
1930-12,16.1
1931-01,15.9
1931-02,15.7
1931-03,15.6
1931-04,15.5
1931-05,15.3
1931-06,15.1
1931-07,15.1
1931-08,15.1
1931-09,15.0
1931-10,14.9
1931-11,14.7
1931-12,14.6
1932-01,14.3
1932-02,14.1
1932-03,14.0
1932-04,13.9
1932-05,13.7
1932-06,13.6
1932-07,13.6
1932-08,13.5
1932-09,13.4
1932-10,13.3
1932-11,13.2
1932-12,13.1
1933-01,12.9
1933-02,12.7
1933-03,12.6
1933-04,12.6
1933-05,12.6
1933-06,12.7
1933-07,13.1
1933-08,13.2
1933-09,13.2
1933-10,13.2
1933-11,13.2
1933-12,13.2
1934-01,13.2
1934-02,13.3
1934-03,13.3
1934-04,13.3
1934-05,13.3
1934-06,13.4
1934-07,13.4
1934-08,13.4
1934-09,13.6
1934-10,13.5
1934-11,13.5
1934-12,13.4
1935-01,13.6
1935-02,13.7
1935-03,13.7
1935-04,13.8
1935-05,13.8
1935-06,13.7
1935-07,13.7
1935-08,13.7
1935-09,13.7
1935-10,13.7
1935-11,13.8
1935-12,13.8
1936-01,13.8
1936-02,13.8
1936-03,13.7
1936-04,13.7
1936-05,13.7
1936-06,13.8
1936-07,13.9
1936-08,14.0
1936-09,14.0
1936-10,14.0
1936-11,14.0
1936-12,14.0
1937-01,14.1
1937-02,14.1
1937-03,14.2
1937-04,14.3
1937-05,14.4
1937-06,14.4
1937-07,14.5
1937-08,14.5
1937-09,14.6
1937-10,14.6
1937-11,14.5
1937-12,14.4
1938-01,14.2
1938-02,14.1
1938-03,14.1
1938-04,14.2
1938-05,14.1
1938-06,14.1
1938-07,14.1
1938-08,14.1
1938-09,14.1
1938-10,14.0
1938-11,14.0
1938-12,14.0
1939-01,14.0
1939-02,13.9
1939-03,13.9
1939-04,13.8
1939-05,13.8
1939-06,13.8
1939-07,13.8
1939-08,13.8
1939-09,14.1
1939-10,14.0
1939-11,14.0
1939-12,14.0
1940-01,13.9
1940-02,14.0
1940-03,14.0
1940-04,14.0
1940-05,14.0
1940-06,14.1
1940-07,14.0
1940-08,14.0
1940-09,14.0
1940-10,14.0
1940-11,14.0
1940-12,14.1
1941-01,14.1
1941-02,14.1
1941-03,14.2
1941-04,14.3
1941-05,14.4
1941-06,14.7
1941-07,14.7
1941-08,14.9
1941-09,15.1
1941-10,15.3
1941-11,15.4
1941-12,15.5
1942-01,15.7
1942-02,15.8
1942-03,16.0
1942-04,16.1
1942-05,16.3
1942-06,16.3
1942-07,16.4
1942-08,16.5
1942-09,16.5
1942-10,16.7
1942-11,16.8
1942-12,16.9
1943-01,16.9
1943-02,16.9
1943-03,17.2
1943-04,17.4
1943-05,17.5
1943-06,17.5
1943-07,17.4
1943-08,17.3
1943-09,17.4
1943-10,17.4
1943-11,17.4
1943-12,17.4
1944-01,17.4
1944-02,17.4
1944-03,17.4
1944-04,17.5
1944-05,17.5
1944-06,17.6
1944-07,17.7
1944-08,17.7
1944-09,17.7
1944-10,17.7
1944-11,17.7
1944-12,17.8
1945-01,17.8
1945-02,17.8
1945-03,17.8
1945-04,17.8
1945-05,17.9
1945-06,18.1
1945-07,18.1
1945-08,18.1
1945-09,18.1
1945-10,18.1
1945-11,18.1
1945-12,18.2
1946-01,18.2
1946-02,18.1
1946-03,18.3
1946-04,18.4
1946-05,18.5
1946-06,18.7
1946-07,19.8
1946-08,20.2
1946-09,20.4
1946-10,20.8
1946-11,21.3
1946-12,21.5
1947-01,21.5
1947-02,21.5
1947-03,21.9
1947-04,21.9
1947-05,21.9
1947-06,22.0
1947-07,22.2
1947-08,22.5
1947-09,23.0
1947-10,23.0
1947-11,23.1
1947-12,23.4
1948-01,23.7
1948-02,23.5
1948-03,23.4
1948-04,23.8
1948-05,23.9
1948-06,24.1
1948-07,24.4
1948-08,24.5
1948-09,24.5
1948-10,24.4
1948-11,24.2
1948-12,24.1
1949-01,24.0
1949-02,23.8
1949-03,23.8
1949-04,23.9
1949-05,23.8
1949-06,23.9
1949-07,23.7
1949-08,23.8
1949-09,23.9
1949-10,23.7
1949-11,23.8
1949-12,23.6
1950-01,23.5
1950-02,23.5
1950-03,23.6
1950-04,23.6
1950-05,23.7
1950-06,23.8
1950-07,24.1
1950-08,24.3
1950-09,24.4
1950-10,24.6
1950-11,24.7
1950-12,25.0
1951-01,25.4
1951-02,25.7
1951-03,25.8
1951-04,25.8
1951-05,25.9
1951-06,25.9
1951-07,25.9
1951-08,25.9
1951-09,26.1
1951-10,26.2
1951-11,26.4
1951-12,26.5
1952-01,26.5
1952-02,26.3
1952-03,26.3
1952-04,26.4
1952-05,26.4
1952-06,26.5
1952-07,26.7
1952-08,26.7
1952-09,26.7
1952-10,26.7
1952-11,26.7
1952-12,26.7
1953-01,26.6
1953-02,26.5
1953-03,26.6
1953-04,26.6
1953-05,26.7
1953-06,26.8
1953-07,26.8
1953-08,26.9
1953-09,26.9
1953-10,27.0
1953-11,26.9
1953-12,26.9
1954-01,26.9
1954-02,26.9
1954-03,26.9
1954-04,26.8
1954-05,26.9
1954-06,26.9
1954-07,26.9
1954-08,26.9
1954-09,26.8
1954-10,26.8
1954-11,26.8
1954-12,26.7
1955-01,26.7
1955-02,26.7
1955-03,26.7
1955-04,26.7
1955-05,26.7
1955-06,26.7
1955-07,26.8
1955-08,26.8
1955-09,26.9
1955-10,26.9
1955-11,26.9
1955-12,26.8
1956-01,26.8
1956-02,26.8
1956-03,26.8
1956-04,26.9
1956-05,27.0
1956-06,27.2
1956-07,27.4
1956-08,27.3
1956-09,27.4
1956-10,27.5
1956-11,27.5
1956-12,27.6
1957-01,27.6
1957-02,27.7
1957-03,27.8
1957-04,27.9
1957-05,28.0
1957-06,28.1
1957-07,28.3
1957-08,28.3
1957-09,28.3
