date,cpi
1947-01,21.60
1947-02,21.74
1947-03,22.12
1947-04,22.12
1947-05,22.08
1947-06,22.20
1947-07,22.36
1947-08,22.53
1947-09,22.97
1947-10,23.04
1947-11,23.19
1947-12,23.54
1948-01,23.81
1948-02,23.80
1948-03,23.64
1948-04,23.95
1948-05,24.14
1948-06,24.29
1948-07,24.54
1948-08,24.57
1948-09,24.49
1948-10,24.44
1948-11,24.30
1948-12,24.18
1949-01,24.15
1949-02,24.05
1949-03,24.04
1949-04,24.05
1949-05,24.04
1949-06,24.05
1949-07,23.84
1949-08,23.83
1949-09,23.88
1949-10,23.80
1949-11,23.83
1949-12,23.75
1950-01,23.64
1950-02,23.74
1950-03,23.77
1950-04,23.78
1950-05,23.91
1950-06,24.02
1950-07,24.21
1950-08,24.33
1950-09,24.48
1950-10,24.63
1950-11,24.74
1950-12,25.12
1951-01,25.52
1951-02,25.98
1951-03,26.03
1951-04,26.06
1951-05,26.14
1951-06,26.08
1951-07,26.06
1951-08,26.01
1951-09,26.18
1951-10,26.31
1951-11,26.47
1951-12,26.62
1952-01,26.60
1952-02,26.56
1952-03,26.54
1952-04,26.61
1952-05,26.62
1952-06,26.68
1952-07,26.83
1952-08,26.84
1952-09,26.78
1952-10,26.84
1952-11,26.84
1952-12,26.86
1953-01,26.79
1953-02,26.74
1953-03,26.78
1953-04,26.84
1953-05,26.85
1953-06,26.92
1953-07,26.94
1953-08,27.01
1953-09,27.04
1953-10,27.11
1953-11,27.01
1953-12,27.03
1954-01,27.09
1954-02,27.14
1954-03,27.08
1954-04,27.01
1954-05,27.09
1954-06,27.09
1954-07,27.01
1954-08,27.01
1954-09,26.96
1954-10,26.87
1954-11,26.93
1954-12,26.92
1955-01,26.92
1955-02,26.97
1955-03,26.94
1955-04,26.94
1955-05,26.92
1955-06,26.86
1955-07,26.91
1955-08,26.87
1955-09,27.00
1955-10,26.97
1955-11,27.03
1955-12,27.02
1956-01,26.98
1956-02,27.01
1956-03,27.05
1956-04,27.08
1956-05,27.19
1956-06,27.30
1956-07,27.44
1956-08,27.47
1956-09,27.50
1956-10,27.67
1956-11,27.67
1956-12,27.79
1957-01,27.82
1957-02,27.96
1957-03,28.02
1957-04,28.09
1957-05,28.16
1957-06,28.27
1957-07,28.35
1957-08,28.44
1957-09,28.48
1957-10,28.48
1957-11,28.57
1957-12,28.63
1958-01,28.80
1958-02,28.86
1958-03,29.04
1958-04,29.10
1958-05,29.10
1958-06,29.08
1958-07,29.05
1958-08,29.11
1958-09,29.08
1958-10,29.08
1958-11,29.11
1958-12,29.14
1959-01,29.17
1959-02,29.16
1959-03,29.14
1959-04,29.14
1959-05,29.20
1959-06,29.28
1959-07,29.32
1959-08,29.34
1959-09,29.41
1959-10,29.51
1959-11,29.51
1959-12,29.57
1960-01,29.54
1960-02,29.57
1960-03,29.57
1960-04,29.71
1960-05,29.74
1960-06,29.78
1960-07,29.72
1960-08,29.78
1960-09,29.78
1960-10,29.92
1960-11,29.95
1960-12,29.98
1961-01,30.01
1961-02,30.01
1961-03,30.01
1961-04,29.98
1961-05,30.01
1961-06,30.01
1961-07,30.09
1961-08,30.11
1961-09,30.15
1961-10,30.15
1961-11,30.15
1961-12,30.18
1962-01,30.21
1962-02,30.28
1962-03,30.35
1962-04,30.38
1962-05,30.41
1962-06,30.38
1962-07,30.39
1962-08,30.45
1962-09,30.59
1962-10,30.55
1962-11,30.55
1962-12,30.55
1963-01,30.61
1963-02,30.65
1963-03,30.68
1963-04,30.65
1963-05,30.68
1963-06,30.79
1963-07,30.86
1963-08,30.92
1963-09,30.89
1963-10,30.92
1963-11,30.96
1963-12,31.05
1964-01,31.12
1964-02,31.08
1964-03,31.12
1964-04,31.12
1964-05,31.15
1964-06,31.19
1964-07,31.19
1964-08,31.22
1964-09,31.26
1964-10,31.29
1964-11,31.39
1964-12,31.42
1965-01,31.45
1965-02,31.45
1965-03,31.49
1965-04,31.56
1965-05,31.65
1965-06,31.79
1965-07,31.76
1965-08,31.73
1965-09,31.80
1965-10,31.83
1965-11,31.93
1965-12,32.03
1966-01,32.06
1966-02,32.26
1966-03,32.36
1966-04,32.46
1966-05,32.53
1966-06,32.56
1966-07,32.64
1966-08,32.83
1966-09,32.93
1966-10,33.03
1966-11,33.07
1966-12,33.10
1967-01,33.10
1967-02,33.20
1967-03,33.20
1967-04,33.30
1967-05,33.30
1967-06,33.50
1967-07,33.60
1967-08,33.70
1967-09,33.80
1967-10,33.90
1967-11,34.00
1967-12,34.10
1968-01,34.30
1968-02,34.40
1968-03,34.50
1968-04,34.60
1968-05,34.70
1968-06,34.90
1968-07,35.00
1968-08,35.20
1968-09,35.30
1968-10,35.50
1968-11,35.60
1968-12,35.80
1969-01,35.90
1969-02,36.00
1969-03,36.30
1969-04,36.50
1969-05,36.60
1969-06,36.80
1969-07,37.00
1969-08,37.10
1969-09,37.30
1969-10,37.50
1969-11,37.70
1969-12,37.90
1970-01,38.10
1970-02,38.30
1970-03,38.50
1970-04,38.70
1970-05,38.80
1970-06,39.00
1970-07,39.10
1970-08,39.20
1970-09,39.40
1970-10,39.60
1970-11,39.80
1970-12,40.00
1971-01,40.10
1971-02,40.20
1971-03,40.20
1971-04,40.40
1971-05,40.50
1971-06,40.70
1971-07,40.90
1971-08,41.00
1971-09,41.00
1971-10,41.10
1971-11,41.20
1971-12,41.40
1972-01,41.50
1972-02,41.60
1972-03,41.70
1972-04,41.70
1972-05,41.80
1972-06,41.90
1972-07,42.10
1972-08,42.20
1972-09,42.30
1972-10,42.50
1972-11,42.60
1972-12,42.80
1973-01,43.00
1973-02,43.20
1973-03,43.60
1973-04,43.90
1973-05,44.20
1973-06,44.40
1973-07,44.50
1973-08,45.30
1973-09,45.40
1973-10,45.80
1973-11,46.20
1973-12,46.50
1974-01,47.00
1974-02,47.60
1974-03,48.10
1974-04,48.30
1974-05,48.80
1974-06,49.20
1974-07,49.60
1974-08,50.20
1974-09,50.90
1974-10,51.30
1974-11,51.80
1974-12,52.20
1975-01,52.60
1975-02,52.90
1975-03,53.10
1975-04,53.30
1975-05,53.40
1975-06,53.80
1975-07,54.30
1975-08,54.50
1975-09,54.90
1975-10,55.20
1975-11,55.60
1975-12,55.90
1976-01,56.20
1976-02,56.20
1976-03,56.30
1976-04,56.50
1976-05,56.70
1976-06,57.00
1976-07,57.30
1976-08,57.60
1976-09,57.90
1976-10,58.20
1976-11,58.40
1976-12,58.70
1977-01,59.10
1977-02,59.60
1977-03,59.90
1977-04,60.30
1977-05,60.60
1977-06,60.90
1977-07,61.20
1977-08,61.40
1977-09,61.70
1977-10,61.90
1977-11,62.30
1977-12,62.60
1978-01,63.00
1978-02,63.30
1978-03,63.80
1978-04,64.20
1978-05,64.80
1978-06,65.30
1978-07,65.80
1978-08,66.20
1978-09,66.70
1978-10,67.40
1978-11,67.80
1978-12,68.30
1979-01,68.80
1979-02,69.60
1979-03,70.30
1979-04,71.10
1979-05,71.90
1979-06,72.70
1979-07,73.50
1979-08,74.20
1979-09,75.00
1979-10,75.70
1979-11,76.50
1979-12,77.30
1980-01,78.50
1980-02,79.40
1980-03,80.60
1980-04,81.40
1980-05,82.20
1980-06,83.00
1980-07,83.10
1980-08,83.70
1980-09,84.40
1980-10,85.30
1980-11,86.20
1980-12,87.00
1981-01,87.70
1981-02,88.60
1981-03,89.10
1981-04,89.60
1981-05,90.20
1981-06,90.90
1981-07,92.00
1981-08,92.70
1981-09,93.50
1981-10,93.80
1981-11,94.20
1981-12,94.50
1982-01,94.80
1982-02,95.10
1982-03,95.00
1982-04,95.30
1982-05,96.10
1982-06,97.30
1982-07,97.80
1982-08,98.10
1982-09,98.10
1982-10,98.50
1982-11,98.40
1982-12,98.10
1983-01,98.20
1983-02,98.20
1983-03,98.50
1983-04,99.10
1983-05,99.50
1983-06,99.70
1983-07,100.00
1983-08,100.50
1983-09,100.70
1983-10,101.00
1983-11,101.20
1983-12,101.30
1984-01,101.80
1984-02,102.00
1984-03,102.00
1984-04,102.20
1984-05,102.50
1984-06,102.70
1984-07,103.20
1984-08,104.10
1984-09,104.50
1984-10,104.70
1984-11,104.80
1984-12,104.90
1985-01,105.20
1985-02,105.70
1985-03,106.10
1985-04,106.40
1985-05,106.60
1985-06,106.90
1985-07,107.00
1985-08,107.10
1985-09,107.30
1985-10,107.70
1985-11,108.20
1985-12,108.70
1986-01,109.10
1986-02,108.80
1986-03,108.10
1986-04,107.70
1986-05,107.80
1986-06,108.30
1986-07,108.30
1986-08,108.40
1986-09,108.80
1986-10,108.90
1986-11,109.20
1986-12,109.50
1987-01,110.20
1987-02,110.70
1987-03,111.10
1987-04,111.60
1987-05,111.90
1987-06,112.40
1987-07,112.70
1987-08,113.20
1987-09,113.60
1987-10,113.90
1987-11,114.20
1987-12,114.40
1988-01,114.70
1988-02,114.90
1988-03,115.20
1988-04,115.80
1988-05,116.20
1988-06,116.60
1988-07,117.30
1988-08,117.70
1988-09,118.20
1988-10,118.60
1988-11,118.90
1988-12,119.30
1989-01,119.90
1989-02,120.30
1989-03,120.90
1989-04,121.90
1989-05,122.50
1989-06,122.80
1989-07,123.20
1989-08,123.20
1989-09,123.40
1989-10,123.90
1989-11,124.40
1989-12,124.90
1990-01,126.10
1990-02,126.60
1990-03,127.00
1990-04,127.30
1990-05,127.50
1990-06,128.20
1990-07,128.80
1990-08,129.90
1990-09,130.90
1990-10,131.70
1990-11,132.10
1990-12,132.50
1991-01,132.90
1991-02,132.90
1991-03,133.00
1991-04,133.30
1991-05,133.80
1991-06,134.10
1991-07,134.30
1991-08,134.60
1991-09,135.00
1991-10,135.20
1991-11,135.80
1991-12,136.20
1992-01,136.20
1992-02,136.50
1992-03,136.90
1992-04,137.20
1992-05,137.50
1992-06,138.00
1992-07,138.40
1992-08,138.70
1992-09,139.00
1992-10,139.50
1992-11,139.80
1992-12,140.10
1993-01,140.50
1993-02,140.80
1993-03,141.00
1993-04,141.40
1993-05,141.80
1993-06,142.00
1993-07,142.10
1993-08,142.40
1993-09,142.50
1993-10,143.20
1993-11,143.40
1993-12,143.70
1994-01,143.80
1994-02,144.00
1994-03,144.30
1994-04,144.50
1994-05,144.80
1994-06,145.30
1994-07,145.90
1994-08,146.50
1994-09,146.80
1994-10,146.90
1994-11,147.30
1994-12,147.60
1995-01,148.00
1995-02,148.40
1995-03,148.60
