GeoId,Date,CACountyName,CALicensedHealthcareFacilityType,Count_Hospital_GeneralAcuteCare,Count_HospitalBed_GeneralAcuteCare,Count_HospitalBed_GeneralAcuteCare_AcutePsychiatricCareBed,Count_HospitalBed_GeneralAcuteCare_AcuteRespiratoryCareBed,Count_HospitalBed_GeneralAcuteCare_BurnBed,Count_HospitalBed_GeneralAcuteCare_ChemicalDependencyRecoveryBed,Count_HospitalBed_GeneralAcuteCare_CoronaryCareBed,Count_HospitalBed_GeneralAcuteCare_IntensiveCareBed,Count_HospitalBed_GeneralAcuteCare_IntensiveCareNewbornNurseryBed,Count_HospitalBed_GeneralAcuteCare_IntermediateCareBed,Count_HospitalBed_GeneralAcuteCare_LaborAndDeliveryBed,Count_HospitalBed_GeneralAcuteCare_PediatricBed,Count_HospitalBed_GeneralAcuteCare_PediatricIntensiveCareUnitBed,Count_HospitalBed_GeneralAcuteCare_PerinatalBed,Count_HospitalBed_GeneralAcuteCare_RehabilitationBed,Count_HospitalBed_GeneralAcuteCare_RenalTransplantBed,Count_HospitalBed_GeneralAcuteCare_UnspecifiedGeneralAcuteCareBed
dcid:geoId/06003,2020-04-13,ALPINE,GeneralAcuteCareFacility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcid:geoId/06091,2020-04-13,SIERRA,GeneralAcuteCareFacility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcid:geoId/06101,2020-04-13,SUTTER,GeneralAcuteCareFacility,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
dcid:geoId/06051,2020-04-13,MONO,GeneralAcuteCareFacility,1,17,0,0,0,0,0,2,0,0,0,0,0,2,0,0,13
dcid:geoId/06043,2020-04-13,MARIPOSA,GeneralAcuteCareFacility,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
dcid:geoId/06049,2020-04-13,MODOC,GeneralAcuteCareFacility,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
dcid:geoId/06009,2020-04-13,CALAVERAS,GeneralAcuteCareFacility,1,25,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17
dcid:geoId/06035,2020-04-13,LASSEN,GeneralAcuteCareFacility,1,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21
dcid:geoId/06069,2020-04-13,SAN BENITO,GeneralAcuteCareFacility,1,25,0,0,0,0,0,4,0,0,0,0,0,6,0,0,15
dcid:geoId/06105,2020-04-13,TRINITY,GeneralAcuteCareFacility,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
dcid:geoId/06027,2020-04-13,INYO,GeneralAcuteCareFacility,2,29,0,0,0,0,0,4,0,0,0,0,0,5,0,0,20
dcid:geoId/06063,2020-04-13,PLUMAS,GeneralAcuteCareFacility,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
dcid:geoId/06011,2020-04-13,COLUSA,GeneralAcuteCareFacility,1,42,0,0,0,0,0,6,0,0,0,0,0,0,0,0,36
dcid:geoId/06021,2020-04-13,GLENN,GeneralAcuteCareFacility,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
dcid:geoId/06015,2020-04-13,DEL NORTE,GeneralAcuteCareFacility,1,49,0,0,0,0,0,6,0,0,0,0,0,4,10,0,29
dcid:geoId/06005,2020-04-13,AMADOR,GeneralAcuteCareFacility,1,52,0,0,0,0,0,6,0,0,0,0,0,8,0,0,38
dcid:geoId/06093,2020-04-13,SISKIYOU,GeneralAcuteCareFacility,2,61,0,0,0,0,0,8,0,0,0,0,0,8,0,0,45
dcid:geoId/06033,2020-04-13,LAKE,GeneralAcuteCareFacility,2,62,0,0,0,0,0,8,0,0,0,0,0,7,0,0,47
