Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome  §",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,Hepatitis  ¶,Hepatitis  ¶,Hepatitis  ¶,Hepatitis  ¶,Hepatitis  ¶,Hepatitis  ¶
Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome  §",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,"A, acute","B, acute","B, perinatal infection","C, acute","C, acute","C, perinatal infection"
Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome  §",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,"A, acute","B, acute","B, perinatal infection",Confirmed,Probable,"C, perinatal infection"
"U.S. Residents, excluding U.S. Territories",3,18,392,18846,3544,19,4136,1343,217
New England,—,1,4,593,112,1,237,53,18
Connecticut,N,N,1,17,3,—,7,—,—
Maine,—,—,1,45,58,1,43,16,4
Massachusetts,—,—,1,204,37,—,161,7,14
New Hampshire,—,1,1,309,5,—,20,30,—
Rhode Island,—,—,—,6,U,U,U,U,U
Vermont,—,—,—,12,9,—,6,—,—
Middle Atlantic,—,—,20,1697,256,4,615,62,32
New Jersey,—,—,—,610,78,—,99,4,11
New York (excluding New York City),—,—,6,290,51,—,226,27,—
New York City,—,—,3,101,36,2,80,26,1
Pennsylvania,—,—,11,696,91,2,210,5,20
East North Central,—,1,35,3486,598,—,991,258,76
Illinois,—,1,8,185,45,—,156,8,10
Indiana,—,—,5,1398,170,—,325,62,14
Michigan,—,—,8,70,64,—,117,14,11
Ohio,—,—,5,1802,311,—,281,170,41
Wisconsin,—,—,9,31,8,—,112,4,—
West North Central,1,2,54,481,90,—,164,5,9
Iowa,—,—,7,9,25,—,10,—,—
Kansas,N,—,9,10,11,—,19,2,2
Minnesota,—,—,11,76,16,—,62,—,5
Missouri,N,—,15,359,33,—,41,—,—
Nebraska,—,—,3,15,—,—,4,—,—
North Dakota,—,—,4,4,—,—,—,—,—
South Dakota,1,2,5,8,5,—,28,3,2
South Atlantic,1,1,36,5967,1294,5,1018,346,39
Delaware,—,—,—,36,12,—,U,U,U
District of Columbia,N,—,—,15,U,U,U,U,—
Florida,—,—,4,3392,759,1,616,208,20
Georgia,—,—,10,844,114,—,61,22,5
Maryland,1,1,3,88,41,—,33,6,—
North Carolina,—,—,6,154,189,2,150,37,—
South Carolina,—,—,—,662,46,—,9,20,2
Virginia,N,—,10,309,57,2,70,28,12
West Virginia,—,—,3,467,76,—,79,25,—
East South Central,—,—,39,3848,650,5,417,442,16
Alabama,N,—,6,242,75,2,87,16,—
Kentucky,—,—,18,1318,188,—,128,118,—
Mississippi,—,—,—,128,49,2,U,U,—
Tennessee,—,—,15,2160,338,1,202,308,16
West South Central,—,1,39,1062,212,—,147,56,3
Arkansas,N,—,8,203,39,—,58,16,3
Louisiana,—,—,2,687,73,—,8,—,—
Oklahoma,N,1,8,13,31,—,23,14,—
Texas,—,—,21,159,69,—,58,26,N
Mountain,—,8,33,1245,134,—,236,70,4
Arizona,—,—,7,584,49,—,U,U,—
Colorado,—,1,13,333,17,—,45,11,1
Idaho,N,1,4,75,7,—,17,3,—
Montana,—,—,—,15,1,—,17,2,—
Nevada,—,2,—,102,23,—,15,12,1
New Mexico,—,3,1,104,5,—,10,4,—
Utah,—,1,8,20,29,—,127,38,2
Wyoming,—,—,—,12,3,—,5,—,—
Pacific,1,4,132,467,198,4,311,51,20
Alaska,—,—,1,2,6,—,N,N,2
California,1,3,124,256,111,4,200,10,15
Hawaii,—,—,—,1,1,—,7,9,—
Oregon,—,—,7,27,28,—,23,13,—
Washington,N,1,N,181,52,—,81,19,3
Territories,—,—,—,278,5,—,—,—,—
American Samoa,—,N,N,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,N,—,226,—,—,—,—,—
Puerto Rico,—,—,N,52,5,—,N,N,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
