Reporting Area,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Vibriosis,Vibriosis,Vibriosis
Reporting Area,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Total,Confirmed,Probable
"U.S. Residents, excluding U.S. Territories",76,3,8297,6,2851,1651,1200
New England,1,1,647,—,182,142,40
Connecticut,—,—,117,—,66,45,21
Maine,—,—,93,—,9,8,1
Massachusetts,1,1,301,—,90,76,14
New Hampshire,N,—,26,—,4,2,2
Rhode Island,—,—,64,—,12,10,2
Vermont,—,—,46,—,1,1,—
Middle Atlantic,16,—,846,2,389,190,199
New Jersey,1,—,377,1,108,50,58
New York (excluding New York City),8,—,N,1,102,60,42
New York City,1,—,—,—,125,50,75
Pennsylvania,6,—,469,—,54,30,24
East North Central,27,—,1751,—,247,109,138
Illinois,8,—,399,—,96,44,52
Indiana,N,—,218,—,18,8,10
Michigan,11,—,410,—,38,16,22
Ohio,5,—,412,—,59,28,31
Wisconsin,3,—,312,—,36,13,23
West North Central,12,—,644,—,135,63,72
Iowa,1,—,N,—,N,N,N
Kansas,—,—,—,—,7,2,5
Minnesota,—,—,366,—,68,31,37
Missouri,11,—,168,—,31,21,10
Nebraska,—,—,54,—,25,8,17
North Dakota,—,—,30,—,1,—,1
South Dakota,N,—,26,—,3,1,2
South Atlantic,5,—,1826,2,693,433,260
Delaware,—,—,28,—,18,8,10
District of Columbia,N,N,30,—,10,5,5
Florida,—,—,983,1,258,188,70
Georgia,—,—,233,—,99,46,53
Maryland,2,—,N,1,94,51,43
North Carolina,2,—,N,—,75,41,34
South Carolina,—,—,152,—,44,29,15
Virginia,1,—,400,—,83,61,22
West Virginia,—,—,N,—,12,4,8
East South Central,3,2,206,1,127,60,67
Alabama,1,2,92,—,41,25,16
Kentucky,N,N,57,—,31,10,21
Mississippi,1,—,57,1,19,10,9
Tennessee,1,—,N,—,36,15,21
West South Central,8,—,1411,—,389,194,195
Arkansas,—,—,119,—,6,3,3
Louisiana,1,—,67,—,105,61,44
Oklahoma,—,—,N,—,4,4,—
Texas,7,—,1225,—,274,126,148
Mountain,3,—,849,—,156,84,72
Arizona,3,—,307,—,52,22,30
Colorado,N,—,250,—,72,41,31
Idaho,N,N,N,—,N,N,N
Montana,—,—,47,—,2,1,1
Nevada,—,—,N,—,4,3,1
New Mexico,N,N,73,—,3,2,1
Utah,—,—,163,—,20,13,7
Wyoming,—,—,9,—,3,2,1
Pacific,1,—,117,1,533,376,157
Alaska,N,—,36,—,6,6,—
California,N,N,39,—,285,171,114
Hawaii,1,—,42,—,46,44,2
Oregon,N,N,N,1,37,30,7
Washington,N,—,N,—,159,125,34
Territories,—,5,111,—,1,1,—
American Samoa,N,N,N,—,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,—,—,18,—,1,1,—
Puerto Rico,—,5,83,—,—,—,—
U.S. Virgin Islands,—,—,10,—,—,—,—
