Reporting Area,Yellow fever,Zika virus,Zika virus,Zika virus,Zika virus
Reporting Area,Yellow fever,"Zika virus disease, congenital  §","Zika virus disease, non-congenital","Zika virus infection, congenital  §","Zika virus infection, non-congenital"
"U.S. Residents, excluding U.S. Territories",—,—,28,—,177
New England,—,—,—,—,—
Connecticut,—,—,—,—,—
Maine,—,—,—,—,—
Massachusetts,—,—,—,—,—
New Hampshire,—,—,—,—,—
Rhode Island,—,—,—,—,—
Vermont,—,—,—,—,—
Middle Atlantic,—,—,8,—,27
New Jersey,—,—,4,—,8
New York (excluding New York City),—,—,1,—,8
New York City,—,—,3,—,10
Pennsylvania,—,—,—,—,1
East North Central,—,—,—,—,—
Illinois,—,—,—,—,—
Indiana,—,—,—,—,—
Michigan,—,—,—,—,—
Ohio,—,—,—,—,—
Wisconsin,—,—,—,—,—
West North Central,—,—,4,—,2
Iowa,—,—,—,—,1
Kansas,—,—,—,—,—
Minnesota,—,—,3,—,1
Missouri,—,—,—,—,—
Nebraska,—,—,1,—,—
North Dakota,—,—,—,—,—
South Dakota,—,—,—,—,—
South Atlantic,—,—,4,—,77
Delaware,—,—,—,—,—
District of Columbia,—,—,—,—,—
Florida,—,—,—,—,39
Georgia,—,—,2,—,4
Maryland,—,—,1,—,5
North Carolina,—,—,—,—,2
South Carolina,—,—,—,—,—
Virginia,—,—,1,—,27
West Virginia,—,—,—,—,—
East South Central,—,—,—,—,2
Alabama,—,—,—,—,—
Kentucky,—,—,—,—,2
Mississippi,—,—,—,—,—
Tennessee,—,—,—,—,—
West South Central,—,—,2,—,26
Arkansas,—,—,—,—,—
Louisiana,—,—,—,—,1
Oklahoma,—,—,—,—,—
Texas,—,—,2,—,25
Mountain,—,—,4,—,6
Arizona,—,—,—,—,—
Colorado,—,—,—,—,—
Idaho,N,—,1,—,—
Montana,—,—,—,—,—
Nevada,—,—,1,—,—
New Mexico,—,—,—,—,—
Utah,—,—,2,—,6
Wyoming,—,—,—,—,—
Pacific,—,—,6,—,37
Alaska,—,—,—,—,—
California,—,—,5,—,35
Hawaii,—,—,—,—,—
Oregon,—,—,1,—,—
Washington,—,—,—,—,2
Territories,—,—,74,—,35
American Samoa,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—
Guam,—,—,—,—,—
Puerto Rico,—,—,74,—,35
U.S. Virgin Islands,—,—,—,—,—
