"StatVar","MinDate","NumPlaces","observationPeriods","ScalingFactors","Units","MeasurementMethods"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientHospitalized_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","2009-01","28","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Nitrite_WaterborneTransmission","1996-03","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_AnatoxinA_PatientHospitalized_SuspectedCase_WaterborneTransmission","2021-02","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_LegionellaAnisaEtiology_ConfirmedCase_WaterborneTransmission","1988-04","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_YersiniaEnterocoliticaEtiology_PatientDeceased_ConfirmedCase_FoodborneTransmission","1998-02","9","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Morpholine_PatientDeceased_WaterborneTransmission","1979-08","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterUnknown_ConfirmedCase_WaterborneTransmission","2004-08","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_StaphylococcusOther_PatientHospitalized_FoodborneTransmission","2005-08","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EscherichiaEtiology_Indeterminate_Other_UnknownTramissionMode","2015-10","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_GiardiaUnknown_PatientDeceased_ConfirmedCase_PersonToPersonTransmission","2013-02","9","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiUnknownEtiology_ConfirmedCase_PersonToPersonTransmission","2023-07","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiOther_PatientDeceased_FoodborneTransmission","1999-09","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiEnteropathogenicEtiology_PatientHospitalized_SuspectedCase_PersonToPersonTransmission","2016-06","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterUnknown_PatientHospitalized_WaterborneTransmission","2004-08","8","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
