Year,Place,StatVar,Quantity,Column
2021,country/USA,dcid:Count_Person_5OrMoreYears,310302360.0,Estimate!!Total!!Total population 5 years and over
2021,geoId/01,dcid:Count_Person_5OrMoreYears,4702043.0,Estimate!!Total!!Total population 5 years and over
2021,geoId/02,dcid:Count_Person_5OrMoreYears,685160.0,Estimate!!Total!!Total population 5 years and over
2021,country/USA,dcid:MarginOfError_Count_Person_5OrMoreYears,4330.0,Margin of Error!!Total!!Total population 5 years and over
2021,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears,721.0,Margin of Error!!Total!!Total population 5 years and over
2021,geoId/02,dcid:MarginOfError_Count_Person_5OrMoreYears,205.0,Margin of Error!!Total!!Total population 5 years and over
2021,country/USA,dcid:Count_Person_5To17Years,54810954.0,Estimate!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2021,geoId/01,dcid:Count_Person_5To17Years,826749.0,Estimate!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2021,geoId/02,dcid:Count_Person_5To17Years,131943.0,Estimate!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2021,country/USA,dcid:MarginOfError_Count_Person_5To17Years,5669.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2021,geoId/01,dcid:MarginOfError_Count_Person_5To17Years,802.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2021,geoId/02,dcid:MarginOfError_Count_Person_5To17Years,194.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2021,country/USA,dcid:Count_Person_18To64Years,202602785.0,Estimate!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2021,geoId/01,dcid:Count_Person_18To64Years,3030867.0,Estimate!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2021,geoId/02,dcid:Count_Person_18To64Years,463029.0,Estimate!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2021,country/USA,dcid:MarginOfError_Count_Person_18To64Years,5517.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2021,geoId/01,dcid:MarginOfError_Count_Person_18To64Years,944.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2021,geoId/02,dcid:MarginOfError_Count_Person_18To64Years,385.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2021,country/USA,dcid:Count_Person_65OrMoreYears,52888621.0,Estimate!!Total!!Total population 5 years and over!!AGE!!65 years and over
2021,geoId/01,dcid:Count_Person_65OrMoreYears,844427.0,Estimate!!Total!!Total population 5 years and over!!AGE!!65 years and over
2021,geoId/02,dcid:Count_Person_65OrMoreYears,90188.0,Estimate!!Total!!Total population 5 years and over!!AGE!!65 years and over
