Year,Place,StatVar,Quantity,Column
2014,geoId/01,dcid:Count_Person_5OrMoreYears,4518107.0,Total!!Estimate!!Total population 5 years and over
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears,582.0,Total!!Margin of Error!!Total population 5 years and over
2014,geoId/01,dcid:Count_Person_5To17Years,817777.367,Total!!Estimate!!AGE!!5 to 17 years
2014,geoId/01,dcid:MarginOfError_Count_Person_5To17Years,4518.107,Total!!Margin of Error!!AGE!!5 to 17 years
2014,geoId/01,dcid:Count_Person_18To64Years,3000023.048,Total!!Estimate!!AGE!!18 to 64 years
2014,geoId/01,dcid:MarginOfError_Count_Person_18To64Years,4518.107,Total!!Margin of Error!!AGE!!18 to 64 years
2014,geoId/01,dcid:Count_Person_65OrMoreYears,700306.585,Total!!Estimate!!AGE!!65 years and over
2014,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears,4518.107,Total!!Margin of Error!!AGE!!65 years and over
2014,geoId/01,dcid:Count_Person_Native,4350937.041,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_Native,4518.107,Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Native population 5 years and over
2014,geoId/01,dcid:Count_Person_5OrMoreYears_ForeignBorn,167169.959,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign-born population 5 years and over
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_ForeignBorn,4518.107,Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Foreign-born population 5 years and over
2014,geoId/01,dcid:Count_Person_5OrMoreYears_USCitizenByNaturalization_ForeignBorn,54217.284,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign-born population 5 years and over!!Naturalized U.S. citizen
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_USCitizenByNaturalization_ForeignBorn,4518.107,Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Foreign-born population 5 years and over!!Naturalized U.S. citizen
2014,geoId/01,dcid:Count_Person_5OrMoreYears_NotAUSCitizen_ForeignBorn,108434.568,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign-born population 5 years and over!!Not a U.S. citizen
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_NotAUSCitizen_ForeignBorn,4518.107,Total!!Margin of Error!!NATIVITY AND CITIZENSHIP STATUS!!Foreign-born population 5 years and over!!Not a U.S. citizen
2014,geoId/01,dcid:Count_Person_5OrMoreYears_PovertyStatusDetermined,4404239.0,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_PovertyStatusDetermined,838.0,Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined
2014,geoId/01,dcid:Count_Person_5OrMoreYears_BelowPovertyLevelInThePast12Months,797167.259,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_BelowPovertyLevelInThePast12Months,8808.478,Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level
2014,geoId/01,dcid:Count_Person_5OrMoreYears_AbovePovertyLevelInThePast12Months,3607071.741,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level
2014,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_AbovePovertyLevelInThePast12Months,8808.478,Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level
2014,geoId/01,dcid:Count_Person_25OrMoreYears,3217902.0,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
2014,geoId/01,dcid:MarginOfError_Count_Person_25OrMoreYears,1281.0,Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
2014,geoId/01,dcid:Count_Person_EducationalAttainmentLessThanHighSchoolGraduate,524518.026,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate
2014,geoId/01,dcid:MarginOfError_Count_Person_EducationalAttainmentLessThanHighSchoolGraduate,6435.804,Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate
2014,geoId/01,dcid:Count_Person_EducationalAttainmentHighSchoolGraduateIncludesEquivalency,1000767.522,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
2014,geoId/01,dcid:MarginOfError_Count_Person_EducationalAttainmentHighSchoolGraduateIncludesEquivalency,6435.804,Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
