Year,Place,StatVar,Quantity
2023,geoId/40001376600,dcid:Count_Person_5OrMoreYears,2127.0
2023,geoId/40001376700,dcid:Count_Person_5OrMoreYears,4642.0
2023,geoId/40001376800,dcid:Count_Person_5OrMoreYears,3766.0
2023,geoId/40001376900,dcid:Count_Person_5OrMoreYears,3831.0
2023,geoId/40001377000,dcid:Count_Person_5OrMoreYears,3886.0
2023,geoId/40003955600,dcid:Count_Person_5OrMoreYears,1513.0
2023,geoId/40003955700,dcid:Count_Person_5OrMoreYears,1136.0
2023,geoId/40003956000,dcid:Count_Person_5OrMoreYears,2792.0
2023,geoId/40005587600,dcid:Count_Person_5OrMoreYears,1935.0
2023,geoId/40005587700,dcid:Count_Person_5OrMoreYears,3719.0
2023,geoId/40005587800,dcid:Count_Person_5OrMoreYears,3738.0
2023,geoId/40005587900,dcid:Count_Person_5OrMoreYears,4168.0
2023,geoId/40007951600,dcid:Count_Person_5OrMoreYears,2119.0
2023,geoId/40007951700,dcid:Count_Person_5OrMoreYears,1029.0
2023,geoId/40007951800,dcid:Count_Person_5OrMoreYears,1601.0
2023,geoId/40009966100,dcid:Count_Person_5OrMoreYears,6628.0
2023,geoId/40009966200,dcid:Count_Person_5OrMoreYears,6496.0
2023,geoId/40009966500,dcid:Count_Person_5OrMoreYears,1204.0
2023,geoId/40009966800,dcid:Count_Person_5OrMoreYears,6532.0
2023,geoId/40011958600,dcid:Count_Person_5OrMoreYears,1507.0
2023,geoId/40011958700,dcid:Count_Person_5OrMoreYears,1257.0
2023,geoId/40011958800,dcid:Count_Person_5OrMoreYears,893.0
2023,geoId/40011958900,dcid:Count_Person_5OrMoreYears,2859.0
2023,geoId/40011959000,dcid:Count_Person_5OrMoreYears,1597.0
2023,geoId/40013795600,dcid:Count_Person_5OrMoreYears,2001.0
2023,geoId/40013795700,dcid:Count_Person_5OrMoreYears,3001.0
2023,geoId/40013795900,dcid:Count_Person_5OrMoreYears,1610.0
2023,geoId/40013796002,dcid:Count_Person_5OrMoreYears,4628.0
2023,geoId/40013796003,dcid:Count_Person_5OrMoreYears,4511.0
2023,geoId/40013796004,dcid:Count_Person_5OrMoreYears,1763.0
2023,geoId/40013796101,dcid:Count_Person_5OrMoreYears,6237.0
2023,geoId/40013796102,dcid:Count_Person_5OrMoreYears,3975.0
2023,geoId/40013796200,dcid:Count_Person_5OrMoreYears,4105.0
2023,geoId/40013796300,dcid:Count_Person_5OrMoreYears,1883.0
2023,geoId/40013796400,dcid:Count_Person_5OrMoreYears,2495.0
2023,geoId/40013796500,dcid:Count_Person_5OrMoreYears,2370.0
2023,geoId/40013796600,dcid:Count_Person_5OrMoreYears,5639.0
2023,geoId/40015161601,dcid:Count_Person_5OrMoreYears,4933.0
2023,geoId/40015161602,dcid:Count_Person_5OrMoreYears,2100.0
2023,geoId/40015161700,dcid:Count_Person_5OrMoreYears,1609.0
2023,geoId/40015161800,dcid:Count_Person_5OrMoreYears,2815.0
2023,geoId/40015161900,dcid:Count_Person_5OrMoreYears,1142.0
2023,geoId/40015162000,dcid:Count_Person_5OrMoreYears,2534.0
2023,geoId/40015162101,dcid:Count_Person_5OrMoreYears,2636.0
2023,geoId/40015162102,dcid:Count_Person_5OrMoreYears,3182.0
2023,geoId/40015162200,dcid:Count_Person_5OrMoreYears,1937.0
2023,geoId/40015162300,dcid:Count_Person_5OrMoreYears,2150.0
2023,geoId/40017300100,dcid:Count_Person_5OrMoreYears,2045.0
2023,geoId/40017300201,dcid:Count_Person_5OrMoreYears,6500.0
2023,geoId/40017300202,dcid:Count_Person_5OrMoreYears,4587.0
2023,geoId/40017300300,dcid:Count_Person_5OrMoreYears,3124.0
2023,geoId/40017300400,dcid:Count_Person_5OrMoreYears,1078.0
2023,geoId/40017300500,dcid:Count_Person_5OrMoreYears,2713.0
2023,geoId/40017300600,dcid:Count_Person_5OrMoreYears,3478.0
2023,geoId/40017300701,dcid:Count_Person_5OrMoreYears,1626.0
2023,geoId/40017300702,dcid:Count_Person_5OrMoreYears,5123.0
2023,geoId/40017300802,dcid:Count_Person_5OrMoreYears,4134.0
2023,geoId/40017300803,dcid:Count_Person_5OrMoreYears,2841.0
2023,geoId/40001376600,dcid:MarginOfError_Count_Person_5OrMoreYears,203.0
2023,geoId/40001376700,dcid:MarginOfError_Count_Person_5OrMoreYears,366.0
2023,geoId/40001376800,dcid:MarginOfError_Count_Person_5OrMoreYears,236.0
2023,geoId/40001376900,dcid:MarginOfError_Count_Person_5OrMoreYears,187.0
2023,geoId/40001377000,dcid:MarginOfError_Count_Person_5OrMoreYears,320.0
