Year,Place,StatVar,Quantity
2010,country/USA,dcid:Count_HousingUnit_OccupiedHousingUnit,114235996.0
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_OccupiedHousingUnit,248114.0
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceWhiteAlone,88989840.884
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceWhiteAlone,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceBlackOrAfricanAmericanAlone,13594083.524
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceBlackOrAfricanAmericanAlone,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceAmericanIndianOrAlaskaNativeAlone,799651.972
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceAmericanIndianOrAlaskaNativeAlone,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceAsianAlone,4455203.844
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceAsianAlone,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceNativeHawaiianOrOtherPacificIslanderAlone,114235.996
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceNativeHawaiianOrOtherPacificIslanderAlone,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceSomeOtherRaceAlone,4455203.844
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceSomeOtherRaceAlone,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceTwoOrMoreRaces,1713539.94
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceTwoOrMoreRaces,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceHispanicOrLatino,12908667.548
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceHispanicOrLatino,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceWhiteAloneNotHispanicOrLatino,81221793.156
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceWhiteAloneNotHispanicOrLatino,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderAge35OrLessYears_OccupiedHousingUnit,23532615.176
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderAge35OrLessYears_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderAge35To44Years_OccupiedHousingUnit,22161783.224
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderAge35To44Years_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderAge45To54Years_OccupiedHousingUnit,24674975.136
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderAge45To54Years_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderAge55To64Years_OccupiedHousingUnit,19877063.304
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderAge55To64Years_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderAge65To74Years_OccupiedHousingUnit,12451723.564
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderAge65To74Years_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderAge75To84Years_OccupiedHousingUnit,8453463.704
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderAge75To84Years_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderAge85OrMoreYears_OccupiedHousingUnit,3084371.892
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderAge85OrMoreYears_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderEducationalAttainmentLessThanHighSchoolGraduate_OccupiedHousingUnit,15193387.468
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderEducationalAttainmentLessThanHighSchoolGraduate_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderEducationalAttainmentHighSchoolGraduateIncludesEquivalency_OccupiedHousingUnit,30729482.924
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderEducationalAttainmentHighSchoolGraduateIncludesEquivalency_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderEducationalAttainmentSomeCollegeOrAssociatesDegree_OccupiedHousingUnit,34385034.796
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderEducationalAttainmentSomeCollegeOrAssociatesDegree_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_HouseholderEducationalAttainmentBachelorsDegreeOrHigher_OccupiedHousingUnit,33928090.812
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderEducationalAttainmentBachelorsDegreeOrHigher_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_MovedInDate2000OrLater_OccupiedHousingUnit,66256877.68
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_MovedInDate2000OrLater_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_MovedInDate1990To1999_OccupiedHousingUnit,23875323.164
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_MovedInDate1990To1999_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_MovedInDate1980To1989_OccupiedHousingUnit,10852419.62
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_MovedInDate1980To1989_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_MovedInDate1970To1979_OccupiedHousingUnit,7196867.748
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_MovedInDate1970To1979_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_MovedInDate1969OrEarlier_OccupiedHousingUnit,6168743.784
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_MovedInDate1969OrEarlier_OccupiedHousingUnit,114235.996
2010,country/USA,dcid:Count_HousingUnit_OwnerOccupied,76089650.0
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_OwnerOccupied,362764.0
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceWhiteAlone_OwnerOccupied,63839216.35
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceWhiteAlone_OwnerOccupied,76089.65
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceBlackOrAfricanAmericanAlone_OwnerOccupied,6239351.3
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceBlackOrAfricanAmericanAlone_OwnerOccupied,76089.65
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceAmericanIndianOrAlaskaNativeAlone_OwnerOccupied,456537.9
2010,country/USA,dcid:MarginOfError_Count_HousingUnit_HouseholderRaceAmericanIndianOrAlaskaNativeAlone_OwnerOccupied,76089.65
2010,country/USA,dcid:Count_HousingUnit_HouseholderRaceAsianAlone_OwnerOccupied,2663137.75
