Year,Place,StatVar,Quantity,Unit
2023,country/USA,dcid:Count_Person,332387540.0,
2023,country/USA,dcid:Count_Person_Male,164531832.3,
2023,country/USA,dcid:MarginOfError_Count_Person_Male,332387.54,
2023,country/USA,dcid:Count_Person_Female,167855707.7,
2023,country/USA,dcid:MarginOfError_Count_Person_Female,332387.54,
2023,country/USA,dcid:Count_Person_15OrLessYears,60494532.28,
2023,country/USA,dcid:MarginOfError_Count_Person_15OrLessYears,332387.54,
2023,country/USA,dcid:Count_Person_15To17Years,12963114.06,
2023,country/USA,dcid:MarginOfError_Count_Person_15To17Years,332387.54,
2023,country/USA,dcid:Count_Person_18To24Years,30247266.14,
2023,country/USA,dcid:MarginOfError_Count_Person_18To24Years,332387.54,
2023,country/USA,dcid:Count_Person_25To34Years,45537092.98,
2023,country/USA,dcid:MarginOfError_Count_Person_25To34Years,332387.54,
2023,country/USA,dcid:Count_Person_35To44Years,43542767.74,
2023,country/USA,dcid:MarginOfError_Count_Person_35To44Years,332387.54,
2023,country/USA,dcid:Count_Person_45To54Years,40883667.42,
2023,country/USA,dcid:MarginOfError_Count_Person_45To54Years,332387.54,
2023,country/USA,dcid:Count_Person_55To64Years,42545605.12,
2023,country/USA,dcid:MarginOfError_Count_Person_55To64Years,332387.54,
2023,country/USA,dcid:Count_Person_65To74Years,33238754.0,
2023,country/USA,dcid:MarginOfError_Count_Person_65To74Years,332387.54,
2023,country/USA,dcid:Count_Person_75To84Years,16286989.46,
2023,country/USA,dcid:MarginOfError_Count_Person_75To84Years,332387.54,
2023,country/USA,dcid:Count_Person_85OrMoreYears,6315363.26,
2023,country/USA,dcid:MarginOfError_Count_Person_85OrMoreYears,332387.54,
2023,country/USA,dcid:Count_Person_Upto18Years,73645238.0,
2023,country/USA,dcid:MarginOfError_Count_Person_18OrLessYears,4374.0,
2023,country/USA,dcid:Count_Person_18OrLessYears_Male,37706361.856,
2023,country/USA,dcid:MarginOfError_Count_Person_18OrLessYears_Male,73645.238,
2023,country/USA,dcid:Count_Person_18OrLessYears_Female,35938876.144,
2023,country/USA,dcid:MarginOfError_Count_Person_18OrLessYears_Female,73645.238,
2023,country/USA,dcid:Count_Person_65OrMoreYears,55970047.0,
2023,country/USA,dcid:MarginOfError_Count_Person_65OrMoreYears,4446.0,
2023,country/USA,dcid:Count_Person_65OrMoreYears_Male,25242491.197,
2023,country/USA,dcid:MarginOfError_Count_Person_65OrMoreYears_Male,55970.047,
2023,country/USA,dcid:Count_Person_65OrMoreYears_Female,30727555.803,
2023,country/USA,dcid:MarginOfError_Count_Person_65OrMoreYears_Female,55970.047,
2023,country/USA,dcid:Median_Age_Person,38.7,Years
2023,country/USA,dcid:Count_Person_OneRace,296793819.0,
2023,country/USA,dcid:MarginOfError_Count_Person_OneRace,75151.0,
2023,country/USA,dcid:Count_Person_WhiteAlone,211020405.309,
2023,country/USA,dcid:MarginOfError_Count_Person_WhiteAlone,296793.819,
2023,country/USA,dcid:Count_Person_BlackOrAfricanAmericanAlone,40957547.022,
2023,country/USA,dcid:MarginOfError_Count_Person_BlackOrAfricanAmericanAlone,296793.819,
2023,country/USA,dcid:Count_Person_AmericanIndianOrAlaskaNativeAlone,2967938.19,
2023,country/USA,dcid:MarginOfError_Count_Person_AmericanIndianOrAlaskaNativeAlone,296793.819,
2023,country/USA,dcid:Count_Person_AsianAlone,19291598.235,
2023,country/USA,dcid:MarginOfError_Count_Person_AsianAlone,296793.819,
2023,country/USA,dcid:Count_Person_NativeHawaiianOrOtherPacificIslanderAlone,593587.638,
2023,country/USA,dcid:MarginOfError_Count_Person_NativeHawaiianOrOtherPacificIslanderAlone,296793.819,
2023,country/USA,dcid:Count_Person_SomeOtherRaceAlone,21962742.606,
2023,country/USA,dcid:MarginOfError_Count_Person_SomeOtherRaceAlone,296793.819,
2023,country/USA,dcid:Count_Person_TwoOrMoreRaces,35593721.0,
2023,country/USA,dcid:MarginOfError_Count_Person_TwoOrMoreRaces,75116.0,
2023,country/USA,dcid:Count_Person_HispanicOrLatino,63153632.6,
2023,country/USA,dcid:MarginOfError_Count_Person_HispanicOrLatino,332387.54,
2023,country/USA,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,193449548.28,
2023,country/USA,dcid:MarginOfError_Count_Person_WhiteAloneNotHispanicOrLatino,332387.54,
2023,country/USA,dcid:Count_Person_15OrMoreYears,271789355.0,
2023,country/USA,dcid:MarginOfError_Count_Person_15OrMoreYears,6688.0,
2023,country/USA,dcid:Count_Person_MarriedAndNotSeparated,130187101.045,
2023,country/USA,dcid:MarginOfError_Count_Person_MarriedAndNotSeparated,271789.355,
2023,country/USA,dcid:Count_Person_Widowed,15220203.88,
2023,country/USA,dcid:MarginOfError_Count_Person_Widowed,271789.355,
2023,country/USA,dcid:Count_Person_Divorced,29081460.985,
2023,country/USA,dcid:MarginOfError_Count_Person_Divorced,271789.355,
2023,country/USA,dcid:Count_Person_Separated,4620419.035,
2023,country/USA,dcid:MarginOfError_Count_Person_Separated,271789.355,
2023,country/USA,dcid:Count_Person_NeverMarried,92680170.055,
2023,country/USA,dcid:MarginOfError_Count_Person_NeverMarried,271789.355,
2023,country/USA,dcid:Count_Person_EnrolledInSchool,80120964.0,
2023,country/USA,dcid:MarginOfError_Count_Person_EnrolledInSchool,81768.0,
2023,country/USA,dcid:Count_Person_EnrolledInNurseryThroughGrade12_EnrolledInSchool,58728666.612,
2023,country/USA,dcid:MarginOfError_Count_Person_EnrolledInNurseryThroughGrade12_EnrolledInSchool,80120.964,
2023,country/USA,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool,21392297.388,
2023,country/USA,dcid:MarginOfError_Count_Person_EnrolledInCollegeOrGraduateSchool,80120.964,
2023,country/USA,dcid:Count_Person_25OrMoreYears,228434661.0,
2023,country/USA,dcid:MarginOfError_Count_Person_25OrMoreYears,11047.0,
2023,country/USA,dcid:Count_Person_EducationalAttainmentHighSchoolGraduateOrHigher,204220586.934,
2023,country/USA,dcid:MarginOfError_Count_Person_EducationalAttainmentHighSchoolGraduateOrHigher,228434.661,
2023,country/USA,dcid:Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,79952131.35,
2023,country/USA,dcid:MarginOfError_Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,456869.322,
2023,country/USA,dcid:Count_Person_18OrMoreYears_Civilian,257456135.0,
2023,country/USA,dcid:MarginOfError_Count_Person_18OrMoreYears_Civilian,9871.0,
2023,country/USA,dcid:Count_Person_Veteran,16477192.64,
2023,country/USA,dcid:MarginOfError_Count_Person_Veteran,257456.135,
2023,country/USA,dcid:Count_Person,332387540.0,
2023,country/USA,dcid:Count_Person_WithDisability,44872317.9,
2023,country/USA,dcid:MarginOfError_Count_Person_WithDisability,332387.54,
2023,country/USA,dcid:Count_Person_18To64Years,202772255.0,
2023,country/USA,dcid:MarginOfError_Count_Person_18To64Years,4903.0,
2023,country/USA,dcid:Count_Person_18To64Years_WithDisability,22102175.795,
2023,country/USA,dcid:MarginOfError_Count_Person_18To64Years_WithDisability,202772.255,
2023,country/USA,dcid:Count_Person_18To64Years_NoDisability,180670079.205,
