Year,Place,StatVar,Quantity,Unit
2014,geoId/01,dcid:Count_Person_Civilian_Employed,2010453.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_Civilian_Employed,6237.0,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_PaidWorker,1430365.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_PaidWorker,6191.0,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_PaidEmployee,1372218.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_PaidEmployee,6154.0,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_IncorporatedBusinessOwner,58147.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_IncorporatedBusinessOwner,1883.0,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedNotForProfitEstablishment_PaidWorker,132716.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedNotForProfitEstablishment_PaidWorker,2604.0,
2014,geoId/01,dcid:Count_Person_LocalGovernmentOwnedEstablishment_Worker,143836.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_LocalGovernmentOwnedEstablishment_Worker,2813.0,
2014,geoId/01,dcid:Count_Person_StateGovernmentOwnedEstablishment_Worker,118958.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_StateGovernmentOwnedEstablishment_Worker,2670.0,
2014,geoId/01,dcid:Count_Person_FederalGovernmentOwnedEstablishment_Worker,72869.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_FederalGovernmentOwnedEstablishment_Worker,1974.0,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedEstablishment_UnincorporatedBusinessOwnerOrUnpaidFamilyWorker,111709.0,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedEstablishment_UnincorporatedBusinessOwnerOrUnpaidFamilyWorker,2144.0,
2014,geoId/01,dcid:Count_Person_Civilian_Employed_Male,1053477.372,
2014,geoId/01,dcid:MarginOfError_Count_Person_Civilian_Employed_Male,4020.906,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_Male_PaidWorker,788131.115,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_Male_PaidWorker,2860.73,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_Male_PaidEmployee,745114.374,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_Male_PaidEmployee,2744.436,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_Male_IncorporatedBusinessOwner,43261.368,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_Male_IncorporatedBusinessOwner,639.617,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedNotForProfitEstablishment_Male_PaidWorker,44725.292,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedNotForProfitEstablishment_Male_PaidWorker,1061.728,
2014,geoId/01,dcid:Count_Person_LocalGovernmentOwnedEstablishment_Male_Worker,62424.824,
2014,geoId/01,dcid:MarginOfError_Count_Person_LocalGovernmentOwnedEstablishment_Male_Worker,1150.688,
2014,geoId/01,dcid:Count_Person_StateGovernmentOwnedEstablishment_Male_Worker,45204.04,
2014,geoId/01,dcid:MarginOfError_Count_Person_StateGovernmentOwnedEstablishment_Male_Worker,1189.58,
2014,geoId/01,dcid:Count_Person_FederalGovernmentOwnedEstablishment_Male_Worker,41753.937,
2014,geoId/01,dcid:MarginOfError_Count_Person_FederalGovernmentOwnedEstablishment_Male_Worker,874.428,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedEstablishment_Male_UnincorporatedBusinessOwnerOrUnpaidFamilyWorker,70823.506,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedEstablishment_Male_UnincorporatedBusinessOwnerOrUnpaidFamilyWorker,1228.799,
2014,geoId/01,dcid:Count_Person_Civilian_Employed_Female,956975.628,
2014,geoId/01,dcid:MarginOfError_Count_Person_Civilian_Employed_Female,4020.906,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_Female_PaidWorker,642233.885,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_Female_PaidWorker,2860.73,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_Female_PaidEmployee,627103.626,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_Female_PaidEmployee,2744.436,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedForProfitEstablishment_Female_IncorporatedBusinessOwner,14885.632,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedForProfitEstablishment_Female_IncorporatedBusinessOwner,639.617,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedNotForProfitEstablishment_Female_PaidWorker,87990.708,
2014,geoId/01,dcid:MarginOfError_Count_Person_PrivatelyOwnedNotForProfitEstablishment_Female_PaidWorker,1061.728,
2014,geoId/01,dcid:Count_Person_LocalGovernmentOwnedEstablishment_Female_Worker,81411.176,
2014,geoId/01,dcid:MarginOfError_Count_Person_LocalGovernmentOwnedEstablishment_Female_Worker,1150.688,
2014,geoId/01,dcid:Count_Person_StateGovernmentOwnedEstablishment_Female_Worker,73753.96,
2014,geoId/01,dcid:MarginOfError_Count_Person_StateGovernmentOwnedEstablishment_Female_Worker,1189.58,
2014,geoId/01,dcid:Count_Person_FederalGovernmentOwnedEstablishment_Female_Worker,31115.063,
2014,geoId/01,dcid:MarginOfError_Count_Person_FederalGovernmentOwnedEstablishment_Female_Worker,874.428,
2014,geoId/01,dcid:Count_Person_PrivatelyOwnedEstablishment_Female_UnincorporatedBusinessOwnerOrUnpaidFamilyWorker,40885.494,
