date,value
1984-01-01,72.6
1985-01-01,70
1986-01-01,68
1987-01-01,68.9
1988-01-01,69.1
1989-01-01,68.3
1990-01-01,68
1991-01-01,68.9
1992-01-01,66.7
1993-01-01,65.8
1994-01-01,68.9
1995-01-01,73.3
1996-01-01,75.4
1997-01-01,75.4
1998-01-01,75.4
1999-01-01,76.1
2000-01-01,76.1
2001-01-01,76.1
2002-01-01,77.3
2003-01-01,77.2
2004-01-01,76.4
2005-01-01,76.5
2006-01-01,75.6
2007-01-01,73.5
2008-01-01,73.1
2009-01-01,72.9
2010-01-01,72.6
2011-01-01,71.3
2012-01-01,72
2013-01-01,73.4
2014-01-01,71.4
2015-01-01,70.1
2016-01-01,72.4
2017-01-01,72.7
2018-01-01,69.8
