SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,Location,cnt
162,01,000,00124,00000,0,0,A,Abbeville city,Alabama,2350,2351,2357,2364,2377,geoId/0100124,1
162,01,000,00460,00000,0,0,A,Adamsville city,Alabama,4372,4360,4292,4222,4172,geoId/0100460,1
162,01,000,00484,00000,0,0,A,Addison town,Alabama,662,660,666,670,667,geoId/0100484,1
162,01,000,00676,00000,0,0,A,Akron town,Alabama,229,229,228,223,224,geoId/0100676,1
162,01,000,00820,00000,0,0,A,Alabaster city,Alabama,33334,33392,33748,33869,34107,geoId/0100820,1
162,01,000,00988,00000,0,0,A,Albertville city,Alabama,22392,22409,22535,22726,23031,geoId/0100988,1
162,01,000,01132,00000,0,0,A,Alexander City city,Alabama,14852,14828,14697,14620,14470,geoId/0101132,1
162,01,000,01228,00000,0,0,A,Aliceville city,Alabama,2174,2166,2124,2082,2055,geoId/0101228,1
162,01,000,01396,00000,0,0,A,Allgood town,Alabama,540,539,542,551,556,geoId/0101396,1
162,01,000,01660,00000,0,0,A,Altoona town,Alabama,953,953,950,948,950,geoId/0101660,1
162,01,000,01708,00000,0,0,A,Andalusia city,Alabama,8842,8845,8831,8791,8840,geoId/0101708,1
162,01,000,01756,00000,0,0,A,Anderson town,Alabama,253,253,254,255,255,geoId/0101756,1
162,01,000,01852,00000,0,0,A,Anniston city,Alabama,21563,21515,21349,21181,21167,geoId/0101852,1
162,01,000,02116,00000,0,0,A,Arab city,Alabama,8445,8452,8500,8626,8830,geoId/0102116,1
162,01,000,02260,00000,0,0,A,Ardmore town,Alabama,1323,1336,1370,1394,1421,geoId/0102260,1
162,01,000,02320,00000,0,0,A,Argo town,Alabama,4374,4379,4391,4376,4386,geoId/0102320,1
162,01,000,02428,00000,0,0,A,Ariton town,Alabama,656,654,656,658,662,geoId/0102428,1
162,01,000,02500,00000,0,0,A,Arley town,Alabama,327,326,329,330,329,geoId/0102500,1
162,01,000,02836,00000,0,0,A,Ashford town,Alabama,2245,2247,2254,2267,2329,geoId/0102836,1
162,01,000,02860,00000,0,0,A,Ashland town,Alabama,1988,1984,1972,1965,1942,geoId/0102860,1
162,01,000,02908,00000,0,0,A,Ashville city,Alabama,2353,2358,2381,2382,2402,geoId/0102908,1
162,01,000,02956,00000,0,0,A,Athens city,Alabama,25411,25707,27073,28642,30904,geoId/0102956,1
162,01,000,03004,00000,0,0,A,Atmore city,Alabama,8398,8379,8357,8329,8315,geoId/0103004,1
162,01,000,03028,00000,0,0,A,Attalla city,Alabama,5835,5834,5826,5828,5818,geoId/0103028,1
162,01,000,03076,00000,0,0,A,Auburn city,Alabama,76566,77047,79269,80377,82025,geoId/0103076,1
162,01,000,03220,00000,0,0,A,Autaugaville town,Alabama,795,796,792,797,804,geoId/0103220,1
162,01,000,03364,00000,0,0,A,Avon town,Alabama,464,466,467,474,473,geoId/0103364,1
