table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of California: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
California,"33,871,653","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,253,956","37,349,363"
.Alameda County,"1,443,705","1,449,840","1,469,484","1,462,106","1,454,163","1,445,721","1,441,545","1,444,484","1,455,715","1,477,208","1,498,539","1,510,271","1,513,952"
.Alpine County,"1,206","1,209","1,196","1,237","1,233","1,263","1,219","1,276","1,274","1,202","1,197","1,175","1,163"
.Amador County,"35,101","35,153","35,697","36,561","36,994","37,400","38,040","38,353","38,756","38,248","38,238","38,091","38,042"
.Butte County,"203,125","203,807","206,193","209,120","211,481","213,065","214,752","216,824","217,469","219,034","219,777","220,000","220,072"
.Calaveras County,"40,535","40,645","41,304","42,380","43,755","44,530","45,295","46,045","46,268","46,265","45,900","45,578","45,490"
.Colusa County,"18,799","18,817","19,022","19,232","19,568","20,207","20,540","20,890","21,075","21,134","21,250","21,419","21,474"
.Contra Costa County,"948,865","952,810","970,952","979,862","987,531","992,424","999,013","1,000,834","1,009,152","1,023,344","1,037,890","1,049,025","1,052,827"
.Del Norte County,"27,505","27,440","27,292","27,397","27,601","27,950","28,281","28,211","28,415","28,496","28,599","28,610","28,632"
.El Dorado County,"156,314","157,162","161,101","165,195","168,331","171,653","175,003","176,773","177,694","179,150","180,455","181,058","181,194"
.Fresno County,"798,766","801,288","813,021","829,762","847,193","861,035","872,470","883,862","895,933","909,630","921,478","930,450","933,248"
.Glenn County,"26,432","26,416","26,450","26,651","27,016","27,122","27,393","27,652","27,775","28,019","28,100","28,122","28,129"
.Humboldt County,"126,508","126,462","127,520","128,780","129,754","130,702","131,497","132,093","132,001","132,657","133,744","134,623","134,794"
.Imperial County,"142,334","142,410","143,707","145,640","148,984","152,259","156,113","160,505","164,596","167,917","172,008","174,528","175,234"
.Inyo County,"17,955","17,955","18,117","18,394","18,593","18,578","18,478","18,370","18,426","18,318","18,544","18,546","18,513"
.Kern County,"661,632","663,803","676,574","694,059","714,272","736,296","760,726","784,511","803,281","818,327","830,137","839,631","842,207"
.Kings County,"129,470","129,835","132,881","135,369","139,393","143,601","145,147","147,712","150,420","152,027","152,278","152,982","153,174"
.Lake County,"58,331","58,538","60,219","61,513","62,496","63,116","63,811","64,202","64,077","64,392","64,413","64,665","64,771"
.Lassen County,"33,828","33,719","33,548","33,430","33,930","34,458","34,488","34,605","35,615","35,221","35,160","34,895","34,805"
.Los Angeles County,"9,519,315","9,538,191","9,626,034","9,705,913","9,767,145","9,793,263","9,786,373","9,737,955","9,700,359","9,735,147","9,787,400","9,818,605","9,830,420"
.Madera County,"123,179","123,587","125,581","128,369","132,738","137,106","140,313","143,622","146,067","148,359","149,234","150,865","151,408"
.Marin County,"247,301","247,520","247,866","246,225","245,054","243,769","244,206","244,580","246,248","248,398","250,862","252,409","252,916"
.Mariposa County,"17,112","17,101","17,099","17,243","17,707","17,844","17,972","18,219","18,366","18,412","18,212","18,251","18,243"
.Mendocino County,"86,253","86,407","86,841","87,364","88,140","88,030","87,981","87,345","87,071","87,468","87,722","87,841","87,828"
.Merced County,"211,178","212,258","218,816","225,351","231,735","237,180","242,554","245,338","248,540","250,538","252,302","255,793","256,778"
.Modoc County,"9,431","9,406","9,350","9,362","9,501","9,605","9,565","9,617","9,525","9,551","9,646","9,686","9,685"
.Mono County,"12,839","12,921","13,224","13,404","13,352","13,360","13,474","13,743","13,678","13,862","14,008","14,202","14,234"
