table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Kansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Kansas,"2,688,925","2,693,681","2,702,162","2,713,535","2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704","2,853,118","2,859,169"
.Allen County,"14,394","14,393","14,171","14,110","13,940","13,923","13,733","13,639","13,545","13,422","13,407","13,371","13,354"
.Anderson County,"8,108","8,091","8,195","8,143","8,190","8,101","8,087","8,023","8,040","8,158","8,101","8,102","8,097"
.Atchison County,"16,787","16,796","16,868","16,823","16,875","16,937","16,865","16,902","16,864","16,820","16,965","16,924","16,894"
.Barber County,"5,307","5,292","5,158","5,088","5,049","5,004","4,984","5,003","4,927","4,844","4,882","4,861","4,844"
.Barton County,"28,200","28,163","27,771","27,684","27,581","27,390","27,536","27,460","27,492","27,314","27,526","27,674","27,705"
.Bourbon County,"15,380","15,366","15,368","15,200","15,187","15,110","15,002","14,990","15,038","15,127","15,157","15,173","15,172"
.Brown County,"10,728","10,709","10,555","10,373","10,271","10,253","10,087","10,111","10,036","9,988","9,972","9,984","9,988"
.Butler County,"59,455","59,681","59,894","60,473","61,056","61,849","62,547","63,571","64,213","64,941","65,617","65,880","65,923"
.Chase County,"3,030","3,019","2,966","3,008","2,942","2,996","2,962","2,949","2,840","2,810","2,779","2,790","2,794"
.Chautauqua County,"4,359","4,344","4,240","4,183","4,143","4,139","3,989","3,836","3,757","3,735","3,691","3,669","3,660"
.Cherokee County,"22,601","22,554","22,338","22,185","22,138","22,124","21,750","21,855","21,896","21,720","21,658","21,603","21,569"
.Cheyenne County,"3,165","3,157","3,083","3,033","2,957","2,922","2,880","2,866","2,810","2,778","2,743","2,726","2,720"
.Clark County,"2,395","2,402","2,393","2,372","2,364","2,358","2,298","2,252","2,200","2,225","2,242","2,215","2,201"
.Clay County,"8,845","8,827","8,730","8,607","8,493","8,447","8,444","8,458","8,527","8,618","8,500","8,535","8,553"
.Cloud County,"10,271","10,238","10,090","9,948","9,886","9,739","9,741","9,560","9,525","9,541","9,545","9,533","9,518"
.Coffey County,"8,871","8,932","8,828","8,784","8,795","8,694","8,622","8,652","8,542","8,563","8,566","8,601","8,610"
.Comanche County,"1,967","1,955","1,984","1,956","1,910","1,905","1,931","1,842","1,841","1,902","1,878","1,891","1,895"
.Cowley County,"36,307","36,342","36,103","36,680","36,300","36,317","35,928","35,787","36,148","36,284","36,195","36,311","36,285"
.Crawford County,"38,248","38,262","38,434","38,330","38,631","38,656","38,638","38,855","38,922","38,997","38,966","39,134","39,185"
.Decatur County,"3,472","3,460","3,450","3,381","3,302","3,239","3,128","3,107","3,043","2,992","2,980","2,961","2,952"
.Dickinson County,"19,327","19,349","19,138","19,121","19,238","19,189","19,285","19,429","19,454","19,862","19,730","19,754","19,739"
.Doniphan County,"8,249","8,240","8,219","8,186","8,144","8,013","7,868","7,936","7,988","8,003","7,907","7,945","7,950"
.Douglas County,"99,953","100,247","101,269","102,552","103,570","104,826","105,681","107,187","107,892","109,010","110,039","110,826","111,130"
.Edwards County,"3,449","3,434","3,376","3,309","3,223","3,231","3,194","3,078","3,068","3,058","3,008","3,037","3,049"
.Elk County,"3,261","3,217","3,147","3,148","3,087","3,073","3,041","2,971","2,939","2,954","2,914","2,882","2,872"
.Ellis County,"27,506","27,454","27,591","27,532","27,507","27,457","27,429","27,653","27,710","28,010","28,353","28,452","28,467"
.Ellsworth County,"6,524","6,536","6,477","6,419","6,440","6,437","6,404","6,465","6,503","6,471","6,432","6,497","6,511"
.Finney County,"40,517","40,508","39,730","38,499","37,701","37,462","36,754","36,259","35,663","35,461","36,300","36,776","37,013"
.Ford County,"32,452","32,544","32,182","31,981","32,285","32,265","32,354","32,029","32,168","32,187","33,158","33,848","34,094"
.Franklin County,"24,784","24,869","25,000","25,218","25,312","25,525","25,527","25,716","25,734","25,851","25,870","25,992","26,035"
.Geary County,"27,849","27,845","27,821","27,679","27,532","27,149","27,099","27,708","27,951","30,276","31,537","34,362","35,212"
.Gove County,"3,074","3,087","3,044","3,018","2,947","2,896","2,840","2,824","2,757","2,646","2,689","2,695","2,691"
.Graham County,"2,944","2,925","2,896","2,886","2,842","2,786","2,762","2,751","2,707","2,669","2,592","2,597","2,595"
.Grant County,"7,905","7,880","7,789","7,901","7,770","7,722","7,687","7,707","7,756","7,674","7,731","7,829","7,852"
.Gray County,"5,918","5,913","5,921","5,973","5,981","5,951","5,882","5,838","5,735","5,821","5,920","6,006","6,037"
.Greeley County,"1,534","1,530","1,524","1,422","1,377","1,366","1,299","1,262","1,275","1,247","1,210","1,247","1,259"
.Greenwood County,"7,663","7,647","7,653","7,567","7,493","7,415","7,222","6,944","6,957","6,817","6,724","6,689","6,677"
.Hamilton County,"2,665","2,651","2,675","2,676","2,694","2,642","2,590","2,583","2,633","2,638","2,669","2,690","2,694"
.Harper County,"6,537","6,511","6,436","6,307","6,308","6,261","6,166","6,049","5,998","6,063","6,025","6,034","6,028"
.Harvey County,"32,885","32,894","32,961","33,254","33,422","33,549","33,566","33,659","33,823","33,994","34,547","34,684","34,726"
.Haskell County,"4,307","4,302","4,246","4,194","4,214","4,238","4,250","4,182","4,184","4,153","4,188","4,256","4,274"
.Hodgeman County,"2,081","2,072","2,118","2,139","2,122","2,089","2,038","2,027","1,959","1,949","1,929","1,916","1,912"
.Jackson County,"12,650","12,655","12,672","12,826","12,983","13,069","13,362","13,356","13,348","13,235","13,369","13,462","13,492"
.Jefferson County,"18,450","18,553","18,640","18,741","18,835","19,042","19,159","19,005","19,049","19,072","19,037","19,126","19,132"
.Jewell County,"3,789","3,747","3,603","3,491","3,421","3,349","3,271","3,264","3,200","3,137","3,077","3,077","3,075"
.Johnson County,"451,541","454,539","463,554","475,239","485,689","495,396","504,441","514,813","523,879","532,175","539,396","544,179","545,876"
.Kearny County,"4,525","4,497","4,489","4,371","4,249","4,231","4,147","4,052","3,928","3,909","3,941","3,977","3,998"
.Kingman County,"8,675","8,685","8,597","8,472","8,544","8,439","8,249","8,119","8,011","7,892","7,885","7,858","7,840"
.Kiowa County,"3,278","3,264","3,160","3,150","3,175","3,130","3,088","3,039","2,837","2,418","2,490","2,553","2,570"
.Labette County,"22,821","22,733","22,436","22,214","22,100","21,911","21,913","21,929","21,928","21,786","21,759","21,607","21,555"
.Lane County,"2,155","2,145","2,104","1,981","1,956","1,916","1,848","1,780","1,763","1,756","1,779","1,750","1,740"
.Leavenworth County,"68,684","68,957","69,906","70,793","70,939","71,373","71,788","72,741","73,791","74,560","75,461","76,227","76,504"
.Lincoln County,"3,578","3,576","3,560","3,513","3,536","3,414","3,443","3,360","3,365","3,333","3,249","3,241","3,235"
.Linn County,"9,541","9,580","9,734","9,724","9,775","9,830","10,032","10,013","9,858","9,731","9,669","9,656","9,640"
.Logan County,"3,051","3,059","2,992","2,984","2,925","2,905","2,881","2,808","2,798","2,779","2,729","2,756","2,758"
.Lyon County,"35,934","35,967","36,049","35,826","35,868","36,034","35,936","35,832","36,018","35,591","33,777","33,690","33,654"
.McPherson County,"29,560","29,572","29,489","29,237","29,239","29,276","29,375","29,174","29,250","29,095","29,222","29,180","29,151"
.Marion County,"13,358","13,394","13,377","13,289","13,240","13,066","13,012","12,804","12,707","12,639","12,654","12,660","12,642"
.Marshall County,"10,967","10,933","10,791","10,585","10,451","10,312","10,270","10,171","10,150","10,174","10,121","10,117","10,117"
.Meade County,"4,628","4,621","4,669","4,663","4,595","4,570","4,586","4,531","4,490","4,497","4,502","4,575","4,596"
.Miami County,"28,340","28,536","28,770","29,072","29,437","30,158","30,758","31,180","31,962","32,131","32,445","32,787","32,860"
.Mitchell County,"6,929","6,911","6,772","6,706","6,688","6,539","6,443","6,382","6,389","6,370","6,420","6,373","6,354"
.Montgomery County,"36,267","36,242","35,935","35,490","35,152","35,150","35,034","35,246","35,504","35,538","35,589","35,471","35,390"
