table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Missouri: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Missouri,"5,596,564","5,607,285","5,641,142","5,674,825","5,709,403","5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088","5,988,927","5,996,231"
.Adair County,"24,968","24,956","24,967","25,072","24,958","24,988","24,849","25,007","24,983","25,399","25,577","25,607","25,607"
.Andrew County,"16,489","16,522","16,580","16,501","16,608","16,580","16,511","16,861","16,834","16,924","17,036","17,291","17,377"
.Atchison County,"6,424","6,389","6,344","6,189","6,193","6,153","6,053","5,908","5,909","5,798","5,781","5,685","5,658"
.Audrain County,"25,857","25,862","25,784","25,800","25,728","25,555","25,725","25,869","25,658","25,774","25,628","25,529","25,490"
.Barry County,"33,980","33,971","33,981","34,111","34,555","34,849","35,241","35,756","35,844","35,935","35,640","35,597","35,588"
.Barton County,"12,543","12,542","12,684","12,780","12,924","12,941","12,976","12,972","12,769","12,589","12,454","12,402","12,385"
.Bates County,"16,648","16,700","16,801","17,009","17,109","17,088","17,117","17,193","17,189","17,194","17,044","17,049","17,042"
.Benton County,"17,141","17,202","17,399","17,588","17,996","18,336","18,688","18,749","19,025","19,046","18,996","19,056","19,060"
.Bollinger County,"12,012","12,047","12,294","12,367","12,400","12,427","12,466","12,496","12,554","12,429","12,412","12,363","12,332"
.Boone County,"135,477","135,940","138,181","140,695","143,019","145,348","148,786","152,784","155,666","158,089","160,565","162,642","163,232"
.Buchanan County,"86,013","86,192","86,026","86,027","85,887","86,039","86,378","86,543","87,740","88,317","89,233","89,201","89,144"
.Butler County,"40,864","40,826","40,837","41,068","41,131","41,476","41,995","42,246","42,109","42,351","42,683","42,794","42,796"
.Caldwell County,"8,964","8,975","9,006","9,041","9,152","9,230","9,273","9,343","9,395","9,359","9,365","9,424","9,436"
.Callaway County,"40,762","40,927","41,490","41,973","42,023","41,767","42,683","43,118","43,414","43,855","44,041","44,332","44,419"
.Camden County,"36,807","37,053","37,497","38,263","38,832","39,572","40,641","41,832","42,744","43,462","43,762","44,002","43,985"
.Cape Girardeau County,"68,691","68,796","69,340","69,735","70,186","71,121","71,793","72,941","73,510","74,141","74,927","75,674","75,895"
.Carroll County,"10,289","10,267","10,136","10,097","10,000","9,922","9,912","9,743","9,622","9,451","9,314","9,295","9,296"
.Carter County,"5,940","5,974","5,915","5,944","5,994","5,982","6,008","6,030","6,117","6,122","6,138","6,265","6,299"
.Cass County,"82,123","82,592","84,504","86,645","88,020","90,759","92,520","94,494","96,845","98,095","98,835","99,478","99,723"
.Cedar County,"13,713","13,720","13,901","13,909","13,975","14,073","14,297","14,229","14,169","14,120","13,964","13,982","13,973"
.Chariton County,"8,436","8,411","8,276","8,277","8,193","8,174","8,092","8,013","7,900","7,829","7,767","7,831","7,847"
.Christian County,"54,303","54,936","56,824","58,674","60,672","63,171","65,963","69,394","72,545","74,705","76,309","77,422","77,825"
.Clark County,"7,416","7,387","7,433","7,366","7,281","7,239","7,224","7,206","7,212","7,168","7,111","7,139","7,148"
.Clay County,"183,941","184,703","188,024","190,959","193,436","196,718","200,659","206,369","211,179","215,142","219,669","221,939","222,718"
.Clinton County,"19,002","19,046","19,371","19,525","20,034","20,409","20,392","20,347","20,774","20,781","20,765","20,743","20,742"
.Cole County,"71,423","71,485","71,650","72,138","72,728","72,427","72,948","73,509","73,977","74,760","75,408","75,990","76,182"
.Cooper County,"16,668","16,764","16,714","16,999","17,002","17,203","17,380","17,547","17,693","17,502","17,564","17,601","17,610"
.Crawford County,"22,785","22,828","22,876","23,420","23,734","23,918","24,137","24,373","24,689","24,698","24,802","24,696","24,637"
.Dade County,"7,920","7,915","7,920","7,899","7,896","7,893","7,910","7,974","7,969","7,951","7,885","7,883","7,867"
.Dallas County,"15,725","15,751","15,802","15,908","16,031","16,275","16,325","16,580","16,953","16,955","16,816","16,777","16,762"
.Daviess County,"8,012","7,998","7,972","8,040","8,125","8,228","8,231","8,331","8,309","8,330","8,382","8,433","8,441"
.DeKalb County,"13,090","13,137","13,111","13,180","13,284","12,734","12,727","12,882","12,921","12,833","12,825","12,892","12,900"
.Dent County,"14,926","14,947","15,088","14,935","15,050","15,157","15,257","15,419","15,344","15,495","15,544","15,657","15,681"
.Douglas County,"13,082","13,097","13,070","13,270","13,239","13,372","13,474","13,573","13,637","13,800","13,793","13,684","13,642"
.Dunklin County,"33,184","33,148","33,006","32,871","32,723","32,420","32,581","32,388","32,255","32,158","31,977","31,953","31,920"
.Franklin County,"93,820","94,050","94,872","95,771","96,480","97,465","98,417","99,341","100,265","101,149","101,422","101,492","101,508"
.Gasconade County,"15,350","15,374","15,395","15,407","15,460","15,464","15,516","15,479","15,450","15,309","15,204","15,222","15,226"
.Gentry County,"6,867","6,873","6,875","6,780","6,725","6,771","6,780","6,776","6,758","6,806","6,740","6,738","6,719"
.Greene County,"240,460","241,015","243,305","245,822","249,312","253,130","257,282","263,046","267,576","270,901","274,013","275,174","275,414"
.Grundy County,"10,420","10,513","10,427","10,253","10,304","10,209","10,280","10,187","10,199","10,196","10,215","10,261","10,273"
.Harrison County,"8,856","8,873","8,779","8,771","8,791","8,753","8,893","8,870","8,951","8,956","8,987","8,957","8,941"
.Henry County,"22,005","22,108","22,307","22,179","22,410","22,442","22,354","22,556","22,474","22,291","22,277","22,272","22,266"
.Hickory County,"8,922","8,940","9,036","8,929","9,171","9,316","9,476","9,518","9,594","9,592","9,561","9,627","9,628"
.Holt County,"5,354","5,326","5,310","5,148","5,154","5,116","5,047","4,976","4,997","4,926","4,911","4,912","4,910"
.Howard County,"10,208","10,182","10,155","10,072","10,056","10,012","10,091","10,089","10,079","10,138","10,172","10,144","10,123"
.Howell County,"37,273","37,285","37,259","37,429","37,717","38,036","38,704","39,067","39,391","39,910","39,917","40,400","40,532"
.Iron County,"10,676","10,628","10,616","10,608","10,508","10,617","10,630","10,710","10,681","10,667","10,715","10,630","10,579"
.Jackson County,"654,941","655,709","657,012","658,765","658,914","658,307","658,592","660,539","662,995","665,427","670,763","674,158","675,259"
.Jasper County,"104,704","104,966","105,628","106,684","107,690","108,897","110,219","112,030","113,754","115,144","116,448","117,404","117,770"
.Jefferson County,"198,362","198,937","200,682","202,477","204,912","207,829","210,142","213,105","214,948","216,409","217,764","218,733","219,084"
.Johnson County,"48,270","48,534","49,355","49,796","50,027","50,905","51,178","51,500","51,750","51,889","52,351","52,595","52,715"
.Knox County,"4,360","4,356","4,296","4,282","4,254","4,236","4,188","4,158","4,152","4,117","4,111","4,131","4,133"
.Laclede County,"32,532","32,598","32,889","32,862","33,155","33,513","34,236","34,937","35,333","35,518","35,355","35,571","35,642"
.Lafayette County,"32,939","33,000","32,927","32,984","33,081","33,110","33,280","33,288","33,186","33,434","33,246","33,381","33,409"
.Lawrence County,"35,216","35,352","35,665","36,234","36,441","36,798","37,399","37,779","38,323","38,508","38,652","38,634","38,601"
.Lewis County,"10,487","10,500","10,420","10,408","10,354","10,319","10,272","10,286","10,286","10,196","10,204","10,211","10,203"
.Lincoln County,"38,916","39,196","40,610","41,970","43,580","44,995","46,945","49,117","50,758","51,847","52,243","52,566","52,702"
.Linn County,"13,754","13,722","13,617","13,495","13,365","13,256","13,074","12,928","12,875","12,788","12,775","12,761","12,752"
.Livingston County,"14,562","14,519","14,596","14,556","14,589","14,604","14,624","14,717","14,852","14,929","15,110","15,195","15,196"
.McDonald County,"21,684","21,665","21,688","21,712","22,105","22,410","22,718","22,977","22,996","22,943","23,076","23,083","23,087"
.Macon County,"15,760","15,734","15,613","15,441","15,568","15,497","15,595","15,562","15,533","15,512","15,509","15,566","15,581"
.Madison County,"11,851","11,853","11,855","11,877","11,835","11,937","12,007","12,130","12,310","12,396","12,313","12,226","12,196"
.Maries County,"8,924","8,918","8,822","8,824","8,850","9,077","9,170","9,235","9,281","9,191","9,122","9,176","9,185"
.Marion County,"28,267","28,285","28,115","28,067","28,282","28,193","28,309","28,468","28,365","28,550","28,720","28,781","28,793"
.Mercer County,"3,756","3,747","3,750","3,699","3,717","3,701","3,684","3,668","3,684","3,748","3,776","3,785","3,777"
.Miller County,"23,562","23,617","23,911","24,082","24,056","24,488","24,582","24,759","24,843","24,867","24,840","24,748","24,714"
.Mississippi County,"13,430","13,395","13,424","13,526","13,626","13,669","13,872","14,033","14,058","14,087","14,146","14,358","14,390"
.Moniteau County,"14,829","14,847","14,805","15,006","15,105","15,082","15,312","15,340","15,416","15,424","15,545","15,607","15,616"
.Monroe County,"9,320","9,329","9,291","9,259","9,274","9,254","9,209","9,219","9,216","9,157","9,014","8,840","8,782"
.Montgomery County,"12,140","12,141","12,120","12,084","12,095","12,236","12,285","12,242","12,299","12,273","12,179","12,236","12,241"
.Morgan County,"19,239","19,291","19,543","19,588","19,831","20,106","20,273","20,570","20,716","20,745","20,566","20,565","20,559"
.New Madrid County,"19,691","19,657","19,638","19,416","19,405","19,235","18,919","18,821","18,780","18,805","18,896","18,956","18,934"
.Newton County,"52,596","52,699","52,939","53,408","54,347","55,100","55,941","56,671","57,470","57,600","57,946","58,114","58,117"
.Nodaway County,"21,913","21,897","22,070","22,239","22,319","22,517","22,588","22,698","22,804","23,026","23,242","23,370","23,384"
.Oregon County,"10,332","10,327","10,219","10,328","10,422","10,503","10,513","10,669","10,685","10,697","10,724","10,881","10,922"
.Osage County,"13,019","13,026","13,046","13,073","13,315","13,361","13,507","13,687","13,648","13,753","13,886","13,878","13,865"
.Ozark County,"9,536","9,532","9,447","9,496","9,582","9,555","9,557","9,667","9,655","9,718","9,673","9,723","9,728"
.Pemiscot County,"20,079","20,060","19,887","19,839","19,592","19,338","19,211","18,953","18,788","18,552","18,378","18,296","18,263"
.Perry County,"18,120","18,134","18,171","18,318","18,313","18,454","18,602","18,672","18,961","18,976","19,050","18,971","18,937"
.Pettis County,"39,418","39,486","39,577","39,543","39,669","39,883","40,455","40,937","41,239","41,565","41,907","42,201","42,287"
.Phelps County,"39,826","39,945","40,219","41,193","41,883","42,616","43,327","44,025","44,300","44,200","44,540","45,156","45,301"
.Pike County,"18,347","18,301","18,258","18,311","18,426","18,434","18,725","18,707","18,588","18,602","18,544","18,516","18,507"
.Platte County,"73,826","74,316","76,143","77,986","79,577","81,106","82,615","83,913","85,656","87,003","88,219","89,322","89,677"
.Polk County,"26,922","26,999","27,421","27,826","28,345","28,690","29,308","30,053","30,576","30,790","31,085","31,137","31,139"
.Pulaski County,"41,170","41,957","43,558","44,535","44,507","45,301","45,570","46,482","47,357","48,300","50,630","52,274","52,803"
