table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Ohio,"11,353,336","11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896","11,536,504","11,536,182"
.Adams County,"27,303","27,317","27,522","27,817","28,111","28,328","28,522","28,615","28,538","28,686","28,500","28,550","28,550"
.Allen County,"108,464","108,589","108,523","108,518","107,418","106,826","106,861","106,716","106,717","106,773","106,518","106,331","106,205"
.Ashland County,"52,516","52,502","52,560","52,595","52,867","52,852","53,048","53,231","53,544","53,499","53,305","53,139","53,127"
.Ashtabula County,"102,681","102,705","102,450","102,577","102,667","102,648","102,638","102,340","102,156","101,826","101,584","101,497","101,429"
.Athens County,"62,193","62,324","62,997","63,401","63,827","63,230","64,075","64,237","64,102","64,546","64,618","64,757","64,770"
.Auglaize County,"46,230","46,186","46,137","45,943","45,872","45,932","46,166","46,034","45,977","46,167","45,996","45,949","45,939"
.Belmont County,"70,239","70,172","69,901","70,293","70,219","70,241","70,203","70,469","70,430","70,356","70,439","70,400","70,319"
.Brown County,"42,261","42,566","42,839","43,368","43,794","43,995","44,161","44,334","44,490","44,668","44,740","44,846","44,857"
.Butler County,"332,341","333,368","336,679","339,514","343,022","346,655","350,732","356,691","361,192","364,179","366,633","368,130","368,630"
.Carroll County,"28,822","28,851","28,961","29,172","29,325","29,297","29,118","29,163","29,062","28,999","28,917","28,836","28,800"
.Champaign County,"38,904","38,941","39,047","39,280","39,395","39,565","39,592","40,018","40,127","40,263","40,265","40,097","40,025"
.Clark County,"144,742","144,605","143,803","143,229","141,758","141,380","141,367","140,668","139,829","139,404","138,778","138,333","138,193"
.Clermont County,"177,322","177,960","179,845","182,143","184,446","187,281","189,486","192,209","194,346","195,891","196,512","197,363","197,604"
.Clinton County,"40,473","40,566","40,777","41,042","41,250","41,557","41,775","42,499","42,576","42,656","42,418","42,040","41,930"
.Columbiana County,"112,050","112,048","111,370","111,097","111,000","110,627","109,784","109,673","109,153","108,469","107,948","107,841","107,800"
.Coshocton County,"36,654","36,724","36,975","37,149","37,288","37,421","37,363","37,339","37,184","36,953","36,878","36,901","36,875"
.Crawford County,"46,909","46,827","46,533","46,271","45,928","45,776","45,536","44,907","44,634","44,291","43,921","43,784","43,718"
