table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Rhode Island: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Rhode Island,"1,048,259","1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646","1,052,567","1,052,886"
.Bristol County,"50,653","50,697","50,942","51,850","51,658","52,213","51,667","50,996","50,914","50,668","50,075","49,875","49,853"
.Kent County,"167,220","167,516","168,516","169,478","170,641","170,539","169,815","168,522","167,515","167,269","166,766","166,158","166,103"
.Newport County,"85,442","85,734","85,754","85,953","85,646","85,509","83,962","85,130","82,881","82,505","82,896","82,888","82,852"
.Providence County,"621,404","622,378","626,935","632,252","636,149","638,358","635,060","631,691","629,110","627,889","626,304","626,667","627,070"
.Washington County,"123,540","123,943","124,995","126,462","127,248","127,960","127,412","126,757","126,895","126,672","127,605","126,979","127,008"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Rhode Island: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-44)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
