table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Texas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Texas,"20,851,028","20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761","25,145,561","25,257,114"
.Anderson County,"55,114","55,062","54,263","54,740","56,068","56,245","56,873","57,386","57,870","57,963","58,410","58,458","58,452"
.Andrews County,"13,002","12,949","12,856","13,022","12,976","13,006","13,016","13,195","13,513","14,099","14,601","14,786","14,833"
.Angelina County,"80,123","80,270","80,273","80,803","81,510","82,070","82,553","83,810","84,518","84,961","86,029","86,771","86,953"
.Aransas County,"22,457","22,452","22,287","22,616","22,843","23,067","23,561","23,395","23,172","23,225","23,291","23,158","23,151"
.Archer County,"8,904","8,966","8,849","8,942","9,013","9,078","9,068","9,063","9,026","9,104","9,023","9,054","9,060"
.Armstrong County,"2,153","2,166","2,128","2,036","2,001","2,023","2,037","1,989","1,936","1,936","1,911","1,901","1,902"
.Atascosa County,"38,564","38,805","39,828","40,767","41,306","42,109","42,495","43,059","43,611","43,947","44,623","44,911","45,003"
.Austin County,"23,586","23,836","24,341","24,818","25,388","25,976","26,331","26,828","27,454","27,935","28,254","28,417","28,443"
.Bailey County,"6,593","6,596","6,636","6,637","6,791","6,945","7,024","7,001","6,927","6,979","7,050","7,165","7,180"
.Bandera County,"17,589","17,755","18,125","18,652","19,044","19,226","19,428","19,775","20,254","20,407","20,365","20,485","20,523"
.Bastrop County,"57,702","58,234","61,106","63,508","65,825","67,122","68,233","69,720","71,348","72,389","73,587","74,171","74,403"
.Baylor County,"4,091","4,135","3,930","3,897","3,941","3,955","3,877","3,870","3,905","3,747","3,726","3,726","3,725"
.Bee County,"32,347","32,200","31,695","31,804","32,620","32,352","32,101","31,977","31,936","31,814","31,864","31,861","31,887"
.Bell County,"238,000","239,890","244,299","249,671","252,922","258,138","266,017","273,771","287,752","297,873","301,050","310,235","313,000"
.Bexar County,"1,393,035","1,398,834","1,419,020","1,446,755","1,469,623","1,500,919","1,529,270","1,573,935","1,615,210","1,651,709","1,685,628","1,714,773","1,723,780"
.Blanco County,"8,436","8,495","8,776","8,950","9,096","9,337","9,554","9,686","9,835","10,061","10,315","10,497","10,527"
.Borden County,729,715,677,685,666,671,638,634,597,612,618,641,647
.Bosque County,"17,188","17,218","17,338","17,474","17,647","17,871","17,990","18,046","18,077","17,939","18,004","18,212","18,269"
.Bowie County,"89,296","89,156","88,942","88,813","88,839","89,055","89,239","90,235","90,456","91,349","92,231","92,565","92,723"
