table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of West Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
West Virginia,"1,808,193","1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,852,994","1,853,973"
.Barbour County,"15,555","15,560","15,436","15,569","15,639","15,629","15,722","15,922","16,036","16,241","16,479","16,589","16,601"
.Berkeley County,"75,899","76,357","78,428","80,875","84,524","88,258","92,114","96,318","99,132","101,629","102,830","104,169","104,641"
.Boone County,"25,548","25,473","25,372","25,505","25,545","25,455","25,311","25,101","25,115","24,794","24,766","24,629","24,585"
.Braxton County,"14,697","14,713","14,702","14,667","14,632","14,696","14,682","14,585","14,585","14,587","14,512","14,523","14,523"
.Brooke County,"25,427","25,366","25,237","25,156","25,094","24,867","24,703","24,399","24,235","24,168","24,153","24,069","24,017"
.Cabell County,"96,783","96,735","96,035","95,741","95,554","95,239","94,821","94,943","95,059","95,209","96,040","96,319","96,378"
.Calhoun County,"7,587","7,596","7,480","7,443","7,409","7,411","7,507","7,531","7,588","7,621","7,560","7,627","7,640"
.Clay County,"10,336","10,302","10,153","10,166","10,061","10,055","9,852","9,695","9,696","9,603","9,505","9,386","9,360"
.Doddridge County,"7,366","7,396","7,588","7,627","7,741","7,669","7,808","7,848","7,970","8,034","8,124","8,202","8,201"
.Fayette County,"47,591","47,507","47,067","46,935","47,054","46,717","46,229","46,200","46,243","46,171","46,034","46,039","46,042"
.Gilmer County,"7,155","7,208","7,309","7,409","7,615","7,764","7,905","8,083","8,248","8,408","8,529","8,693","8,704"
.Grant County,"11,292","11,280","11,325","11,310","11,406","11,558","11,648","11,834","11,969","12,022","11,963","11,937","11,924"
.Greenbrier County,"34,448","34,437","34,452","34,621","34,831","34,938","35,020","35,196","35,354","35,457","35,351","35,480","35,505"
.Hampshire County,"20,171","20,288","20,668","21,030","21,436","21,766","22,361","23,016","23,492","23,664","23,820","23,964","23,978"
.Hancock County,"32,682","32,652","32,421","32,178","31,925","31,600","31,510","31,266","30,887","30,802","30,748","30,676","30,626"
.Hardy County,"12,647","12,677","12,805","12,877","13,140","13,325","13,529","13,611","13,807","13,793","13,885","14,025","14,063"
.Harrison County,"68,635","68,520","67,817","67,778","67,707","67,900","67,989","68,141","67,940","68,441","68,696","69,099","69,233"
.Jackson County,"28,002","28,061","28,098","28,270","28,362","28,676","28,622","28,877","29,089","29,101","29,155","29,211","29,200"
.Jefferson County,"42,246","42,485","43,348","44,767","46,075","47,163","48,662","50,003","51,264","52,184","53,054","53,498","53,659"
.Kanawha County,"200,111","199,743","197,898","196,422","195,960","195,364","193,878","192,954","192,354","192,414","193,150","193,063","192,976"
.Lewis County,"16,914","16,832","16,802","16,681","16,739","16,622","16,593","16,445","16,360","16,422","16,422","16,372","16,383"
.Lincoln County,"22,107","22,115","22,067","22,113","22,218","22,168","22,160","22,064","21,953","21,881","21,794","21,720","21,702"
.Logan County,"37,705","37,577","37,013","37,093","36,947","36,582","36,476","36,440","36,443","36,548","36,645","36,743","36,743"
.McDowell County,"27,331","27,099","26,301","25,730","24,989","24,264","23,711","23,199","22,746","22,494","22,276","22,113","22,062"
.Marion County,"56,603","56,474","56,060","55,997","56,081","55,957","56,068","56,284","56,445","56,141","56,426","56,418","56,482"
.Marshall County,"35,529","35,399","35,191","34,890","34,736","34,521","34,122","33,814","33,583","33,248","33,116","33,107","33,086"
.Mason County,"25,952","25,973","26,258","26,343","26,511","26,521","26,363","26,648","26,738","27,097","27,309","27,324","27,289"
.Mercer County,"62,978","62,911","61,858","62,016","61,910","61,694","61,303","61,297","61,615","61,848","62,177","62,264","62,282"
.Mineral County,"27,086","27,054","27,071","27,258","27,381","27,250","27,193","27,324","27,532","27,824","28,080","28,212","28,218"
.Mingo County,"28,247","28,007","27,489","27,583","27,486","27,214","27,096","27,054","27,145","26,850","26,943","26,839","26,789"
.Monongalia County,"81,886","82,002","83,230","84,223","85,983","87,101","88,424","89,656","90,764","92,200","94,165","96,189","96,791"
.Monroe County,"13,184","13,181","13,245","13,257","13,349","13,355","13,369","13,382","13,452","13,607","13,543","13,502","13,493"
.Morgan County,"14,929","15,021","15,270","15,461","15,772","16,117","16,462","17,038","17,410","17,520","17,580","17,541","17,495"
.Nicholas County,"26,561","26,543","26,177","26,160","26,063","26,089","26,195","26,205","26,130","26,138","26,253","26,233","26,221"
.Ohio County,"47,432","47,343","46,636","46,259","45,711","45,424","45,113","44,925","44,714","44,469","44,355","44,443","44,449"
.Pendleton County,"8,186","8,166","8,112","8,030","8,073","8,036","7,941","7,922","7,792","7,761","7,701","7,695","7,687"
.Pleasants County,"7,513","7,501","7,634","7,631","7,548","7,731","7,680","7,670","7,698","7,702","7,672","7,605","7,578"
.Pocahontas County,"9,114","9,099","8,955","9,004","9,034","9,090","8,983","8,938","8,851","8,807","8,746","8,719","8,699"
.Preston County,"29,315","29,336","29,534","30,120","30,483","30,961","31,513","32,238","32,743","33,067","33,333","33,520","33,497"
.Putnam County,"51,563","51,684","51,483","51,930","52,581","53,122","53,614","54,207","54,669","55,051","55,178","55,486","55,597"
.Raleigh County,"79,237","79,018","78,251","78,737","78,465","78,428","78,341","78,178","78,323","78,379","78,782","78,859","78,904"
.Randolph County,"28,274","28,259","28,373","28,487","28,422","28,648","28,807","29,049","29,113","29,236","29,381","29,405","29,387"
.Ritchie County,"10,351","10,346","10,333","10,372","10,434","10,415","10,506","10,588","10,558","10,516","10,478","10,449","10,432"
.Roane County,"15,447","15,461","15,428","15,313","15,401","15,337","15,405","15,442","15,215","15,048","14,966","14,926","14,908"
.Summers County,"14,381","14,356","14,301","14,123","14,106","13,997","13,950","13,879","13,842","13,712","13,882","13,927","13,920"
.Taylor County,"16,060","16,050","16,079","16,089","16,160","16,247","16,318","16,498","16,640","16,792","16,838","16,895","16,894"
.Tucker County,"7,307","7,288","7,248","7,332","7,294","7,223","7,178","7,111","7,117","7,160","7,172","7,141","7,123"
.Tyler County,"9,583","9,569","9,533","9,467","9,475","9,517","9,531","9,484","9,423","9,363","9,249","9,208","9,178"
.Upshur County,"23,394","23,406","23,366","23,420","23,766","23,820","23,654","23,754","23,851","23,929","24,124","24,254","24,260"
.Wayne County,"42,919","42,949","42,919","42,800","42,937","42,955","42,860","42,717","42,727","42,767","42,637","42,481","42,388"
.Webster County,"9,716","9,675","9,614","9,600","9,593","9,612","9,463","9,391","9,260","9,260","9,167","9,154","9,156"
.Wetzel County,"17,690","17,675","17,342","17,266","17,186","17,183","17,101","16,917","16,764","16,645","16,588","16,583","16,570"
