SUMLEV,STATE,STNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
040,24,Maryland,1,5773552,2791762,2981790,364488,185916,178572,668711,340384,328327,319765,163800,155965,557360,283921,273439,4584109,2185344,2398765,4420588,2101662,2318926,2357553,1164151,1193402,1557614,755979,801635,1597972,762236,835736,707642,299526,408116,364488,185916,178572,366868,186865,180003,379029,193068,185961,406241,208249,197992,393698,199923,193775,393548,194223,199325,368494,179279,189215,377409,181543,195866,418163,200934,217229,461585,221969,239616,440619,211218,229401,377989,179108,198881,317779,149941,167838,226596,104873,121723,159761,72158,87603,124579,53066,71513,98580,38419,60161,98126,31010,67116,38.0,36.4,39.3
040,24,Maryland,2,5773787,2791891,2981896,364491,185918,178573,668714,340384,328330,319767,163801,155966,557376,283927,273449,4584336,2185471,2398865,4420815,2101788,2319027,2357638,1164200,1193438,1557682,756020,801662,1598047,762281,835766,707710,299560,408150,364491,185918,178573,366871,186866,180005,379030,193066,185964,406242,208251,197991,393714,199929,193785,393568,194232,199336,368512,179291,189221,377422,181551,195871,418180,200946,217234,461601,221977,239624,440644,211230,229414,378006,179121,198885,317796,149953,167843,226614,104885,121729,159774,72164,87610,124595,53073,71522,98589,38424,60165,98138,31014,67124,38.0,36.4,39.3
040,24,Maryland,3,5788784,2799968,2988816,365386,186393,178993,668972,340613,328359,318303,162950,155353,559248,284896,274352,4599015,2193455,2405560,4436123,2110012,2326111,2360858,1166579,1194279,1559999,757866,802133,1604929,765585,839344,711947,301665,410282,365386,186393,178993,366524,186646,179878,379140,193100,186040,405736,208074,197662,395123,200639,194484,395606,195503,200103,371637,181065,190572,375494,180756,194738,417262,200542,216720,460755,221581,239174,442580,212212,230368,380551,180378,200173,321043,151414,169629,228422,105760,122662,161050,72712,88338,124617,53146,71471,98756,38595,60161,99102,31452,67650,38.0,36.4,39.3
040,24,Maryland,4,5840241,2826727,3013514,367627,187721,179906,669385,341100,328285,312800,159722,153078,565513,288371,277142,4650395,2220265,2430130,4490429,2138184,2352245,2367948,1171841,1196107,1565647,762235,803412,1629548,777129,852419,729721,310449,419272,367627,187721,179906,366289,186407,179882,379108,193180,185928,402537,206233,196304,399764,203373,196391,401778,199061,202717,383230,187221,196009,365020,176142,188878,415619,199811,215808,453150,217819,235331,449889,215810,234079,390147,185158,204989,336362,158342,178020,235826,109321,126505,167180,75343,91837,125732,53970,71762,98681,38991,59690,102302,32824,69478,38.1,36.4,39.5
040,24,Maryland,5,5888375,2852253,3036122,367028,187103,179925,671648,342563,329085,308892,157693,151199,564898,288586,276312,4697605,2245229,2452376,4540807,2164894,2375913,2374261,1176810,1197451,1576277,769373,806904,1635099,779742,855357,764533,327193,437340,367028,187103,179925,369737,188508,181229,377717,192897,184820,396828,202778,194050,401156,204659,196497,407900,202555,205345,393393,192616,200777,363191,176081,187110,411793,198121,213672,444865,213980,230885,452897,217362,235535,401669,190768,210901,335668,157632,178036,256569,119037,137532,176139,79489,96650,127450,54920,72530,98895,39563,59332,105480,34184,71296,38.2,36.5,39.7
040,24,Maryland,6,5925197,2870851,3054346,365603,186534,179069,672915,343045,329870,306087,156028,150059,563784,288295,275489,4734768,2263664,2471104,4580592,2185244,2395348,2377011,1179713,1197298,1583098,774102,808996,1640547,782085,858462,793163,340762,452401,365603,186534,179069,372649,189902,182747,376224,191855,184369,391010,199687,191323,402903,205924,196979,411944,204875,207069,402128,196912,205216,366184,178146,188038,402842,194169,208673,434227,208730,225497,454380,217853,236527,411193,195928,215265,340747,159574,181173,268244,124360,143884,187890,85033,102857,130510,56417,74093,98831,39864,58967,107688,35088,72600,38.3,36.6,39.8
040,24,Maryland,7,5960064,2887562,3072502,368244,188029,180215,672308,342525,329783,306783,156284,150499,559354,285448,273906,4765925,2278868,2487057,4612729,2200724,2412005,2375814,1179805,1196009,1587160,777511,809649,1644344,783906,860438,821871,353859,468012,368244,188029,180215,373513,190191,183322,376278,191772,184506,386631,197314,189317,402023,204980,197043,414921,206852,208069,407208,199491,207717,373118,181909,191209,391913,189259,202654,422161,202793,219368,455196,218463,236733,419327,200038,219289,347660,162612,185048,280884,130043,150841,196710,88836,107874,135283,58812,76471,98839,39923,58916,110155,36245,73910,38.3,36.7,39.9
040,24,Maryland,8,5988528,2901870,3086658,368501,187965,180536,671222,342005,329217,307228,156884,150344,551322,280888,270434,4794621,2293372,2501249,4641577,2215016,2426561,2373611,1179526,1194085,1591574,780812,810762,1650195,787367,862828,848486,365949,482537,368501,187965,180536,373642,190566,183076,374093,190497,183596,385307,196392,188915,396730,202322,194408,417771,208831,208940,410519,201292,209227,382733,186969,195764,380551,183720,196831,415926,199973,215953,451573,216977,234596,425949,203402,222547,356747,167015,189732,292618,135217,157401,204769,92355,112414,139288,60592,78696,99431,40327,59104,112380,37458,74922,38.4,36.9,40.0
040,24,Maryland,9,6007014,2911529,3095485,367140,187195,179945,674054,343783,330271,305455,155735,149720,542261,276487,265774,4815061,2303735,2511326,4660365,2224816,2435549,2365039,1176677,1188362,1591516,782268,809248,1650436,787673,862763,876152,378388,497764,367140,187195,179945,375022,191551,183471,373225,190045,183180,384803,196124,188679,388720,198285,190435,418789,209782,209007,411971,202651,209320,392247,191627,200620,368509,178208,190301,412838,198556,214282,442708,212539,230169,430839,205969,224870,364051,170609,193442,305261,140650,164611,210799,95035,115764,144916,62862,82054,100317,41036,59281,114859,38805,76054,38.5,37.0,40.1
040,24,Maryland,10,6028186,2921435,3106751,365716,186558,179158,675336,344615,330721,304189,154898,149291,536434,272987,263447,4838092,2314525,2523567,4682945,2235364,2447581,2364213,1176976,1187237,1598109,786913,811196,1645612,785397,860215,902790,390067,512723,365716,186558,179158,373870,190740,183130,375985,191697,184288,383029,195452,187577,383075,194611,188464,418263,210096,208167,414517,204116,210401,400657,195863,204794,364672,176838,187834,407186,195661,211525,432920,207908,225012,432134,206444,225690,373372,175384,197988,303420,139452,163968,228493,102890,125603,152614,66228,86386,101809,41740,60069,116454,39757,76697,38.7,37.2,40.2
