Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1908",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"88,710,000 ","45,594,000 ","43,116,000 ","78,658,000 ","40,542,000 ","38,116,000 ","10,052,000 ","5,052,000 ","5,000,000 "
,,,,,,,,,
0,"2,125,000 ","1,080,000 ","1,045,000 ","1,867,000 ","950,000 ","917,000 ","258,000 ","130,000 ","128,000 "
1,"2,102,000 ","1,064,000 ","1,038,000 ","1,841,000 ","934,000 ","907,000 ","261,000 ","130,000 ","131,000 "
2,"2,076,000 ","1,049,000 ","1,027,000 ","1,812,000 ","918,000 ","894,000 ","264,000 ","131,000 ","133,000 "
3,"2,046,000 ","1,033,000 ","1,013,000 ","1,782,000 ","902,000 ","880,000 ","264,000 ","131,000 ","133,000 "
4,"2,015,000 ","1,016,000 ","999,000 ","1,752,000 ","886,000 ","866,000 ","263,000 ","130,000 ","133,000 "
5,"1,981,000 ","999,000 ","982,000 ","1,719,000 ","869,000 ","850,000 ","262,000 ","130,000 ","132,000 "
6,"1,948,000 ","982,000 ","966,000 ","1,688,000 ","853,000 ","835,000 ","260,000 ","129,000 ","131,000 "
7,"1,913,000 ","965,000 ","948,000 ","1,657,000 ","838,000 ","819,000 ","256,000 ","127,000 ","129,000 "
8,"1,880,000 ","949,000 ","931,000 ","1,627,000 ","823,000 ","804,000 ","253,000 ","126,000 ","127,000 "
9,"1,847,000 ","933,000 ","914,000 ","1,599,000 ","809,000 ","790,000 ","248,000 ","124,000 ","124,000 "
10,"1,816,000 ","918,000 ","898,000 ","1,573,000 ","796,000 ","777,000 ","243,000 ","122,000 ","121,000 "
11,"1,785,000 ","904,000 ","881,000 ","1,547,000 ","784,000 ","763,000 ","238,000 ","120,000 ","118,000 "
