Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1944",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"138,397,345 ","69,377,719 ","69,019,626 ","124,009,212 ","62,249,895 ","61,759,317 ","14,388,133 ","7,127,824 ","7,260,309 "
,,,,,,,,,
0,"2,515,859 ","1,287,770 ","1,228,089 ","2,226,018 ","1,141,404 ","1,084,614 ","289,841 ","146,366 ","143,475 "
1,"2,724,581 ","1,389,074 ","1,335,507 ","2,429,051 ","1,239,977 ","1,189,074 ","295,530 ","149,097 ","146,433 "
2,"2,573,419 ","1,306,926 ","1,266,493 ","2,247,949 ","1,144,023 ","1,103,926 ","325,470 ","162,903 ","162,567 "
3,"2,416,020 ","1,225,033 ","1,190,987 ","2,103,251 ","1,070,036 ","1,033,215 ","312,769 ","154,997 ","157,772 "
4,"2,293,935 ","1,164,754 ","1,129,181 ","1,993,555 ","1,015,521 ","978,034 ","300,380 ","149,233 ","151,147 "
5,"2,222,993 ","1,129,674 ","1,093,319 ","1,936,642 ","986,840 ","949,802 ","286,351 ","142,834 ","143,517 "
6,"2,195,216 ","1,114,678 ","1,080,538 ","1,913,342 ","974,464 ","938,878 ","281,874 ","140,214 ","141,660 "
7,"2,100,096 ","1,061,353 ","1,038,743 ","1,831,706 ","929,054 ","902,652 ","268,390 ","132,299 ","136,091 "
8,"2,095,447 ","1,064,311 ","1,031,136 ","1,828,206 ","930,834 ","897,372 ","267,241 ","133,477 ","133,764 "
9,"2,008,232 ","1,016,760 ","991,472 ","1,755,435 ","892,044 ","863,391 ","252,797 ","124,716 ","128,081 "
10,"2,062,006 ","1,043,028 ","1,018,978 ","1,790,159 ","908,164 ","881,995 ","271,847 ","134,864 ","136,983 "
