Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1950",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"152,271,417 ","75,849,012 ","76,422,405 ","135,983,517 ","67,848,105 ","68,135,412 ","16,287,900 ","8,000,907 ","8,286,993 "
,,,,,,,,,
0,"3,162,567 ","1,610,341 ","1,552,226 ","2,740,809 ","1,400,021 ","1,340,788 ","421,758 ","210,320 ","211,438 "
1,"3,299,863 ","1,686,351 ","1,613,512 ","2,879,756 ","1,473,420 ","1,406,336 ","420,107 ","212,931 ","207,176 "
2,"3,450,042 ","1,754,498 ","1,695,544 ","3,005,301 ","1,531,870 ","1,473,431 ","444,741 ","222,628 ","222,113 "
3,"3,771,883 ","1,919,107 ","1,852,776 ","3,341,832 ","1,704,850 ","1,636,982 ","430,051 ","214,257 ","215,794 "
4,"2,725,600 ","1,391,679 ","1,333,921 ","2,379,978 ","1,217,498 ","1,162,480 ","345,622 ","174,181 ","171,441 "
5,"2,714,560 ","1,382,477 ","1,332,083 ","2,369,875 ","1,211,061 ","1,158,814 ","344,685 ","171,416 ","173,269 "
6,"2,755,636 ","1,401,978 ","1,353,658 ","2,416,269 ","1,232,218 ","1,184,051 ","339,367 ","169,760 ","169,607 "
7,"2,932,959 ","1,499,744 ","1,433,215 ","2,591,230 ","1,328,639 ","1,262,591 ","341,729 ","171,105 ","170,624 "
8,"2,569,056 ","1,306,316 ","1,262,740 ","2,242,443 ","1,143,028 ","1,099,415 ","326,613 ","163,288 ","163,325 "
9,"2,402,326 ","1,220,275 ","1,182,051 ","2,090,921 ","1,065,295 ","1,025,626 ","311,405 ","154,980 ","156,425 "
10,"2,325,360 ","1,184,464 ","1,140,896 ","2,017,361 ","1,030,259 ","987,102 ","307,999 ","154,205 ","153,794 "
