Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1967",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"198,712,056 ","97,563,882 ","101,148,174 ","174,695,114 ","85,960,615 ","88,734,499 ","21,780,162 ","10,470,302 ","11,309,860 ","2,236,780 ","1,132,965 ","1,103,815 "
,,,,,,,,,,,,
0,"3,450,000 ","1,756,823 ","1,693,177 ","2,912,756 ","1,487,474 ","1,425,282 ","485,761 ","243,325 ","242,436 ","51,483 ","26,024 ","25,459 "
1,"3,535,546 ","1,800,459 ","1,735,087 ","2,970,372 ","1,516,384 ","1,453,988 ","513,238 ","257,683 ","255,555 ","51,936 ","26,392 ","25,544 "
2,"3,688,418 ","1,875,801 ","1,812,617 ","3,108,232 ","1,585,034 ","1,523,198 ","531,255 ","266,007 ","265,248 ","48,931 ","24,760 ","24,171 "
3,"3,884,351 ","1,979,730 ","1,904,621 ","3,287,922 ","1,680,215 ","1,607,707 ","547,046 ","274,706 ","272,340 ","49,383 ","24,809 ","24,574 "
4,"4,004,194 ","2,039,407 ","1,964,787 ","3,394,974 ","1,733,943 ","1,661,031 ","557,203 ","279,334 ","277,869 ","52,017 ","26,130 ","25,887 "
5,"4,072,240 ","2,074,905 ","1,997,335 ","3,456,271 ","1,766,152 ","1,690,119 ","559,357 ","280,071 ","279,286 ","56,612 ","28,682 ","27,930 "
6,"4,165,426 ","2,116,695 ","2,048,731 ","3,542,350 ","1,806,112 ","1,736,238 ","567,160 ","282,457 ","284,703 ","55,916 ","28,126 ","27,790 "
7,"4,107,922 ","2,089,332 ","2,018,590 ","3,497,671 ","1,785,294 ","1,712,377 ","556,937 ","277,390 ","279,547 ","53,314 ","26,648 ","26,666 "
8,"4,065,534 ","2,067,288 ","1,998,246 ","3,470,414 ","1,769,179 ","1,701,235 ","545,445 ","273,080 ","272,365 ","49,675 ","25,029 ","24,646 "
9,"4,121,978 ","2,100,317 ","2,021,661 ","3,528,367 ","1,801,870 ","1,726,497 ","543,617 ","273,337 ","270,280 ","49,994 ","25,110 ","24,884 "
10,"4,243,904 ","2,163,648 ","2,080,256 ","3,615,382 ","1,848,347 ","1,767,035 ","575,933 ","288,869 ","287,064 ","52,589 ","26,432 ","26,157 "
11,"3,998,066 ","2,035,667 ","1,962,399 ","3,417,572 ","1,745,018 ","1,672,554 ","531,715 ","266,227 ","265,488 ","48,779 ","24,422 ","24,357 "
12,"3,972,967 ","2,024,900 ","1,948,067 ","3,402,183 ","1,739,140 ","1,663,043 ","525,425 ","262,935 ","262,490 ","45,359 ","22,825 ","22,534 "
13,"3,881,399 ","1,972,164 ","1,909,235 ","3,337,712 ","1,701,206 ","1,636,506 ","501,286 ","249,710 ","251,576 ","42,401 ","21,248 ","21,153 "
14,"3,866,498 ","1,966,585 ","1,899,913 ","3,331,828 ","1,698,850 ","1,632,978 ","492,651 ","246,598 ","246,053 ","42,019 ","21,137 ","20,882 "
15,"3,748,478 ","1,910,343 ","1,838,135 ","3,237,850 ","1,655,280 ","1,582,570 ","468,632 ","233,885 ","234,747 ","41,996 ","21,178 ","20,818 "
16,"3,616,414 ","1,838,824 ","1,777,590 ","3,114,621 ","1,588,195 ","1,526,426 ","460,259 ","229,762 ","230,497 ","41,534 ","20,867 ","20,667 "
17,"3,503,826 ","1,780,730 ","1,723,096 ","3,022,050 ","1,539,569 ","1,482,481 ","439,519 ","219,713 ","219,806 ","42,257 ","21,448 ","20,809 "
18,"3,544,889 ","1,793,774 ","1,751,115 ","3,087,567 ","1,566,214 ","1,521,353 ","415,098 ","206,003 ","209,095 ","42,224 ","21,557 ","20,667 "
19,"3,534,168 ","1,786,500 ","1,747,668 ","3,105,877 ","1,574,970 ","1,530,907 ","386,206 ","190,004 ","196,202 ","42,085 ","21,526 ","20,559 "
20,"3,882,941 ","1,969,182 ","1,913,759 ","3,451,379 ","1,756,389 ","1,694,990 ","390,864 ","191,159 ","199,705 ","40,698 ","21,634 ","19,064 "
21,"2,776,018 ","1,404,395 ","1,371,623 ","2,434,081 ","1,237,591 ","1,196,490 ","305,971 ","147,975 ","157,996 ","35,966 ","18,829 ","17,137 "
22,"2,777,109 ","1,393,333 ","1,383,776 ","2,430,261 ","1,226,726 ","1,203,535 ","310,608 ","148,018 ","162,590 ","36,240 ","18,589 ","17,651 "
23,"2,788,578 ","1,390,644 ","1,397,934 ","2,452,320 ","1,229,433 ","1,222,887 ","298,657 ","142,240 ","156,417 ","37,601 ","18,971 ","18,630 "
24,"3,023,227 ","1,507,466 ","1,515,761 ","2,679,853 ","1,343,996 ","1,335,857 ","303,959 ","143,988 ","159,971 ","39,415 ","19,482 ","19,933 "
25,"2,646,286 ","1,318,100 ","1,328,186 ","2,322,610 ","1,164,660 ","1,157,950 ","288,862 ","136,232 ","152,630 ","34,814 ","17,208 ","17,606 "
26,"2,473,980 ","1,228,960 ","1,245,020 ","2,168,293 ","1,085,171 ","1,083,122 ","272,312 ","127,649 ","144,663 ","33,375 ","16,140 ","17,235 "
27,"2,359,639 ","1,164,534 ","1,195,105 ","2,065,666 ","1,027,681 ","1,037,985 ","262,293 ","122,006 ","140,287 ","31,680 ","14,847 ","16,833 "
28,"2,324,541 ","1,145,640 ","1,178,901 ","2,047,404 ","1,017,056 ","1,030,348 ","246,285 ","113,941 ","132,344 ","30,852 ","14,643 ","16,209 "
29,"2,288,828 ","1,131,050 ","1,157,778 ","2,009,696 ","1,000,764 ","1,008,932 ","248,416 ","115,561 ","132,855 ","30,716 ","14,725 ","15,991 "
30,"2,310,986 ","1,144,373 ","1,166,613 ","2,017,339 ","1,007,350 ","1,009,989 ","261,643 ","121,430 ","140,213 ","32,004 ","15,593 ","16,411 "
31,"2,197,971 ","1,089,568 ","1,108,403 ","1,932,235 ","966,163 ","966,072 ","236,394 ","109,136 ","127,258 ","29,342 ","14,269 ","15,073 "
32,"2,207,215 ","1,092,403 ","1,114,812 ","1,936,109 ","966,684 ","969,425 ","236,532 ","108,986 ","127,546 ","34,574 ","16,733 ","17,841 "
33,"2,132,456 ","1,055,161 ","1,077,295 ","1,867,845 ","932,812 ","935,033 ","232,845 ","107,167 ","125,678 ","31,766 ","15,182 ","16,584 "
34,"2,214,306 ","1,095,783 ","1,118,523 ","1,930,636 ","964,006 ","966,630 ","247,160 ","114,271 ","132,889 ","36,510 ","17,506 ","19,004 "
35,"2,262,957 ","1,118,330 ","1,144,627 ","1,981,515 ","987,398 ","994,117 ","246,855 ","114,447 ","132,408 ","34,587 ","16,485 ","18,102 "
36,"2,297,497 ","1,131,547 ","1,165,950 ","2,017,621 ","1,001,689 ","1,015,932 ","247,301 ","114,609 ","132,692 ","32,575 ","15,249 ","17,326 "
37,"2,325,766 ","1,141,370 ","1,184,396 ","2,049,710 ","1,013,821 ","1,035,889 ","245,518 ","113,553 ","131,965 ","30,538 ","13,996 ","16,542 "
38,"2,367,327 ","1,159,490 ","1,207,837 ","2,092,024 ","1,032,558 ","1,059,466 ","245,457 ","113,334 ","132,123 ","29,846 ","13,598 ","16,248 "
39,"2,409,301 ","1,178,518 ","1,230,783 ","2,134,283 ","1,051,846 ","1,082,437 ","245,584 ","113,214 ","132,370 ","29,434 ","13,458 ","15,976 "
40,"2,441,744 ","1,192,682 ","1,249,062 ","2,168,323 ","1,066,758 ","1,101,565 ","244,544 ","112,596 ","131,948 ","28,877 ","13,328 ","15,549 "
41,"2,464,690 ","1,202,239 ","1,262,451 ","2,193,955 ","1,077,464 ","1,116,491 ","242,509 ","111,505 ","131,004 ","28,226 ","13,270 ","14,956 "
42,"2,482,104 ","1,209,045 ","1,273,059 ","2,214,636 ","1,085,504 ","1,129,132 ","240,047 ","110,375 ","129,672 ","27,421 ","13,166 ","14,255 "
43,"2,495,653 ","1,213,826 ","1,281,827 ","2,231,737 ","1,091,361 ","1,140,376 ","237,425 ","109,436 ","127,989 ","26,491 ","13,029 ","13,462 "
44,"2,491,117 ","1,210,207 ","1,280,910 ","2,232,092 ","1,089,322 ","1,142,770 ","233,637 ","108,130 ","125,507 ","25,388 ","12,755 ","12,633 "
45,"2,459,682 ","1,194,410 ","1,265,272 ","2,207,486 ","1,076,128 ","1,131,358 ","228,064 ","105,993 ","122,071 ","24,132 ","12,289 ","11,843 "
46,"2,406,418 ","1,168,600 ","1,237,818 ","2,162,624 ","1,053,769 ","1,108,855 ","221,050 ","103,171 ","117,879 ","22,744 ","11,660 ","11,084 "
47,"2,348,920 ","1,140,770 ","1,208,150 ","2,113,680 ","1,029,658 ","1,084,022 ","213,889 ","100,126 ","113,763 ","21,351 ","10,986 ","10,365 "
48,"2,289,115 ","1,111,939 ","1,177,176 ","2,062,706 ","1,004,969 ","1,057,737 ","206,504 ","96,727 ","109,777 ","19,905 ","10,243 ","9,662 "
49,"2,235,902 ","1,086,366 ","1,149,536 ","2,016,870 ","982,963 ","1,033,907 ","200,358 ","93,780 ","106,578 ","18,674 ","9,623 ","9,051 "
50,"2,197,883 ","1,068,021 ","1,129,862 ","1,983,220 ","966,579 ","1,016,641 ","196,786 ","92,125 ","104,661 ","17,877 ","9,317 ","8,560 "
51,"2,170,768 ","1,054,600 ","1,116,168 ","1,958,222 ","954,008 ","1,004,214 ","195,045 ","91,323 ","103,722 ","17,501 ","9,269 ","8,232 "
52,"2,142,441 ","1,040,451 ","1,101,990 ","1,932,009 ","940,656 ","991,353 ","193,216 ","90,528 ","102,688 ","17,216 ","9,267 ","7,949 "
53,"2,110,896 ","1,024,383 ","1,086,513 ","1,902,864 ","925,440 ","977,424 ","191,050 ","89,668 ","101,382 ","16,982 ","9,275 ","7,707 "
54,"2,077,792 ","1,006,833 ","1,070,959 ","1,873,057 ","909,169 ","963,888 ","187,979 ","88,382 ","99,597 ","16,756 ","9,282 ","7,474 "
55,"2,042,681 ","987,255 ","1,055,426 ","1,842,778 ","891,771 ","951,007 ","183,471 ","86,267 ","97,204 ","16,432 ","9,217 ","7,215 "
56,"2,006,225 ","966,496 ","1,039,729 ","1,811,985 ","873,679 ","938,306 ","178,136 ","83,703 ","94,433 ","16,104 ","9,114 ","6,990 "
57,"1,961,818 ","941,856 ","1,019,962 ","1,774,682 ","852,468 ","922,214 ","171,492 ","80,428 ","91,064 ","15,644 ","8,960 ","6,684 "
58,"1,910,264 ","913,903 ","996,361 ","1,731,625 ","828,633 ","902,992 ","163,656 ","76,544 ","87,112 ","14,983 ","8,726 ","6,257 "
59,"1,844,667 ","879,364 ","965,303 ","1,675,774 ","798,831 ","876,943 ","154,570 ","72,075 ","82,495 ","14,323 ","8,458 ","5,865 "
60,"1,763,861 ","837,835 ","926,026 ","1,604,689 ","761,984 ","842,705 ","145,282 ","67,617 ","77,665 ","13,890 ","8,234 ","5,656 "
61,"1,669,258 ","790,179 ","879,079 ","1,521,310 ","719,612 ","801,698 ","134,373 ","62,537 ","71,836 ","13,575 ","8,030 ","5,545 "
62,"1,584,234 ","746,361 ","837,873 ","1,444,156 ","679,641 ","764,515 ","126,776 ","58,889 ","67,887 ","13,302 ","7,831 ","5,471 "
63,"1,512,742 ","707,720 ","805,022 ","1,376,543 ","643,201 ","733,342 ","123,061 ","56,849 ","66,212 ","13,138 ","7,670 ","5,468 "
64,"1,456,619 ","675,656 ","780,963 ","1,321,374 ","612,183 ","709,191 ","122,330 ","56,020 ","66,310 ","12,915 ","7,453 ","5,462 "
65,"1,414,629 ","650,330 ","764,299 ","1,279,285 ","587,359 ","691,926 ","122,890 ","55,867 ","67,023 ","12,454 ","7,104 ","5,350 "
66,"1,383,451 ","629,140 ","754,311 ","1,246,982 ","566,445 ","680,537 ","124,780 ","56,108 ","68,672 ","11,689 ","6,587 ","5,102 "
67,"1,346,416 ","606,110 ","740,306 ","1,212,196 ","545,007 ","667,189 ","123,432 ","55,117 ","68,315 ","10,788 ","5,986 ","4,802 "
68,"1,297,144 ","578,547 ","718,597 ","1,169,939 ","520,881 ","649,058 ","117,414 ","52,334 ","65,080 ","9,791 ","5,332 ","4,459 "
69,"1,241,462 ","548,982 ","692,480 ","1,124,743 ","496,140 ","628,603 ","108,040 ","48,182 ","59,858 ","8,679 ","4,660 ","4,019 "
70,"1,186,609 ","520,310 ","666,299 ","1,081,110 ","472,718 ","608,392 ","97,819 ","43,515 ","54,304 ","7,680 ","4,077 ","3,603 "
