table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Arkansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"2,673,293","2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843","2,915,918","2,921,606"
.Under 5 years,"181,580","181,386","182,026","182,710","184,087","186,610","189,757","192,709","194,941","197,153","197,987","197,689","197,708"
.5 to 9 years,"187,212","186,221","184,198","182,837","182,549","183,762","186,100","189,078","191,244","192,784","195,101","196,877","197,083"
.10 to 14 years,"192,927","193,693","194,805","195,632","195,631","195,097","193,817","193,810","193,806","194,526","195,945","197,559","197,644"
.15 to 19 years,"198,758","199,484","195,850","194,395","194,660","195,713","198,087","201,049","203,006","204,132","203,468","203,805","202,916"
.20 to 24 years,"181,597","183,343","190,858","195,427","197,774","197,763","196,465","195,078","195,065","195,965","197,338","199,650","200,466"
.25 to 29 years,"176,672","175,347","171,515","170,896","173,343","178,555","185,695","193,194","195,502","195,672","194,511","192,153","192,877"
.30 to 34 years,"176,155","175,928","176,768","177,053","176,867","176,072","174,746","172,938","172,858","175,268","179,622","183,739","185,237"
.35 to 39 years,"200,331","199,608","194,910","189,601","184,163","180,140","179,169","182,705","184,379","185,513","185,081","183,614","182,598"
.40 to 44 years,"197,785","198,318","200,122","199,600","200,590","202,106","201,403","198,667","194,423","188,901","184,069","182,594","182,654"
.45 to 49 years,"181,906","183,057","186,969","191,230","194,293","196,117","199,102","202,213","202,539","204,422","206,174","205,544","204,927"
.50 to 54 years,"167,600","169,431","176,263","174,804","176,533","179,963","184,010","189,076","194,147","197,340","199,315","201,722","202,298"
.55 to 59 years,"139,378","140,326","142,212","151,659","156,775","163,147","169,933","177,584","177,053","178,827","181,568","183,960","185,021"
.60 to 64 years,"117,381","117,942","120,516","124,812","129,820","134,511","138,138","141,109","150,870","156,485","162,081","167,031","168,701"
.65 to 69 years,"105,178","104,943","105,975","106,576","108,656","110,490","112,765","116,682","121,028","126,402","130,962","133,367","134,176"
.70 to 74 years,"93,157","93,071","92,273","91,686","91,785","92,265","93,488","95,443","96,253","98,250","99,852","101,235","101,699"
.75 to 79 years,"76,512","76,694","76,299","76,630","76,545","76,183","76,153","76,198","76,233","76,674","76,838","77,741","77,623"
.80 to 84 years,"52,671","53,063","53,545","54,113","54,473","54,778","55,141","55,823","56,093","56,188","56,303","56,236","56,239"
.85 years and over,"46,493","46,733","46,467","46,266","46,272","46,414","47,128","48,405","49,210","50,052","50,628","51,402","51,739"
.,,,,,,,,,,,,,
.Under 18 years,"680,338","680,378","679,606","678,798","679,579","683,166","689,787","697,842","702,737","705,725","707,886","711,475","711,417"
.Under 5 years,"181,580","181,386","182,026","182,710","184,087","186,610","189,757","192,709","194,941","197,153","197,987","197,689","197,708"
.5 to 13 years,"341,300","341,179","340,717","339,831","339,271","338,648","339,730","343,273","345,950","349,126","352,558","355,506","356,022"
.14 to 17 years,"157,458","157,813","156,863","156,257","156,221","157,908","160,300","161,860","161,846","159,446","157,341","158,280","157,687"
.18 to 64 years,"1,618,944","1,623,706","1,637,406","1,651,858","1,667,506","1,686,390","1,706,635","1,731,368","1,747,096","1,761,263","1,774,374","1,784,462","1,788,713"
.18 to 24 years,"261,736","263,749","268,131","272,203","275,122","275,779","274,439","273,882","275,325","278,835","281,953","284,105","284,400"
.25 to 44 years,"750,943","749,201","743,315","737,150","734,963","736,873","741,013","747,504","747,162","745,354","743,283","742,100","743,366"
.45 to 64 years,"606,265","610,756","625,960","642,505","657,421","673,738","691,183","709,982","724,609","737,074","749,138","758,257","760,947"
.65 years and over,"374,011","374,504","374,559","375,271","377,731","380,130","384,675","392,551","398,817","407,566","414,583","419,981","421,476"
.,,,,,,,,,,,,,
.16 years and over,"2,072,541","2,077,843","2,091,480","2,106,379","2,123,727","2,145,005","2,170,853","2,205,536","2,228,772","2,250,868","2,269,574","2,284,744","2,290,088"
.18 years and over,"1,992,955","1,998,210","2,011,965","2,027,129","2,045,237","2,066,520","2,091,310","2,123,919","2,145,913","2,168,829","2,188,957","2,204,443","2,210,189"
.15 to 44 years,"1,131,298","1,132,028","1,130,023","1,126,972","1,127,397","1,130,349","1,135,565","1,143,631","1,145,233","1,145,451","1,144,089","1,145,555","1,146,748"
.,,,,,,,,,,,,,
.Median age (years),36.0,36.1,36.4,36.6,36.7,36.7,36.8,36.9,37.1,37.2,37.4,37.4,37.4
MALE,"1,304,646","1,307,573","1,314,726","1,322,688","1,333,293","1,346,638","1,362,802","1,383,333","1,397,292","1,410,334","1,421,830","1,431,637","1,434,726"
.Under 5 years,"92,647","92,538","93,199","93,440","94,363","95,789","97,390","98,603","99,921","100,629","101,093","100,950","100,951"
.5 to 9 years,"95,934","95,431","94,043","93,154","93,073","93,825","94,876","96,956","97,967","98,945","100,069","100,871","100,983"
.10 to 14 years,"99,296","99,663","100,140","100,760","100,247","99,733","99,201","98,885","98,786","99,146","100,084","100,896","100,927"
.15 to 19 years,"102,104","102,582","101,046","100,385","100,512","100,945","101,808","103,291","104,462","104,725","103,998","104,178","103,744"
.20 to 24 years,"91,761","92,606","96,205","98,236","99,937","99,883","99,276","98,643","99,031","99,208","99,724","100,801","101,220"
.25 to 29 years,"89,037","88,391","86,373","86,271","87,332","89,867","93,335","96,806","97,343","97,833","97,154","96,155","96,655"
.30 to 34 years,"88,230","88,152","88,628","88,612","88,625","88,195","87,533","86,643","86,954","88,130","90,242","92,277","93,035"
.35 to 39 years,"99,276","98,957","96,688","94,079","91,589","89,837","89,319","91,172","91,869","92,498","92,226","91,484","91,004"
.40 to 44 years,"97,840","98,122","99,106","99,149","99,306","100,037","99,819","98,624","96,533","93,978","91,822","91,214","91,256"
.45 to 49 years,"89,087","89,660","91,546","93,526","95,310","96,531","98,217","99,766","100,090","100,871","101,711","101,382","101,104"
.50 to 54 years,"82,153","83,075","86,342","85,808","86,565","88,040","89,936","92,414","94,585","96,378","97,733","99,146","99,420"
.55 to 59 years,"66,983","67,473","68,590","73,393","76,126","79,355","82,717","86,321","86,099","86,832","87,934","88,935","89,455"
.60 to 64 years,"55,875","56,172","57,402","59,399","61,830","64,279","65,920","67,513","72,412","75,229","77,926","80,356","81,156"
.65 to 69 years,"48,738","48,662","49,370","49,852","51,121","51,847","53,243","55,119","57,084","59,631","61,858","62,929","63,330"
.70 to 74 years,"41,164","41,200","41,086","40,901","41,159","41,747","42,480","43,642","44,321","45,632","46,377","47,209","47,452"
.75 to 79 years,"31,464","31,567","31,544","32,115","32,093","32,161","32,346","32,726","32,846","33,044","33,460","33,929","33,905"
.80 to 84 years,"19,496","19,678","19,861","20,074","20,452","20,704","21,087","21,373","21,884","22,008","22,365","22,391","22,443"
.85 years and over,"13,561","13,644","13,557","13,534","13,653","13,863","14,299","14,836","15,105","15,617","16,054","16,534","16,686"
.,,,,,,,,,,,,,
.Under 18 years,"349,262","349,271","348,764","348,037","348,213","350,149","353,520","357,447","360,052","361,265","362,301","363,937","363,912"
.Under 5 years,"92,647","92,538","93,199","93,440","94,363","95,789","97,390","98,603","99,921","100,629","101,093","100,950","100,951"
.5 to 13 years,"175,174","175,107","174,650","173,877","173,291","172,955","173,420","175,327","176,768","178,528","180,293","181,874","182,142"
.14 to 17 years,"81,441","81,626","80,915","80,720","80,559","81,405","82,710","83,517","83,363","82,108","80,915","81,113","80,819"
.18 to 64 years,"800,961","803,551","810,544","818,175","826,602","836,167","845,827","858,190","866,000","873,137","879,415","884,708","886,998"
.18 to 24 years,"132,480","133,549","135,869","137,938","139,919","140,026","139,031","138,931","140,115","141,388","142,667","143,759","143,913"
.25 to 44 years,"374,383","373,622","370,795","368,111","366,852","367,936","370,006","373,245","372,699","372,439","371,444","371,130","371,950"
