table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Maryland: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"5,296,647","5,311,034","5,374,691","5,440,389","5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388","5,773,552","5,785,982"
.Under 5 years,"353,407","353,090","354,828","357,738","362,120","365,729","366,913","365,572","365,909","366,115","365,154","364,488","364,824"
.5 to 9 years,"391,326","389,235","381,871","374,319","367,103","362,768","358,818","358,243","357,932","360,071","363,160","366,868","367,265"
.10 to 14 years,"392,147","394,250","404,445","412,329","415,003","413,112","406,845","398,974","390,548","382,653","380,428","379,029","379,073"
.15 to 19 years,"356,131","357,207","364,932","374,739","382,271","391,663","401,942","409,378","413,201","413,496","410,142","406,241","404,482"
.20 to 24 years,"314,129","317,402","330,794","340,867","351,242","358,278","365,743","371,492","377,505","380,503","386,964","393,698","395,422"
.25 to 29 years,"342,873","341,001","331,689","330,959","336,656","347,459","359,630","371,645","377,424","384,464","390,207","393,548","394,673"
.30 to 34 years,"405,651","405,469","401,785","397,908","389,298","376,831","364,655","354,146","348,828","351,178","359,840","368,494","371,231"
.35 to 39 years,"464,811","463,650","457,097","448,823","438,681","425,376","418,367","414,217","407,302","397,531","384,911","377,409","375,716"
.40 to 44 years,"451,377","452,990","461,627","465,905","467,506","470,596","467,482","458,642","447,302","436,039","423,104","418,163","418,198"
.45 to 49 years,"399,407","401,986","411,187","423,267","433,562","442,911","450,675","457,583","459,445","459,719","462,717","461,585","460,507"
.50 to 54 years,"355,650","359,884","377,575","376,152","380,699","386,761","395,572","402,904","413,351","422,855","433,042","440,619","442,126"
.55 to 59 years,"268,657","270,584","278,863","302,815","315,867","331,716","345,383","360,392","356,694","361,613","369,657","377,989","380,315"
.60 to 64 years,"201,744","202,843","209,446","219,609","233,265","243,230","251,848","257,859","279,414","290,470","306,079","317,779","321,389"
.65 to 69 years,"168,263","168,390","169,881","171,733","175,386","180,475","184,227","188,572","197,614","210,752","219,601","226,596","228,214"
.70 to 74 years,"153,053","153,278","152,895","151,869","150,751","148,775","148,527","148,591","149,154","152,471","157,102","159,761","160,627"
.75 to 79 years,"128,487","129,075","129,369","129,597","129,649","129,268","128,468","127,536","126,067","125,355","124,190","124,579","124,475"
