table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Michigan: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"9,938,823","9,952,450","9,991,120","10,015,710","10,041,152","10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591","9,883,640","9,877,574"
.Under 5 years,"672,020","671,452","669,261","664,232","658,703","654,491","646,552","635,460","626,121","614,869","601,793","596,286","594,601"
.5 to 9 years,"745,204","741,365","724,404","707,356","695,524","685,321","675,142","669,858","662,058","651,306","644,056","637,784","636,565"
.10 to 14 years,"747,028","749,920","761,910","770,306","770,745","766,696","749,448","730,633","711,659","696,597","684,016","675,216","673,552"
.15 to 19 years,"719,847","722,243","725,098","727,968","734,052","740,672","752,673","760,901","765,941","761,676","752,479","739,599","734,490"
.20 to 24 years,"643,771","648,007","668,096","683,028","693,237","693,534","690,088","682,237","671,666","664,790","663,046","669,072","670,158"
.25 to 29 years,"654,641","649,448","618,999","600,098","593,546","593,967","598,306","608,963","610,734","605,221","595,444","589,583","590,216"
.30 to 34 years,"707,570","706,999","708,645","702,771","690,708","670,625","645,072","610,093","587,179","575,323","572,691","574,566","577,675"
.35 to 39 years,"787,398","783,741","764,623","743,805","723,342","703,379","694,506","691,345","679,124","658,307","633,281","612,493","607,200"
.40 to 44 years,"811,017","812,276","813,422","804,779","794,227","786,809","770,306","748,354","724,024","698,366","674,817","665,481","663,716"
.45 to 49 years,"734,928","738,696","752,117","768,119","782,215","789,495","792,317","791,945","781,618","767,728","757,780","744,581","740,290"
.50 to 54 years,"633,063","639,232","672,596","673,707","684,360","698,972","714,401","727,584","743,065","755,909","762,128","765,452","765,714"
.55 to 59 years,"485,923","488,954","499,424","536,568","554,493","580,661","610,982","643,295","644,997","656,317","670,915","683,186","685,711"
.60 to 64 years,"377,200","378,818","386,266","402,810","427,426","443,650","456,078","465,970","501,860","519,459","545,522","568,811","573,255"
.65 to 69 years,"328,911","328,204","327,181","327,286","333,007","341,588","345,971","353,433","369,734","393,217","408,248","418,625","420,508"
.70 to 74 years,"314,109","313,936","310,704","305,171","298,462","292,404","290,143","289,713","290,500","295,187","302,778","306,084","307,166"
.75 to 79 years,"260,185","260,899","262,024","262,910","264,436","262,656","260,770","259,216","255,296","249,678","244,587","244,085","243,460"
.80 to 84 years,"173,543","174,916","180,034","185,427","188,528","192,988","196,352","198,062","200,195","202,290","201,284","200,855","200,510"
.85 years and over,"142,465","143,344","146,316","149,369","154,141","157,407","162,030","169,019","175,513","180,649","186,726","191,881","192,787"
.,,,,,,,,,,,,,
.Under 18 years,"2,595,824","2,596,114","2,593,310","2,584,310","2,569,080","2,553,314","2,531,839","2,503,548","2,470,063","2,418,879","2,372,603","2,344,068","2,336,972"
.Under 5 years,"672,020","671,452","669,261","664,232","658,703","654,491","646,552","635,460","626,121","614,869","601,793","596,286","594,601"
.5 to 13 years,"1,345,016","1,344,453","1,340,033","1,328,600","1,316,744","1,291,448","1,268,037","1,247,832","1,226,657","1,204,756","1,186,920","1,175,464","1,173,716"
.14 to 17 years,"578,788","580,209","584,016","591,478","593,633","607,375","617,250","620,256","617,285","599,254","583,890","572,318","568,655"
.18 to 64 years,"6,123,786","6,135,037","6,171,551","6,201,237","6,233,498","6,254,958","6,264,032","6,263,090","6,239,983","6,206,989","6,185,365","6,178,042","6,176,171"
.18 to 24 years,"932,046","936,873","955,459","968,580","983,181","987,400","982,064","975,541","967,382","970,359","972,787","973,889","972,394"
.25 to 44 years,"2,960,626","2,952,464","2,905,689","2,851,453","2,801,823","2,754,780","2,708,190","2,658,755","2,601,061","2,537,217","2,476,233","2,442,123","2,438,807"
.45 to 64 years,"2,231,114","2,245,700","2,310,403","2,381,204","2,448,494","2,512,778","2,573,778","2,628,794","2,671,540","2,699,413","2,736,345","2,762,030","2,764,970"
.65 years and over,"1,219,213","1,221,299","1,226,259","1,230,163","1,238,574","1,247,043","1,255,266","1,269,443","1,291,238","1,321,021","1,343,623","1,361,530","1,364,431"
.,,,,,,,,,,,,,
.16 years and over,"7,628,495","7,642,055","7,688,221","7,727,232","7,766,554","7,798,577","7,818,918","7,843,159","7,848,402","7,836,739","7,827,942","7,832,236","7,831,018"
.18 years and over,"7,342,999","7,356,336","7,397,810","7,431,400","7,472,072","7,502,001","7,519,298","7,532,533","7,531,221","7,528,010","7,528,988","7,539,572","7,540,602"
.15 to 44 years,"4,324,244","4,322,714","4,298,883","4,262,449","4,229,112","4,188,986","4,150,951","4,101,893","4,038,668","3,963,683","3,891,758","3,850,794","3,843,455"
.,,,,,,,,,,,,,
.Median age (years),35.5,35.6,35.8,36.1,36.3,36.6,36.9,37.3,37.7,38.1,38.6,38.9,38.9
MALE,"4,873,285","4,880,268","4,901,831","4,915,539","4,930,631","4,937,386","4,936,817","4,929,460","4,910,249","4,880,990","4,857,253","4,848,114","4,845,963"
