table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,711,230","1,713,820","1,719,836","1,728,292","1,738,643","1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683","1,826,341","1,830,429"
.Under 5 years,"117,040","116,989","117,740","119,194","121,739","124,278","126,251","127,553","129,117","130,124","130,875","131,908","131,926"
.5 to 9 years,"123,444","122,881","120,900","119,449","118,240","118,118","118,041","119,374","120,767","123,980","126,785","128,928","129,183"
.10 to 14 years,"128,925","129,380","128,883","128,853","128,365","127,717","125,798","124,213","122,973","122,239","122,516","122,706","122,875"
.15 to 19 years,"134,908","135,348","137,463","136,692","135,381","133,763","133,391","132,554","132,019","131,223","130,196","128,930","128,526"
.20 to 24 years,"120,331","120,920","122,268","125,788","129,696","132,785","135,345","135,370","132,382","130,843","129,496","129,276","129,802"
.25 to 29 years,"112,048","111,269","108,473","106,944","107,194","107,354","107,820","111,323","116,991","121,349","126,154","129,076","129,616"
.30 to 34 years,"111,221","111,336","111,972","112,864","113,526","113,300","113,502","112,007","111,309","112,497","114,397","116,100","117,110"
.35 to 39 years,"130,021","129,477","124,156","119,511","114,623","112,030","111,069","111,855","111,698","111,717","110,758","110,361","109,809"
.40 to 44 years,"133,805","134,051","134,367","134,101","133,352","131,734","127,900","122,948","118,375","113,521","111,063","110,477","110,615"
.45 to 49 years,"122,701","123,423","125,961","127,799","129,771","130,531","132,368","133,170","133,204","132,311","131,106","128,491","128,192"
.50 to 54 years,"103,036","104,010","110,437","112,291","115,435","118,565","121,439","123,666","125,502","127,405","128,590","130,235","130,532"
.55 to 59 years,"77,581","78,053","79,846","85,926","89,938","94,862","100,999","107,599","109,369","112,383","115,543","117,686","118,371"
.60 to 64 years,"63,960","64,253","65,089","66,681","69,385","72,203","74,148","75,825","82,012","86,038","91,072","95,490","96,354"
.65 to 69 years,"59,390","59,171","58,545","58,349","58,715","59,238","59,606","60,595","62,263","64,608","67,236","68,834","69,257"
.70 to 74 years,"56,311","56,212","55,828","55,307","54,259","53,243","53,130","52,890","52,948","53,468","54,071","54,292","54,550"
.75 to 79 years,"47,997","48,072","48,131","47,988","48,126","48,016","47,938","47,871","47,612","47,080","46,311","46,435","46,344"
.80 to 84 years,"34,555","34,809","35,394","36,083","36,139","36,783","37,168","37,562","37,537","37,832","37,852","37,808","37,808"
.85 years and over,"33,956","34,166","34,383","34,472","34,759","34,850","35,584","36,318","37,362","37,760","38,662","39,308","39,559"
.,,,,,,,,,,,,,
.Under 18 years,"450,222","450,380","448,307","447,714","447,444","448,360","448,918","450,098","451,946","453,787","456,543","459,221","459,523"
.Under 5 years,"117,040","116,989","117,740","119,194","121,739","124,278","126,251","127,553","129,117","130,124","130,875","131,908","131,926"
.5 to 13 years,"225,902","225,867","223,826","222,611","221,035","219,139","218,019","217,968","218,936","221,587","224,607","227,200","227,731"
