table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nevada: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,998,250","2,018,741","2,098,399","2,173,791","2,248,850","2,346,222","2,432,143","2,522,658","2,601,072","2,653,630","2,684,665","2,700,551","2,704,642"
.Under 5 years,"145,814","146,978","151,686","156,288","161,385","168,697","175,707","183,607","189,933","192,547","190,470","187,478","187,285"
.5 to 9 years,"149,323","149,749","152,577","154,924","156,295","160,036","163,452","167,763","172,980","177,236","181,223","183,077","183,350"
.10 to 14 years,"139,193","140,958","148,220","155,641","161,977","168,641","172,504","177,274","180,806","181,778","182,792","183,173","183,342"
.15 to 19 years,"127,164","128,571","131,577","135,859","141,918","149,806","158,462","167,002","174,629","179,570","182,261","182,600","181,923"
.20 to 24 years,"130,002","132,078","140,880","145,611","149,923","155,891","161,888","168,371","173,295","176,177","175,952","177,509","178,041"
.25 to 29 years,"148,723","149,071","149,786","152,376","157,961","167,694","178,724","189,789","197,495","200,873","199,845","196,644","196,738"
.30 to 34 years,"157,887","159,113","164,990","169,691","171,557","175,220","176,340","178,203","181,471","185,619","188,632","190,642","191,529"
.35 to 39 years,"165,906","166,780","169,532","170,962","173,077","176,602","181,740","189,758","195,115","196,351","195,257","191,652","190,752"
.40 to 44 years,"156,044","157,774","164,572","170,224","174,934","182,394","187,245","190,146","191,156","192,004","190,802","191,391","191,443"
.45 to 49 years,"140,221","142,103","148,483","156,194","162,880","169,214","175,661","182,663","187,662","190,555","193,570","193,790","193,239"
.50 to 54 years,"128,833","131,206","140,321","142,165","146,427","153,771","160,375","166,621","173,717","178,525","180,829","182,737","183,229"
.55 to 59 years,"105,064","106,553","112,402","124,274","131,922","141,114","149,371","157,941","158,363","159,618","162,391","164,575","165,425"
.60 to 64 years,"85,143","86,209","91,580","97,944","105,831","113,420","118,931","123,105","133,694","139,759","145,418","150,924","152,411"
.65 to 69 years,"71,386","72,065","75,223","78,747","83,121","87,892","90,876","94,764","99,644","106,139","111,561","115,501","116,264"
.70 to 74 years,"60,392","61,054","62,932","64,621","66,577","68,519","69,765","71,394","73,835","76,565","80,101","82,280","82,807"
.75 to 79 years,"44,850","45,442","47,577","49,138","51,030","52,276","53,377","54,179","54,725","55,449","56,416","57,503","57,653"
.80 to 84 years,"25,316","25,782","27,667","29,789","31,459","33,365","34,687","35,661","36,387","37,236","38,116","38,888","38,827"
.85 years and over,"16,989","17,255","18,394","19,343","20,576","21,670","23,038","24,417","26,165","27,629","29,029","30,187","30,384"
.,,,,,,,,,,,,,
.Under 18 years,"511,793","516,018","534,708","552,816","568,963","591,314","611,595","634,403","654,053","662,621","666,041","665,008","664,970"
.Under 5 years,"145,814","146,978","151,686","156,288","161,385","168,697","175,707","183,607","189,933","192,547","190,470","187,478","187,285"
.5 to 13 years,"261,715","263,731","272,861","281,300","287,388","294,796","301,540","309,221","317,547","322,587","327,427","329,266","329,894"
