table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for North Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"8,046,346","8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566","9,535,483","9,561,558"
.Under 5 years,"539,498","539,866","555,270","566,920","575,778","583,442","593,381","601,366","616,945","629,800","634,021","632,040","632,823"
.5 to 9 years,"562,541","560,391","556,011","552,145","551,787","555,015","565,112","586,053","606,930","620,441","630,342","635,945","637,210"
.10 to 14 years,"551,362","554,863","572,993","586,567","596,593","600,811","601,958","603,991","610,065","616,255","624,717","631,104","631,746"
.15 to 19 years,"538,576","541,400","555,073","567,905","576,682","591,449","610,691","628,623","646,225","657,428","663,387","659,591","657,180"
.20 to 24 years,"576,199","585,665","589,152","592,160","582,474","595,941","603,621","623,270","622,736","638,820","650,656","661,573","664,756"
.25 to 29 years,"601,454","599,470","580,233","567,593","560,787","564,173","567,184","581,602","594,944","610,065","620,481","627,036","629,492"
.30 to 34 years,"611,873","613,180","627,407","634,518","632,988","629,605","619,881","610,716","606,706","613,810","616,711","619,557","624,704"
.35 to 39 years,"655,439","654,661","648,912","640,648","631,914","627,250","634,908","654,765","670,861","677,233","671,211","659,843","656,735"
.40 to 44 years,"631,676","634,719","647,741","654,270","661,061","668,873","672,106","671,568","671,961","669,799","665,269","667,308","667,761"
.45 to 49 years,"570,360","574,795","591,262","608,033","623,969","634,152","649,891","665,654","679,119","688,876","698,140","698,753","697,203"
.50 to 54 years,"514,709","521,184","547,140","549,175","558,459","571,873","588,036","606,748","628,980","647,629","659,801","669,893","672,453"
.55 to 59 years,"400,201","403,424","418,652","456,119","480,425","505,021","533,349","561,222","568,145","576,896","590,908","600,722","604,886"
.60 to 64 years,"323,479","325,509","334,000","348,965","370,569","389,005","406,669","424,867","465,131","491,700","517,272","538,039","544,219"
.65 to 69 years,"282,821","283,137","288,737","293,798","300,496","309,092","316,866","331,120","347,674","370,536","389,820","403,024","406,002"
.70 to 74 years,"250,917","251,454","251,834","251,881","252,836","253,034","258,290","267,906","273,513","281,302","289,685","294,543","296,438"
.75 to 79 years,"201,428","202,437","203,584","205,887","209,214","210,468","212,023","216,260","217,502","219,734","219,983","223,655","223,753"
.80 to 84 years,"128,356","129,495","134,448","139,921","143,483","148,133","151,690","155,053","158,313","162,104","164,067","165,396","165,624"
.85 years and over,"105,457","105,964","107,673","109,696","112,986","115,815","119,751","126,486","132,287","137,021","143,095","147,461","148,573"
.,,,,,,,,,,,,,
.Under 18 years,"1,964,001","1,967,626","2,003,782","2,034,451","2,060,838","2,085,165","2,122,485","2,166,393","2,219,168","2,252,101","2,272,955","2,281,635","2,283,233"
.Under 5 years,"539,498","539,866","555,270","566,920","575,778","583,442","593,381","601,366","616,945","629,800","634,021","632,040","632,823"
