"StatVar","Units","observationPeriods","MinDate","ScalingFactors","MeasurementMethods","NumPlaces"
"Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Female_AsianAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Female_BlackOrAfricanAmericanAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Male_TwoOrMoreRaces","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Male_AsianAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Female_TwoOrMoreRaces","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Male_AmericanIndianAndAlaskaNativeAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Male_WhiteAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Female_AmericanIndianAndAlaskaNativeAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Male_BlackOrAfricanAmericanAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Female_WhiteAlone","[]","[P1Y]","2000","[]","[CensusPEPSurvey_Race2000Onwards]","3207"
"Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
"Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces","[]","[P1Y]","2010","[]","[CensusPEPSurvey_Race2000Onwards]","3203"
