,geo_ID,Count_Person_Male,Count_Person_Male_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female,Count_Person_Female_WhiteAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AsianAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_TwoOrMoreRaces,Year
0,country/USA,138443407,112710885,17027514,1343592,5182557,237674,1941185,143719004,115819594,18787192,1340899,5523282,229665,2018372,2000
1,country/USA,139891492,113534140,17249678,1386766,5404575,247992,2068341,145077463,116515056,19013351,1382965,5777829,239484,2148778,2001
2,country/USA,141230559,114269447,17454795,1431081,5619624,258009,2197603,146394634,117177468,19229855,1426032,6029641,249256,2282382,2002
3,country/USA,142428897,114897973,17631747,1476657,5825262,267434,2329824,147679036,117819218,19434349,1470918,6274263,258956,2421332,2003
4,country/USA,143828012,115664854,17856753,1526559,6029141,278261,2472444,148977286,118455593,19653829,1517958,6513599,269056,2567251,2004
5,country/USA,145197078,116388486,18079607,1579417,6241041,289165,2619362,150319521,119103091,19882081,1568355,6766622,279639,2719733,2005
6,country/USA,146647265,117160246,18319259,1637319,6454207,300435,2775799,151732647,119794572,20123789,1621347,7021639,290404,2880896,2006
7,country/USA,148064854,117889727,18560639,1699452,6662593,311672,2940771,153166353,120488360,20374894,1677761,7272048,301381,3051909,2007
8,country/USA,149489951,118611132,18803371,1766088,6872141,323174,3114045,154604015,121171882,20626043,1738790,7523155,312503,3231642,2008
9,country/USA,150807454,119242290,19033988,1835413,7071165,334459,3290139,155964075,121792109,20868282,1801353,7762568,323524,3416239,2009
