ApplNo	ProductNo	MarketingStatusID	TECode
003444	001	1	AA
005213	002	1	AA
005378	002	1	AA
005929	001	1	AP
006035	004	1	AP
006188	001	1	BD
006488	002	1	AP
006488	004	1	AP
006488	005	1	AP
006488	007	1	AP
006488	008	1	AP
006488	010	1	AP
006488	012	1	AP
006488	017	1	AP
006488	019	1	AP
007073	001	1	AB
007073	002	1	AB
007337	007	1	AA
007513	001	1	AP
008316	001	1	AB
008370	001	1	AP
008370	002	1	AP
008453	002	1	AP
008578	001	1	AB
008697	001	1	AB
008697	002	1	AB
008697	003	1	AB
008708	001	1	AB
008762	001	1	AB
008816	001	1	AT
008845	006	1	AP
009053	002	1	AB
009112	003	1	AT
009170	002	1	AB
009170	003	1	AB
009175	001	1	AB
009218	005	1	AB
009218	007	1	AB
009218	013	1	AB
009218	016	1	AB
009218	018	1	AB
009218	022	1	AB
009218	023	1	AB
009218	025	1	AB
009218	026	1	AB
009330	002	1	AP
009402	002	1	AO
009402	003	1	AO
009402	004	1	AO
009435	002	1	AP
009435	006	1	AP
009435	007	1	AP
009768	001	1	AB
009829	002	1	AB
009830	001	1	AP
010104	003	1	AB
010187	003	1	AB
010187	006	1	AB
010187	010	1	AB
010379	001	1	AB
010379	002	1	AB
010379	003	1	AB
010515	001	1	AP
010721	001	1	AA
010721	004	1	AA
010721	005	1	AA
010721	006	1	AA
011011	006	1	AA
011145	005	1	AP
011153	001	1	AB
011153	002	1	AB
011153	003	1	AB
011153	004	1	AB
011153	006	1	AB
011210	001	1	AA
011245	003	1	AA
011459	002	1	AB
011459	004	1	AB
011525	001	1	AP
011601	003	1	AT
011601	006	1	AT
011665	001	1	AB
011719	010	1	AP
011719	012	1	AP
011757	001	1	AB
011757	002	1	AB
011757	004	1	AB
011790	001	1	AP
011792	001	1	AA
011792	004	1	AB
011839	001	1	AB
011839	003	1	AB
011839	004	1	AB
011856	003	1	AP
011856	004	1	AP
011856	005	1	AP
011856	006	1	AP
011856	007	1	AP
011909	002	1	AB
012015	001	1	AP
012093	001	1	AB
012093	007	1	AB
012104	001	1	AT
012151	008	1	AB
012151	009	1	AB
012151	010	1	AB
012179	001	1	AT
012250	001	1	AP
012250	002	1	AP
012250	005	1	AP
012342	003	1	AB
012380	001	1	AB
012462	001	1	AA
012616	004	1	AB
012623	001	1	AB
012623	003	1	AB
012750	001	1	AB
012770	001	1	AT
012787	002	1	AT
012787	004	1	AT
012787	005	1	AT
012806	001	1	AT
012806	002	1	AT
012836	003	1	AB
012836	004	1	AB
012836	005	1	AB
013174	001	1	AB
013174	002	1	AB
013217	003	1	AB
013263	002	1	AB
013263	004	1	AB
013263	006	1	AB
013684	001	1	AP
013684	002	1	AP
013684	003	1	AP
013684	004	1	AP
013684	005	1	AP
013684	006	1	AP
013684	007	1	AP
013684	008	1	AP
013790	001	1	AT
013960	001	1	AT
014399	001	1	AB
014399	003	1	AB
014399	004	1	AB
014399	005	1	AB
014399	006	1	AB
014399	007	1	AB
014602	001	1	AB
014691	002	1	AB
014879	001	1	AP
014901	001	1	AB
015034	003	1	AB
015193	001	1	AA
015197	001	1	AB
015197	002	1	AB
015230	002	1	AA
015296	001	1	AT
015923	001	1	AP
016042	003	1	AB
016084	001	1	AB
016084	002	1	AB
016092	001	1	AB
016093	001	1	AP
016151	001	1	AB
016199	001	1	AB
016267	001	1	AP
016269	006	1	AP
016273	001	1	AB
016273	002	1	AB
016273	003	1	AB
016295	001	1	AB
016320	001	1	AB
016320	003	1	AB
016324	001	1	AB
016366	001	1	AP
016367	002	1	AP
016608	001	1	AB
016619	001	1	AP
016620	001	1	AB
016620	002	1	AB
016620	003	1	AB
016673	001	1	AP
016673	003	1	AP
016677	001	1	AP
016677	004	1	AP
016678	001	1	AP
016679	001	1	AP
016682	001	1	AP
016683	001	1	AP
016687	001	1	AP
016689	001	1	AP
016693	001	1	AP
016694	001	1	AP
016697	001	1	AP
016730	001	1	AP
016730	002	1	AP
016733	001	1	AT
016734	001	1	AT
016750	001	1	AP
016784	001	1	AT
016796	001	1	AP
016812	001	1	AP
016812	002	1	AP
016812	003	1	AP
016831	001	1	AT
016831	003	1	AB
016908	003	1	AB2
016909	002	1	AB
016964	001	1	AP
016964	004	1	AP
016964	005	1	AP
016964	006	1	AP
016964	007	1	AP
016964	008	1	AP
016964	009	1	AP
016964	010	1	AP
016964	012	1	AP
016964	013	1	AP
017001	001	1	AB
017001	002	1	AB
017010	001	1	AB
017011	001	1	AB
017016	007	1	
017029	001	1	AP
017029	003	1	AP
017029	004	1	AP
017029	010	1	AP
017029	013	1	AP
017029	014	1	AP
017029	015	1	AP
017029	016	1	AP
017029	019	1	AP
017037	001	1	AP
017037	002	1	AP
017037	003	1	AP
017058	001	1	AA
017060	001	1	AB1
017078	001	1	AB
017078	002	1	AB
017078	003	1	AB
017105	007	1	AB
017116	002	1	AA
017340	001	1	AB
017354	001	1	AB
017355	001	1	AB
017362	002	1	AO
017373	001	1	AB
017376	001	1	AB
017376	002	1	AB
017377	001	1	AB
017377	002	1	AB
017381	001	1	AB
017386	001	1	AB
017386	002	1	AB
017386	003	1	AB
017398	001	1	AP
017407	001	1	AB
017407	002	1	AB
017407	003	1	AB
017422	001	1	AP
017426	001	1	AB
017427	001	1	AT
017428	001	1	AT
017433	001	1	AT
017433	002	1	AT
017441	001	1	BP
017442	001	1	AB
017442	002	1	AB
017442	003	1	AB
017443	001	1	AB
017443	002	1	AB
017443	003	1	AB
017447	001	1	AB
017447	002	1	AB
017453	001	1	AB
017464	001	1	AP
017469	001	1	AB
017478	001	1	BS
017512	004	1	AT
017512	005	1	AT
017512	006	1	AT
017512	012	1	AT
017512	013	1	AT
017512	014	1	AT
017512	015	1	AT
017513	001	1	AT
017514	001	1	AT
017522	001	1	AB1
017531	006	1	AB
017532	001	1	AB2
017532	002	1	AB2
017532	003	1	AB2
017533	001	1	AB
017533	002	1	AB
017533	003	1	AB
017534	005	1	AA
017538	001	1	AP
017555	001	1	AB
017555	002	1	AB
017555	003	1	AB
017556	001	1	AB
017563	003	1	AB
017563	004	1	AB
017565	001	1	AB
017565	002	1	AB
017579	002	1	AB
017581	004	1	AB
017584	001	1	AP
017584	002	1	AP
017585	001	1	AP
017606	001	1	AP
017607	001	1	AP
017608	001	1	AP
017624	001	1	AN
017634	001	1	AP
017634	002	1	AP
017634	003	1	AP
017634	004	1	AP
017635	001	1	AT
017641	001	1	AP
017643	001	1	AP
017648	001	1	AP
017648	002	1	AP
017648	005	1	AP
017651	006	1	AP
017656	001	1	AT
017681	001	1	AB
017765	001	1	AB
017783	001	1	AB
017783	002	1	AB
017794	001	1	AB
017794	002	1	AB
017794	003	1	AB
017799	001	1	AP
017806	001	1	AP
017812	001	1	AB
017812	002	1	AB
017812	003	1	AB
017830	001	1	AB
017849	001	1	AB
017849	002	1	AB
017854	001	1	AB
017854	002	1	AB
017865	001	1	AT
017866	001	1	AT
017867	001	1	AT
017871	001	1	AB
017874	001	1	AB
017875	001	1	AB
017876	001	1	AB
017881	001	1	
017892	001	1	AB
017892	003	1	AB
017922	003	1	AB
017955	001	1	AB
017962	001	1	AB
017962	002	1	AB
017963	001	1	AB
017963	002	1	AB
017989	001	1	AP
018008	005	1	AP
018008	006	1	AP
018008	007	1	AP
018008	008	1	AP
018008	009	1	AP
018008	010	1	AP
018013	001	1	AB
018013	002	1	AB
018013	003	1	AB
018013	004	1	AB
018016	001	1	AP
018027	001	1	AB
018037	001	1	AP
018037	002	1	AP
018037	003	1	AP
018037	004	1	AP
018037	005	1	AP
018037	006	1	AP
018037	007	1	AP
018037	008	1	AP
018037	009	1	AP
018044	001	1	AB
018044	002	1	AB
018053	001	1	AP
018053	002	1	AP
018053	003	1	AP
018057	004	1	AP
018058	001	1	BS
018063	001	1	AB
018063	002	1	AB
018063	005	1	AB
018080	001	1	AP
018086	001	1	AT
018086	002	1	AT1
018090	001	1	AP
018110	002	1	AP
018132	001	1	AP
018132	002	1	AP
018132	003	1	AP
018132	004	1	AP
018140	001	1	AP
018140	002	1	AP
018147	002	1	AB
018147	003	1	AB
018150	001	1	AP
018156	001	1	AT
018161	001	1	AT
