fips,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,l150_1,l150_2,l150_3,l150_4,l150_5,l150_6,l150_7,l150_8,year
dcs:geoId/01001,31300.0,35750.0,40250.0,44700.0,48300.0,51850.0,55450.0,59000.0,58687.5,67031.25,75468.75,83812.5,90562.5,97218.75,103968.75,110625.0,2006
dcs:geoId/01003,32550.0,37200.0,41850.0,46500.0,50200.0,53950.0,57650.0,61400.0,61031.25,69750.0,78468.75,87187.5,94125.0,101156.25,108093.75,115125.0,2006
dcs:geoId/01005,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01007,32150.0,36700.0,41300.0,45900.0,49550.0,53250.0,56900.0,60600.0,60281.25,68812.5,77437.5,86062.5,92906.25,99843.75,106687.5,113625.0,2006
dcs:geoId/01009,32150.0,36700.0,41300.0,45900.0,49550.0,53250.0,56900.0,60600.0,60281.25,68812.5,77437.5,86062.5,92906.25,99843.75,106687.5,113625.0,2006
dcs:geoId/01011,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01013,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01015,27700.0,31700.0,35650.0,39600.0,42750.0,45950.0,49100.0,52250.0,51937.5,59437.5,66843.75,74250.0,80156.25,86156.25,92062.5,97968.75,2006
dcs:geoId/01017,25400.0,29000.0,32650.0,36250.0,39150.0,42050.0,44950.0,47850.0,47625.0,54375.0,61218.75,67968.75,73406.25,78843.75,84281.25,89718.75,2006
dcs:geoId/01019,25400.0,29050.0,32650.0,36300.0,39200.0,42100.0,45000.0,47900.0,47625.0,54468.75,61218.75,68062.5,73500.0,78937.5,84375.0,89812.5,2006
dcs:geoId/01021,27450.0,31350.0,35300.0,39200.0,42350.0,45450.0,48600.0,51750.0,51468.75,58781.25,66187.5,73500.0,79406.25,85218.75,91125.0,97031.25,2006
dcs:geoId/01023,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01025,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01027,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01029,26900.0,30700.0,34550.0,38400.0,41450.0,44550.0,47600.0,50700.0,50437.5,57562.5,64781.25,72000.0,77718.75,83531.25,89250.0,95062.5,2006
dcs:geoId/01031,27350.0,31300.0,35200.0,39100.0,42250.0,45350.0,48500.0,51600.0,51281.25,58687.5,66000.0,73312.5,79218.75,85031.25,90937.5,96750.0,2006
dcs:geoId/01033,28000.0,32000.0,36000.0,40000.0,43200.0,46400.0,49600.0,52800.0,52500.0,60000.0,67500.0,75000.0,81000.0,87000.0,93000.0,99000.0,2006
dcs:geoId/01035,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01037,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01039,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01041,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01043,27100.0,30950.0,34850.0,38700.0,41800.0,44900.0,48000.0,51100.0,50812.5,58031.25,65343.75,72562.5,78375.0,84187.5,90000.0,95812.5,2006
dcs:geoId/01045,26900.0,30700.0,34550.0,38400.0,41450.0,44550.0,47600.0,50700.0,50437.5,57562.5,64781.25,72000.0,77718.75,83531.25,89250.0,95062.5,2006
dcs:geoId/01047,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
