"MeasurementMethods","Units","StatVar","observationPeriods","MinDate","NumPlaces","ScalingFactors"
"[US_NCES_Demographics]","[]","Count_Student_HispanicOrLatino","[P1Y]","2011","21060","[]"
"[US_NCES_Demographics]","[]","Count_Student_Male","[P1Y]","2011","21595","[]"
"[US_NCES_Demographics]","[]","Count_Student_White","[P1Y]","2011","21063","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_TotalGuidanceCounselor","[P1Y]","2011","21586","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_LEAAdministrator","[P1Y]","2011","21694","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_SchoolAdministrativeSupportStaff","[P1Y]","2011","21699","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_ElementarySchoolCounselor","[P1Y]","2011","20926","[]"
"[US_NCES_Demographics]","[]","Count_Student_Black","[P1Y]","2011","21062","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_SchoolPsychologist","[P1Y]","2020","19316","[]"
"[US_NCES_Demographics]","[]","Count_Teacher_SecondaryTeacher","[P1Y]","2011","21629","[]"
"[US_NCES_Demographics]","[]","Percent_Student_AsAFractionOf_Count_Teacher","[P1Y]","2011","20097","[]"
"[US_NCES_Demographics]","[]","Count_Student_AdultEducation","[P1Y]","2015","1175","[]"
"[US_NCES_Demographics]","[]","Count_Teacher_Kindergarten","[P1Y]","2011","21477","[]"
"[US_NCES_Demographics]","[]","Count_Student_Female","[P1Y]","2011","21595","[]"
"[US_NCES_Demographics]","[]","Count_Student_Asian","[P1Y]","2011","21057","[]"
"[US_NCES_Demographics]","[]","Count_Student_PreKindergarten","[P1Y]","2011","14025","[]"
"[US_NCES_Demographics]","[]","Count_Student_TwoOrMoreRaces","[P1Y]","2011","21060","[]"
"[US_NCES_Demographics]","[]","Count_Teacher","[P1Y]","2011","21618","[]"
"[US_NCES_Demographics]","[]","Count_Student_HawaiianNativeOrPacificIslander","[P1Y]","2011","21051","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_LEAAdministrativeSupportStaff","[P1Y]","2011","21676","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_SchoolAdministrator","[P1Y]","2011","21724","[]"
"[US_NCES_Demographics]","[]","Count_Teacher_ElementaryTeacher","[P1Y]","2011","21672","[]"
"[US_NCES_Demographics]","[]","Count_Student_Kindergarten","[P1Y]","2011","18280","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_SecondarySchoolCounselor","[P1Y]","2011","20796","[]"
"[US_NCES_Demographics]","[]","Count_Faculty_ParaProfessionalsAidesOrInstructionalAide","[P1Y]","2011","21705","[]"
"[US_NCES_Demographics]","[]","Count_Student","[P1Y]","2011","21185","[]"
