name,sv,unit
FARM OPERATIONS - NUMBER OF OPERATIONS,dcs:Count_Farm,
FARM OPERATIONS - NUMBER OF OPERATIONS%%AREA OPERATED: (1.0 TO 9.9 ACRES),dcs:Count_Farm_1To9.9Acre,
FARM OPERATIONS - NUMBER OF OPERATIONS%%AREA OPERATED: (10.0 TO 49.9 ACRES),dcs:Count_Farm_10To49.9Acre,
FARM OPERATIONS - NUMBER OF OPERATIONS%%AREA OPERATED: (50 TO 179 ACRES),dcs:Count_Farm_50To179Acre,
FARM OPERATIONS - NUMBER OF OPERATIONS%%AREA OPERATED: (180 TO 499 ACRES),dcs:Count_Farm_180To499Acre,
FARM OPERATIONS - NUMBER OF OPERATIONS%%AREA OPERATED: (500 TO 999 ACRES),dcs:Count_Farm_500To999Acre,
"FARM OPERATIONS - NUMBER OF OPERATIONS%%AREA OPERATED: (1,000 OR MORE ACRES)",dcs:Count_1000OnwardsAcre,
FARM OPERATIONS - ACRES OPERATED,dcs:Area_Farm,dcs:Acre
"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",dcs:Mean_Area_Farm,dcs:Acre
"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",dcs:Median_Area_Farm,dcs:Acre
"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",dcs:Mean_MarketValue_Farm_LandAndBuildings,dcs:USDollarPerFarm
"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",dcs:Mean_MarketValue_Farm_LandAndBuildings,dcs:USDollarPerAcre
"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",dcs:MarketValue_Farm_MachinferyAndEquipment,dcs:USDollar
"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",dcs:Mean_MarketValue_Farm_MachineryAndEquipment,dcs:USDollarPerFarm
"AG LAND, CROPLAND - NUMBER OF OPERATIONS",dcs:Count_Farm_Cropland,
"AG LAND, CROPLAND - ACRES",dcs:Area_Farm_Cropland,dcs:Acre
"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",dcs:Count_Farm_HarvestedCropland,
"AG LAND, CROPLAND, HARVESTED - ACRES",dcs:Area_Farm_HarvestedCropland,dcs:Acre
"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",dcs:Count_Farm_IrrigatedLand,
"AG LAND, IRRIGATED - ACRES",dcs:Area_Farm_IrrigatedLand,dcs:Acre
"COMMODITY TOTALS - SALES, MEASURED IN $",dcs:MarketValue_Farm_AgriculturalProducts,dcs:USDollar
"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",dcs:Mean_MarketValue_Farm_AgriculturalProducts,dcs:USDollarPerFarm
"CROP TOTALS - SALES, MEASURED IN $",dcs:MarketValue_Farm_Crops,dcs:USDollar
"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",dcs:MarketValue_Farm_LivestockAndPoultry,dcs:USDollar
"COMMODITY TOTALS - OPERATIONS WITH SALES%%FARM SALES: (LESS THAN 2,500 $)",dcs:Count_Farm_Upto1000USDollar,
"COMMODITY TOTALS - OPERATIONS WITH SALES%%FARM SALES: (2,500 TO 4,999 $)",dcs:Count_Farm_2500To4999USDollar,
"COMMODITY TOTALS - OPERATIONS WITH SALES%%FARM SALES: (5,000 TO 9,999 $)",dcs:Count_Farm_5000To9999USDollar,
"COMMODITY TOTALS - OPERATIONS WITH SALES%%FARM SALES: (10,000 TO 24,999 $)",dcs:Count_Farm_10000To24999USDollar,
"COMMODITY TOTALS - OPERATIONS WITH SALES%%FARM SALES: (25,000 TO 49,999 $)",dcs:Count_Farm_25000To49999USDollar,
"COMMODITY TOTALS - OPERATIONS WITH SALES%%FARM SALES: (50,000 TO 99,999 $)",dcs:Count_Farm_50000To99999USDollar,
"COMMODITY TOTALS - OPERATIONS WITH SALES%%FARM SALES: (100,000 OR MORE $)",dcs:Count_Farm_100000OnwardsUSDollar,
"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",dcs:Count_Farm_ReceivedGovernmentPayment,
"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",dcs:MonetaryValue_Farm_GovernmentPayment,dcs:USDollar
"INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",dcs:Count_Farm_ReportedIncome,
"INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",dcs:Income_Farm,dcs:USDollar
"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",dcs:Expenses_Farm,dcs:USDollar
"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",dcs:Mean_Expenses_Farm,dcs:USDollarPerFarm
"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",dcs:Count_Farm_ReportedNetIncome,
"INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",dcs:NetMeasure_Income_Farm,dcs:USDollar
"INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",dcs:Mean_NetMeasure_Income_Farm,dcs:USDollarPerFarm
"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",dcs:Count_Farm_CattleAndCalves,
"CATTLE, INCL CALVES - INVENTORY",dcs:Count_FarmInventory_CattleAndCalves,
"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",dcs:Count_Farm_BeefCows,
"CATTLE, COWS, BEEF - INVENTORY",dcs:Count_FarmInventory_BeefCows,
"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",dcs:Count_Farm_MilkCows,
"CATTLE, COWS, MILK - INVENTORY",dcs:Count_FarmInventory_MilkCows,
"CATTLE, INCL CALVES - OPERATIONS WITH SALES",dcs:Count_Farm_InventorySold_CattleAndCalves,
"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",dcs:QuantitySold_FarmInventory_CattleAndCalves,
HOGS - OPERATIONS WITH INVENTORY,dcs:Count_Farm_HogsAndPigs,
HOGS - INVENTORY,dcs:Count_FarmInventory_HogsAndPigs,
HOGS - OPERATIONS WITH SALES,dcs:Count_Farm_InventorySold_HogsAndPigs,
"HOGS - SALES, MEASURED IN HEAD",dcs:QuantitySold_FarmInventory_HogsAndPigs,
"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",dcs:Count_Farm_SheepAndLambs,
"SHEEP, INCL LAMBS - INVENTORY",dcs:Count_FarmInventory_SheepAndLambs,
"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",dcs:Count_Farm_Layers,
"CHICKENS, LAYERS - INVENTORY",dcs:Count_FarmInventory_Layers,
"CHICKENS, BROILERS - OPERATIONS WITH SALES",dcs:Count_Farm_Broilers,
"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",dcs:Count_FarmInventory_Broilers,
"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_CornForGrain,
"CORN, GRAIN - ACRES HARVESTED",dcs:Area_Farm_CornForGrain,dcs:Acre
"CORN, GRAIN - PRODUCTION, MEASURED IN BU",dcs:Amout_FarmInventory_CornForGrain,dcs:Bushel
"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_CornForSilageOrGreenchop,
"CORN, SILAGE - ACRES HARVESTED",dcs:Area_Farm_CornForSilageOrGreenchop,dcs:Acre
"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",dcs:Amount_FarmInventory_CornForSilageOrGreenchop,dcs:Ton
WHEAT - OPERATIONS WITH AREA HARVESTED,dcs:Count_Farm_WheatForGrain,
WHEAT - ACRES HARVESTED,dcs:Area_Farm_WheatForGrain,dcs:Acre
"WHEAT - PRODUCTION, MEASURED IN BU",dcs:Amount_FarmInventory_WheatForGrain,dcs:Bushel
"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",dcs:Count_Farm_DurumWheatForGrain,
"WHEAT, SPRING, DURUM - ACRES HARVESTED",dcs:Area_Farm_DurumWheatForGrain,dcs:Acre
