CountryName,CountryCode,IndicatorName,IndicatorCode,year,Value
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2000,66960067.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2001,105970179.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2002,146344488.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2003,96577765.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2004,134093583.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2005,283048264.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2006,116660576.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2007,174277903.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2008,230508155.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2009,133901451.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2010,98143271.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2011,248653171.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2012,255454634.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2013,272227159.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2014,240390069.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2015,185501186.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2016,240874198.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2017,151264505.0
American Samoa,ASM,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,2018,194204168.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1960,2384.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1965,4170.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1970,7248.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1975,10843.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1980,13594.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1985,17073.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1990,21283.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,1995,23098.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,2000,24912.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,2005,24233.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,2010,23555.0
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,2015,23216.0
American Samoa,ASM,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,2006,98.25359
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1972,19.20833
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1973,19.872
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1974,19.136
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1975,18.984
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1976,20.0
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1977,20.816
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1978,20.76744
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1979,20.76744
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1980,20.76744
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1982,22.42424
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1983,21.421429999999997
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1984,21.04138
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1985,22.0604
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1986,16.46305
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1987,14.45175
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1988,13.8961
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1989,15.29817
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1990,15.481979999999998
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1991,15.5
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,1992,13.69549
American Samoa,ASM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1989,0.9817799999999999
American Samoa,ASM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1990,0.99911
American Samoa,ASM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1991,1.01606
American Samoa,ASM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1992,0.9944799999999999
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2002,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2003,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2004,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2005,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2006,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2007,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2008,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2009,0.0
American Samoa,ASM,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2010,0.0
