CountryName,CountryCode,IndicatorName,IndicatorCode,year,Value
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1960,425300000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1961,504200000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1962,486600000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1963,548200000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1964,621600000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1965,625800000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1966,685000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1967,784700000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1968,797200000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1969,890260000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1970,1034960000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1971,1304620000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1972,1605790000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1973,2129090000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1974,2656710000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1975,3175110000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1976,3310280000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1977,4397570000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1978,5680860000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1979,7171530000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1980,8497210000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1981,7682040000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1982,8029590000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1983,8590830000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1984,9638980000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1985,10321910000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1986,12664520000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1987,15997410000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1988,18767460128.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1989,20868636631.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1990,23767372478.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1991,24215087202.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1992,28131961332.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1993,29178193838.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1994,34051297351.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1995,43591904615.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1996,47362652018.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1997,52566991948.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1998,64507667691.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1999,71605224039.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2000,77039308017.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2001,82807078881.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2002,87923535419.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2003,92832079705.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2004,104748000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2005,109617000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2006,108771000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2007,121501000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2008,125634000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2009,115571000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2010,117566000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2011,127476000000.0
Ireland,IRL,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2012,118793000000.0
