CountryName,CountryCode,IndicatorName,IndicatorCode,year,Value
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2012,35.0
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2013,35.0
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2014,35.0
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2015,35.0
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2016,35.0
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2017,35.0
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2018,35.0
Libya,LBY,Time required to start a business (days),IC.REG.DURS,2019,35.0
Libya,LBY,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,2014,50.0
Libya,LBY,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,2015,50.0
Libya,LBY,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,2016,50.0
Libya,LBY,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,2017,50.0
Libya,LBY,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,2018,50.0
Libya,LBY,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,2019,50.0
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1990,30.4337202199145
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1991,28.4244516200868
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1992,28.7565244733256
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1993,32.2272824689241
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1994,32.4099528443865
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1995,32.5346441947566
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1996,23.6847290640394
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1997,22.0192239734257
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1998,24.562862972845696
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,1999,23.949418674337803
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2000,20.467299255178002
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2001,19.6148255813953
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2002,17.206673842841802
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2003,12.784057108863802
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2004,10.3399986065631
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2005,7.3843893302331605
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2006,6.56846450040167
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2007,6.20099476808296
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2008,7.26293083235639
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2009,10.7848770979419
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2010,9.33532510583491
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,2011,19.686389853810102
