CountryName,CountryCode,IndicatorName,IndicatorCode,year,Value
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1990,105591852.57594399
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1991,122984882.202863
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1992,150174569.609723
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1993,211583438.398676
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1994,244733696.03737003
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1995,300930361.433493
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1996,324677048.987454
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1997,366778224.789919
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1998,315106812.07445097
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1999,261854474.15765697
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2000,163427987.40435502
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2001,271243518.132439
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2002,258461191.53402
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2003,398534891.75516003
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2004,455598249.720846
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2005,389345823.97498304
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2006,505806195.766074
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2007,578566405.7691491
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2008,538567107.8004481
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2009,579543845.3610669
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2010,642812540.079358
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2011,744045430.490283
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2012,870041565.750639
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2013,527895071.806556
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2014,824798307.75985
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2015,785455079.613106
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2016,542035148.5050731
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2017,693639454.496117
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2018,727734208.386641
Namibia,NAM,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,2019,623421577.1859269
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2000,11.094370003229999
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2001,9.3863517652878
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2002,10.874075213520902
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2003,7.34744238382045
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2004,19.6799822966301
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2005,14.7892479543474
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2006,26.0325395114133
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2007,34.9949695723545
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2008,31.300994989261998
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2009,26.7738973623041
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2010,27.7620815446874
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2011,27.559835558741003
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2012,29.250185469130397
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2013,27.5068409556077
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2014,24.8310796857001
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2015,28.006660193664302
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2016,22.991637117774
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2017,22.5872272873287
Namibia,NAM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2018,30.3977186613495
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2000,87.2257793868553
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2001,86.6762175738478
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2002,79.1553455148643
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2003,81.5350528907933
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2004,86.83625899398041
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2005,84.60616191316609
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2006,83.687086340545
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2007,79.2800641655883
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2008,69.7953508427052
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2009,71.74641888909579
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2010,75.2976701330314
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2011,80.0984034351177
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2012,74.9401937321898
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2013,68.28459222981971
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2014,62.1931753607203
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2015,71.587170880113
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2016,69.44542981627279
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2017,66.98315757888221
Namibia,NAM,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,2018,60.4352554577299
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2000,6.907420954
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2001,4.8745626591
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2002,4.2191793441000005
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2003,5.4516154289
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2004,5.4638499061
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2005,4.8301339094
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2006,6.3004684876
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2007,4.7862371807
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2008,3.98747425
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2009,4.4205513456
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2010,3.5905383628
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2011,3.6223837083999997
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2012,3.1040939044
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2013,3.5133782628
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2014,3.0181968295
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2015,2.9796762166
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2016,3.0761441004
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2017,3.0828196925999998
Namibia,NAM,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,2018,2.7876855769
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2001,8.48
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2002,7.56
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2004,7.97
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2005,8.07
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2006,8.03
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2007,7.84
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2008,7.79
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2009,7.76
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2010,7.69
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2011,7.67
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2012,7.6
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2013,7.59
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2014,7.56
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2015,7.6
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2016,7.67
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2017,7.82
Namibia,NAM,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2018,7.87
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1995,90000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1996,89000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1997,99000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1998,88000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1999,89000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2000,86000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2001,71000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2002,65000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2003,101000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2004,123000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2005,108000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2006,118000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2007,132000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2008,114000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2009,40000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2010,42000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2011,55000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2012,53000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2013,47000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2014,67000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2015,71000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2016,82000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2017,73000000.0
Namibia,NAM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,2018,69000000.0
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1960,82.9232903819471
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1961,83.8093620394355
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1962,84.6746539684303
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1963,85.4597743368731
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1964,86.04098888752821
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1965,86.3750211321638
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1966,87.1800488539196
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1967,87.6554275783425
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1968,87.9226560146174
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1969,88.1808514921361
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1970,88.5454579002966
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1971,89.3530309603717
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1972,90.2893018957585
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1973,91.24584441134671
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1974,92.02182995439259
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1975,92.5138761675173
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1976,94.7363566179051
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1977,96.4833268693457
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1978,97.8860170359746
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1979,99.15156108144708
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1980,100.35857909482
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1981,100.980040346947
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1982,101.54877021225401
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1983,101.940472430266
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1984,102.01532306002301
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1985,101.761065597925
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1986,99.8507479526197
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1987,97.7865013625905
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1988,95.67205281026692
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1989,93.5911457133
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1990,91.5745719702338
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1991,91.0281757204372
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1992,90.32394860985649
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1993,89.49001860658942
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1994,88.558703158593
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1995,87.5336246412892
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1996,86.96341722482549
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1997,86.24530830805142
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1998,85.33940128886971
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,1999,84.16272348742709
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2000,82.6765922620259
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2001,81.5679379372004
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2002,80.2256515881854
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2003,78.74902497954841
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2004,77.32015585439208
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2005,76.0601375912628
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2006,74.5762711864407
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2007,73.4889318897495
Namibia,NAM,Age dependency ratio (% of working-age population),SP.POP.DPND,2008,72.64796660248179
