CountryName,CountryCode,IndicatorName,IndicatorCode,year,Value
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1980,72.56623884
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1981,59.79434061
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1982,52.49568416
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1983,55.1887713
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1984,53.84072656
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1985,50.96449749
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1986,56.66141259
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1987,44.35487503
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1988,45.69241162
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1989,37.34143962
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1990,43.646325899999994
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1991,44.13420401
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1992,44.84725662
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1993,54.91923741
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1994,63.34158973
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1995,56.17137028
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1996,60.82964978
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1997,82.14892894
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1998,83.37300238
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1999,85.34512071
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2000,100.0
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2001,97.38184291
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2002,101.8701122
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2003,106.3583815
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2004,112.3634818
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2005,116.21897309999999
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2006,126.0115607
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2007,136.50119009999997
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2008,157.8068684
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2009,131.4586875
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2010,152.9887793
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2011,180.4930296
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2012,181.5402924
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2013,186.70860249999998
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2014,180.2628358
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2015,187.3188614
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2016,184.2955762
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2017,195.85226819999997
El Salvador,SLV,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2018,200.76936569999998
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1976,12.379032258064498
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1977,13.1216526396327
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1978,10.9729334308705
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1979,25.4473161033797
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1980,24.565431288947202
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1981,24.7191011235955
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1982,16.4113785557987
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1983,16.7922159447583
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1984,12.961998958875599
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1985,10.6522183602535
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1986,17.1876690102758
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1987,24.9358602995945
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1988,11.3543386205412
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1989,9.96192497347232
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1990,7.51733837722489
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1991,7.168899626619821
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1992,6.234502302515071
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1993,6.23409669211195
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1994,5.951770138532571
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1995,6.39934084042844
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1996,6.21104663657856
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1997,5.18095810181709
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1998,6.9224148530677105
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1999,7.73978642108357
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2000,6.07643422999913
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2001,2.3947081972703703
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2002,2.6951151038742296
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2003,2.4055844382479
El Salvador,SLV,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2004,3.18569561617517
