CountryName,CountryCode,IndicatorName,IndicatorCode,year,Value
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2000,100.0
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2001,87.45968864
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2002,82.23157990000001
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2003,86.88615132
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2004,83.88661105
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2005,78.75556171
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2006,74.7502078
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2007,72.4430925
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2008,71.77646995
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2009,74.73760784
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2010,73.83680775
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2011,73.34046448
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2012,71.1412239
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2013,69.67604642
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2014,70.1009806
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2015,63.87580211
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2016,66.21216363
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2017,65.17236047
Turks and Caicos Islands,TCA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,2018,66.84076706
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,47.678999999999995
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,48.021
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,48.364
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,48.706
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,49.049
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,49.391999999999996
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,49.733999999999995
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,50.077
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,50.42
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,50.763000000000005
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,51.106
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,51.486999999999995
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,51.882
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,52.275
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,52.669
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,53.063
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,53.456
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,53.848
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,54.24
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,54.632
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,55.25899999999999
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,57.358000000000004
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,59.435
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,61.478
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,63.483999999999995
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,65.439
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,67.345
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,69.197
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,70.99
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,72.71600000000001
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,74.343
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,75.53699999999999
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,76.694
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,77.81
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,78.888
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,79.928
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,80.93
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,81.89
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,82.814
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,83.7
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,84.55
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,85.36200000000001
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,86.007
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,86.60799999999999
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,87.18799999999999
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,87.745
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,88.281
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,88.79700000000001
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,89.294
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,89.77
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,90.228
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,90.66799999999999
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,91.09
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,91.48299999999999
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,91.851
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,92.195
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,92.51700000000001
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,92.81700000000001
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,93.098
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,93.36
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1960,5824.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1961,5874.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1962,5884.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1963,5870.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1964,5848.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1965,5823.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1966,5791.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1967,5764.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1968,5744.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1969,5773.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1970,5841.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1971,5971.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1972,6157.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1973,6381.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1974,6606.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1975,6827.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1976,7015.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1977,7198.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1978,7385.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1979,7613.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1980,7888.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1981,8235.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1982,8654.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1983,9104.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1984,9556.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1985,9970.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1986,10357.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1987,10724.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1988,11093.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1989,11548.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1990,12111.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1991,12811.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1992,13632.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1993,14526.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1994,15407.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1995,16216.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1996,16926.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1997,17567.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1998,18232.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,1999,19065.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2000,20164.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2001,21573.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2002,23232.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2003,25011.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2004,26700.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2005,28180.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2006,29391.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2007,30385.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2008,31202.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2009,31934.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2010,32660.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2011,33377.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2012,34066.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2013,34731.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2014,35369.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2015,35981.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2016,36559.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2017,37115.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2018,37665.0
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,2019,38191.0
Turks and Caicos Islands,TCA,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,1960,69.1699981689453
Turks and Caicos Islands,TCA,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,1980,55.9900016784668
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,1975,0.0
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,1976,0.0
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,1981,0.9823200000000001
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,1999,1.09569
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,2001,15.31445
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,2002,22.92085
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,2003,37.23388
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,2015,22.42435
Turks and Caicos Islands,TCA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,2018,24.438589999999998
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1971,18.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1973,17.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1974,30.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1975,36.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1976,35.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1977,38.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1978,43.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1981,47.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1985,51.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1994,101.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,1999,121.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,2000,130.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,2003,146.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,2014,205.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,2015,210.0
Turks and Caicos Islands,TCA,"Secondary education, teachers",SE.SEC.TCHR,2018,230.0
Turks and Caicos Islands,TCA,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2017,25041.5615460552
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2011,734300574.535755
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2012,715722770.0
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2013,725494682.209869
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2014,774129555.7539821
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2015,820122689.221767
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2016,856205641.245692
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2017,892812420.944541
Turks and Caicos Islands,TCA,GDP (constant LCU),NY.GDP.MKTP.KN,2018,939971536.318184
Turks and Caicos Islands,TCA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2012,0.75618597776517
Turks and Caicos Islands,TCA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2013,2.10643691330465
Turks and Caicos Islands,TCA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2014,4.24221935868164
Turks and Caicos Islands,TCA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2015,2.35752149115542
Turks and Caicos Islands,TCA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2016,1.8808112129876
Turks and Caicos Islands,TCA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2017,-2.8722680053753002
Turks and Caicos Islands,TCA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2018,0.8826742709596691
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,79.52972754197121
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,80.256279672904
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,78.74558800763259
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,75.7807618255691
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,74.1934725910881
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,73.1614779308156
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,71.50674879147691
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,74.8426501429741
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,77.438700210412
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,80.8938988581446
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,83.4178681767808
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,82.8888426600287
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,81.9549823739714
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,81.30517105713241
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,78.8366950693021
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,77.21170072825271
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,76.7273265405142
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,75.5623630841952
Turks and Caicos Islands,TCA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,74.3879170508816
Turks and Caicos Islands,TCA,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,2010,81977290.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2000,4619730.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2001,4806540.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2002,3966830.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2003,5244940.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2004,6232120.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2005,6644470.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2006,7020480.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2007,6949980.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2008,4907150.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2009,4928070.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2010,4198360.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2011,4686400.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2012,3294000.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2013,4176860.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2014,4130580.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2015,4838480.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2016,5115860.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2017,5000670.0
Turks and Caicos Islands,TCA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2018,5243500.0
Turks and Caicos Islands,TCA,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,2011,1.6548510181
Turks and Caicos Islands,TCA,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,2012,1.8582597747999998
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1999,3.10902453531695
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2000,2.23184101677019
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2001,2.47033682274388
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2002,1.89408058574406
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2003,2.11964635926527
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2004,2.6906248140179403
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2011,1.3563130099155398
Turks and Caicos Islands,TCA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2012,1.2050494005583798
Turks and Caicos Islands,TCA,Refugee population by country or territory of asylum,SM.POP.REFG,2013,5.0
Turks and Caicos Islands,TCA,Refugee population by country or territory of asylum,SM.POP.REFG,2014,5.0
Turks and Caicos Islands,TCA,Refugee population by country or territory of asylum,SM.POP.REFG,2015,5.0
Turks and Caicos Islands,TCA,Refugee population by country or territory of asylum,SM.POP.REFG,2016,5.0
Turks and Caicos Islands,TCA,Refugee population by country or territory of asylum,SM.POP.REFG,2017,5.0
Turks and Caicos Islands,TCA,Refugee population by country or territory of asylum,SM.POP.REFG,2018,5.0
Turks and Caicos Islands,TCA,Refugee population by country or territory of asylum,SM.POP.REFG,2019,5.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2000,16.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2001,16.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2002,15.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2003,28.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2004,27.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2005,27.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2006,27.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2007,26.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2008,25.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2009,24.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2010,21.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2011,31.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2012,27.0
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2013,6.6
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,3.3
Turks and Caicos Islands,TCA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2015,6.4
