CountryName,CountryCode,IndicatorName,IndicatorCode,year,Value
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1980,95.39720758
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1981,87.99918572
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1982,71.87736182
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1983,55.04889195
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1984,50.85557981
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1985,50.04948862
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1986,32.42428709
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1987,34.21827873
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1988,33.03663562
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1989,36.92552841
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1990,45.86553603
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1991,46.44770001
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1992,39.57591882
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1993,38.89103379
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1994,43.67446551
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1995,57.42466074
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1996,58.48596163
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1997,59.50163781
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1998,52.82686008
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,1999,65.60575573
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2000,100.0
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2001,100.1403837
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2002,90.78146935
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2003,121.14202150000001
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2004,152.4848386
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2005,232.6079785
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2006,331.18156289999996
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2007,313.43577450000004
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2008,436.3693262
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2009,213.5229527
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2010,256.94148340000004
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2011,349.64670099999995
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2012,303.775854
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2013,438.577445
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2014,339.97196089999994
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2015,251.474029
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2016,178.59148340000002
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2017,214.155358
Trinidad and Tobago,TTO,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,2018,233.7388863
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1995,9.196278786030211
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1996,6.779850329498499
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1997,6.854103797544
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1998,5.28121282540736
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,1999,4.6100462656972905
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2000,8.43151693543962
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2001,13.869772367902
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2002,16.6666666666667
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2003,16.103586843280198
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2004,13.514804202483301
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2005,15.313172499716801
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2006,16.6313162819713
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2007,15.3753159687878
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2008,24.5235761733638
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2009,14.2405063291139
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2010,16.0451197053407
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2011,5.45039480617382
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2012,9.62213972376952
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2013,4.29406453728347
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2014,4.25187456961554
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2015,4.6378043853457696
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2016,5.725430013836861
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2017,6.24012766595508
Trinidad and Tobago,TTO,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2018,8.764940085817361
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1960,12.1067031463748
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1961,4.4086982424784
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1962,3.1710079275198195
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1963,3.5695258391049505
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1964,3.47682119205298
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1965,3.18296795952782
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1966,4.04283216783217
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1967,6.5661478599221805
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1968,7.21428571428571
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1969,9.73429403142226
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1970,13.071306394953199
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1971,17.6938763087412
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1972,16.6485765473591
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1973,4.61827268230191
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1974,1.4286100960887802
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1975,1.03139013452914
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1976,1.32880742709344
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1977,3.57727849551932
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1978,2.49345906881621
Trinidad and Tobago,TTO,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1979,3.46254867783557
