dcid,name
country/FXX,Metropolitan France
country/SWE,Sweden
country/CAF,Central African Republic
country/BLM,Saint Barthélemy
country/CHE,Switzerland
country/TKL,Tokelau
country/EST,Estonia
country/COL,Colombia
country/CAN,Canada
country/ESH,Western Sahara
country/ROU,Romania
country/YUG,Yugoslavia
country/NER,Niger
country/RWA,Rwanda
country/PYF,French Polynesia
country/GEL,Gilbert and Ellice Islands
country/LBR,Liberia
country/MWI,Malawi
country/CHL,Chile
country/BLZ,Belize
country/YEM,Yemen
country/ETH,Ethiopia
country/JEY,Jersey
country/KOR,South Korea
country/COM,Comoros
country/TON,Tonga
country/GAB,Gabon
country/LUX,Luxembourg
country/LIE,Liechtenstein
country/CRI,Costa Rica
country/USA,United States
country/CUW,Curaçao
country/JAM,Jamaica
country/HUN,Hungary
country/EGY,Egypt
country/SXM,Sint Maarten
country/STP,São Tomé and Príncipe
country/ALB,Albania
country/HVO,Upper Volta
country/TJK,Tajikistan
country/ARM,Armenia
country/NIC,Nicaragua
country/BGR,Bulgaria
country/PRT,Portugal
country/PRY,Paraguay
country/SDN,Sudan
country/ITA,Italy
country/CYP,Cyprus
country/BRB,Barbados
country/LBY,Libya
country/SGP,Singapore
country/COG,Congo [Republic]
country/BDI,Burundi
country/VAT,Vatican City
country/MUS,Mauritius
country/SRB,Serbia
country/DMA,Dominica
country/PRK,North Korea
country/GEO,Georgia
country/KEN,Kenya
country/IRN,Iran
country/NAM,Namibia
country/ZWE,Zimbabwe
country/GRC,Greece
country/BWA,Botswana
country/CTE,Canton and Enderbury Islands
country/ATG,Antigua and Barbuda
country/ERI,Eritrea
country/LBN,Lebanon
country/GNQ,Equatorial Guinea
country/MRT,Mauritania
country/MEX,Mexico
country/KNA,Saint Kitts and Nevis
country/SUR,Suriname
country/SVK,Slovakia
country/ECU,Ecuador
country/COK,Cook Islands
country/LVA,Latvia
country/NLD,Netherlands
country/TUN,Tunisia
country/FSM,Federated States of Micronesia
country/ABW,Aruba
country/SMR,San Marino
country/ARG,Argentina
country/IDN,Indonesia
country/MOZ,Mozambique
country/OMN,Oman
country/PAN,Panama
country/ATF,French Southern Territories
country/BIH,Bosnia and Herzegovina
country/ZMB,Zambia
country/XKS,Kosovo
country/KWT,Kuwait
country/SCG,Serbia and Montenegro
country/NOR,Norway
country/CZE,Czech Republic
country/BEN,Benin
country/FIN,Finland
country/MAR,Morocco
country/HTI,Haiti
country/MDG,Madagascar
country/ANT,Netherlands Antilles
country/CSK,Czechoslovakia
country/NGA,Nigeria
country/SYC,Seychelles
country/PNG,Papua New Guinea
country/DZA,Algeria
country/KGZ,Kyrgyzstan
country/TGO,Togo
country/SWZ,Eswatini
country/MDA,Moldova
country/IND,India
country/PER,Peru
country/MLT,Malta
country/BRN,Brunei
country/SOM,Somalia
country/WSM,Samoa
country/TWN,Taiwan
country/JPN,Japan
country/PAK,Pakistan
country/BES,"Bonaire, Sint Eustatius and Saba"
country/BLR,Belarus
country/HND,Honduras
country/SUN,Union of Soviet Socialist Republics
country/UKR,Ukraine
country/QAT,Qatar
country/ESP,Spain
country/BTN,Bhutan
country/BVT,Bouvet Island
country/BEL,Belgium
country/BRA,Brazil
country/SPM,Saint Pierre and Miquelon
country/PHL,Philippines
country/ISR,Israel
country/GMB,Gambia
country/GRD,Grenada
country/SAU,Saudi Arabia
country/SLE,Sierra Leone
country/MYS,Malaysia
country/AFI,French Afars and Issas
country/NZL,New Zealand
