,SV,time,geo,observation
0,Count_Person_Cities_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BE,80.8 u
1,Count_Person_Cities_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BE,74.6 u
2,Count_Person_Cities_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BE,77.8 u
3,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BE,80.9 u
4,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BE,72.5 u
5,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BE,77.0 u
6,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BE,78.2 u
7,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BE,73.9 u
8,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BE,76.1 u
9,Count_Person_Total_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Female,2014,BE,80.1 u
10,Count_Person_Total_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Male,2014,BE,73.8 u
11,Count_Person_Total_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Total,2014,BE,77.0 u
12,Count_Person_Cities_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BE,19.2 u
13,Count_Person_Cities_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BE,25.4 u
14,Count_Person_Cities_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BE,22.2 u
15,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BE,19.1 u
16,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BE,27.5 u
17,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BE,23.0 u
18,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BE,21.8 u
19,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BE,26.1 u
20,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BE,23.9 u
21,Count_Person_Total_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Total_Female,2014,BE,19.9 u
22,Count_Person_Total_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Total_Male,2014,BE,26.2 u
23,Count_Person_Total_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Total_Total,2014,BE,23.0 u
24,Count_Person_Cities_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BE,15.7 u
25,Count_Person_Cities_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BE,20.7 u
26,Count_Person_Cities_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BE,18.1 u
27,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BE,17.5 u
28,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BE,22.2 u
29,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BE,19.7 u
30,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BE,16.1 u
31,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BE,22.2 u
32,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BE,19.1 u
33,Count_Person_Total_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Total_Female,2014,BE,16.4 u
34,Count_Person_Total_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Total_Male,2014,BE,21.6 u
35,Count_Person_Total_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Total_Total,2014,BE,18.9 u
36,Count_Person_Cities_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BE,3.5 u
37,Count_Person_Cities_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BE,4.7 u
38,Count_Person_Cities_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BE,4.1 u
39,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BE,1.6 u
40,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BE,5.3 u
41,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BE,3.3 u
42,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BE,5.7 u
43,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BE,3.9 u
44,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BE,4.8 u
45,Count_Person_Total_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Total_Female,2014,BE,3.5 u
46,Count_Person_Total_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Total_Male,2014,BE,4.7 u
47,Count_Person_Total_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Total_Total,2014,BE,4.1 u
48,Count_Person_Cities_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BG,68.1 
49,Count_Person_Cities_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BG,56.3 
50,Count_Person_Cities_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BG,62.5 
51,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BG,73.0 
52,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BG,57.2 
53,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BG,65.4 
54,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BG,80.0 
55,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BG,56.8 
56,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BG,68.7 
57,Count_Person_Total_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Female,2014,BG,73.2 
58,Count_Person_Total_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Male,2014,BG,56.7 
59,Count_Person_Total_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Total,2014,BG,65.2 
60,Count_Person_Cities_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BG,31.9 
61,Count_Person_Cities_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BG,43.7 
62,Count_Person_Cities_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BG,37.5 
63,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BG,27.0 
64,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BG,42.8 
65,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BG,34.6 
66,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BG,20.0 
67,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BG,43.2 
68,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BG,31.3 
69,Count_Person_Total_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Total_Female,2014,BG,26.8 
70,Count_Person_Total_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Total_Male,2014,BG,43.3 
71,Count_Person_Total_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Total_Total,2014,BG,34.8 
72,Count_Person_Cities_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BG,24.2 
73,Count_Person_Cities_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BG,36.5 
74,Count_Person_Cities_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BG,30.1 
75,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BG,20.2 
76,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BG,35.4 
77,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BG,27.5 
78,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BG,16.3 
79,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BG,36.9 
80,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BG,26.4 
81,Count_Person_Total_Female_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Total_Female,2014,BG,20.7 
82,Count_Person_Total_Male_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Total_Male,2014,BG,36.4 
83,Count_Person_Total_Total_Smoking_TobaccoProducts_DailySmoker_AsAFractionOf_Count_Person_Total_Total,2014,BG,28.2 
84,Count_Person_Cities_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,BG,7.7 
85,Count_Person_Cities_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,BG,7.2 
86,Count_Person_Cities_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,BG,7.5 
87,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,BG,6.8 
88,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,BG,7.5 
89,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,BG,7.1 
90,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,BG,3.7 
91,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,BG,6.3 
92,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,BG,4.9 
93,Count_Person_Total_Female_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Total_Female,2014,BG,6.2 
94,Count_Person_Total_Male_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Total_Male,2014,BG,7.0 
95,Count_Person_Total_Total_Smoking_TobaccoProducts_OccasionalSmoker_AsAFractionOf_Count_Person_Total_Total,2014,BG,6.5 
96,Count_Person_Cities_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,CZ,76.0 
97,Count_Person_Cities_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,CZ,67.1 
98,Count_Person_Cities_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,CZ,71.8 
99,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,CZ,75.2 
100,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,CZ,64.4 
101,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,CZ,69.8 
102,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,CZ,80.2 
103,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,CZ,64.0 
104,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,CZ,72.2 
105,Count_Person_Total_Female_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Female,2014,CZ,77.4 
106,Count_Person_Total_Male_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Male,2014,CZ,65.0 
107,Count_Person_Total_Total_Smoking_TobaccoProducts_NonSmoker_AsAFractionOf_Count_Person_Total_Total,2014,CZ,71.3 
108,Count_Person_Cities_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Female,2014,CZ,24.0 
109,Count_Person_Cities_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Male,2014,CZ,32.9 
110,Count_Person_Cities_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Cities_Total,2014,CZ,28.2 
111,Count_Person_TownsAndSuburbs_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Female,2014,CZ,24.8 
112,Count_Person_TownsAndSuburbs_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Male,2014,CZ,35.6 
113,Count_Person_TownsAndSuburbs_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_TownsAndSuburbs_Total,2014,CZ,30.2 
114,Count_Person_RuralAreas_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Female,2014,CZ,19.8 
115,Count_Person_RuralAreas_Male_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Male,2014,CZ,36.0 
116,Count_Person_RuralAreas_Total_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_RuralAreas_Total,2014,CZ,27.8 
117,Count_Person_Total_Female_Smoking_TobaccoProducts_CurrentSmoker_AsAFractionOf_Count_Person_Total_Female,2014,CZ,22.6 
