key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,populationType,Person,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value,,,,
"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Unemployment rate in the reference week of people aged 14 or over,AlternateName1,Taxa de desocupação na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-name,-alternateName",,,employmentStatus,Unemployed,,,,,,,,
"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Coefficient of variation - Unemployment rate in the reference week of people aged 14 or over,AlternateName1,Coeficiente de variação - Taxa de desocupação na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-statType,-name,-alternateName",statType,coefficientOfVariationValue,employmentStatus,Unemployed,,,,,,,,
"Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Combined unemployment and underemployment rate due to insufficient hours worked in the reference week of people aged 14 and over,AlternateName1,Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-name,-alternateName,-laborCondition",,,employmentStatus,Unemployed__Underemployed,laborCondition,WorkedInsufficientHour,,,,,,
"Coeficiente de variação - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Coefficient of variation - Combined unemployment and underemployment rate due to insufficient hours worked in the reference week for people aged 14 or over,AlternateName1,Coeficiente de variação - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-statType,-name,-alternateName,-laborCondition",statType,coefficientOfVariationValue,employmentStatus,Unemployed__Underemployed,laborCondition,WorkedInsufficientHour,,,,,,
"Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Combined unemployment rate and potential labour force in the reference week of persons aged 14 and over,AlternateName1,Taxa combinada de desocupação e força de trabalho potencial na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-name,-alternateName",,,employmentStatus,Unemployed__InLaborForce,,,,,,,,
"Coeficiente de variação - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Coefficient of variation - Combined unemployment rate and potential labor force in the reference week of people aged 14 and over,AlternateName1,Coeficiente de variação - Taxa combinada de desocupação e força de trabalho potencial na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-statType,-name,-alternateName",statType,coefficientOfVariationValue,employmentStatus,Unemployed__InLaborForce,,,,,,,,
"Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Composite rate of underutilization of the labor force in the reference week of people aged 14 years and over,AlternateName1,Taxa composta de subutilização da força de trabalho na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-name,-alternateName",,,employmentStatus,Underemployed,,,,,,,,
"Coeficiente de variação - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",Name1,Coefficient of variation - Composite rate of underutilization of the workforce in the reference week of people aged 14 or over,AlternateName1,Coeficiente de variação - Taxa composta de subutilização da força de trabalho na semana de referência das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-employmentStatus,-statType,-name,-alternateName",statType,coefficientOfVariationValue,employmentStatus,Underemployed,,,,,,,,
Total,value,{Number},#ignore,"ignore, mapped in 6483",,,,,,,,,,,,,,,,,,
