key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,,,,,,
Referência,observationDate,{Data},observationAbout,country/BRA,benefitProgram,Brazil_AuxilioBrasilProgram,measuredProperty,amount,populationType,HouseHold,observationPeriod,P1M,measurementQualifier,Monthly,unit,BRL
Valor Total Repassado de Benefícios Primeira Infância (BPI),value,{Number},benefitType,EarlyChildhoodBenefit,,,name,"""Total amount transferred for early childhood benefits under the Auxílio Brasil program.""",alternateName,"""Valor total repassado para benefícios de primeira infância do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Composição Familiar - Criança (BCC),value,{Number},benefitType,FamilyCompositionBenefit,,,name,"""Total amount transferred for family composition benefits under the Auxílio Brasil program.""",alternateName,"""Valor total transferido para benefícios de composição familiar no âmbito do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Composição Familiar - Adolescente (BCA),value,{Number},benefitType,FamilyCompositionBenefit,beneficiaryType,Adolescents,name,"""Total amount transferred for adolescents family composition benefits under the Auxílio Brasil program.""",alternateName,"""Valor total transferido para benefícios de composição familiar de adolescentes no âmbito do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Composição Familiar - Jovem (BCJ),value,{Number},benefitType,FamilyCompositionBenefit,benefiecieryType,Young,name,"""Total amount transferred for young family composition benefits under the Auxílio Brasil program.""",alternateName,"""Valor total transferido para benefícios de composição familiar jovem no âmbito do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Composição Familiar - Gestante (BCG),value,{Number},benefitType,FamilyCompositionBenefit,benefiecieryType,PregnantWomen,name,"""Total amount transferred for pregnant women, family composition benefits under the Auxílio Brasil program.""",alternateName,"""Valor total transferido para gestantes, benefícios de composição familiar do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Composição Familiar - Nutriz (BCN),value,{Number},benefitType,FamilyCompositionBenefit,benefiecieryType,NursingMothers,name,"""Total amount transferred for nursing mothers, family composition benefits under the Auxílio Brasil program.""",alternateName,"""Valor total repassado para nutrizes, benefícios de composição familiar do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios para Superação da Extrema Pobreza (BSP),value,{Number},benefitType,OvercomingExtremePovertyBenefit,,,name,"""Total amount transferred for overcoming extreme poverty benefits under the Auxílio Brasil program.""",alternateName,"""Valor total repassado para benefícios de superação da pobreza extrema no âmbito do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Compensatórios Transitórios (BCOMP),value,{Number},benefitType,TransitionalCompensatoryBenefit,,,name,"""Total amount transferred for transitional compensatory benefits under the Auxílio Brasil program.""",alternateName,"""Valor total transferido para benefícios compensatórios transitórios no âmbito do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Extraordinários (EXT),value,{Number},benefitType,ExtraordinaryBenefit,,,name,"""Total amount transferred for extraordinary benefits under the Auxílio Brasil program.""",alternateName,"""Valor total transferido para benefícios extraordinários do programa Auxílio Brasil@pt""",,,,,,
Valor Total Repassado de Benefícios Adicionais Complementares (BCOMPL),value,{Number},benefitType,AdditionalComplementaryBenefit,,,name,"""Total amount transferred for additional complementary benefits under the Auxílio Brasil program.""",alternateName,"""Valor total repassado para benefícios complementares adicionais do programa Auxílio Brasil@pt""",,,,,,
