key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,,
Referência,observationDate,{Data},populationType,Person,benefitProgram,Brazil_BolsaFamilyProgram,age,[16 17 Years],observationPeriod,P2M,,,,,,
Código,observationAbout,{Data},,,,,,,,,,,,,,
Total de beneficiários com perfil educação (16 e 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,Education,,,,,,,name,"""Number of beneficiaries between 16 and 17 years old with an education profile in Bachelor of Computer Applications (BCA) program""",alternateName,"""Total de beneficiários com perfil educação (16 e 17 anos)@pt"""
Total de beneficiários acompanhados pela educação (16 e 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,AccompaniedByEducation,,,,,,,name,"""Total number of beneficiaries aged 16-17 years old who are enrolled in a Bachelor of Computer Applications (BCA) program.""",alternateName,"""Total de beneficiários acompanhados pela educação (16 e 17 anos)@pt"""
Percentual de beneficiários acompanhados pela educação (16 e 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,AccompaniedByEducation,measurementDenominator,"-beneficiariesProfile,-name,-alternateName",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries aged 16-17 enrolled in a Bachelor of Computer Applications (BCA) program""",alternateName,"""Percentual de beneficiários acompanhados pela educação (16 e 17 anos)@pt"""
Total de beneficiários acompanhados com frequência acima da exigida (16 a 17 anos - 75%) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredMoreFrequentlyThanRequired,,,,,,,name,"""Total number of beneficiaries aged 16-17 who were monitored for education attendance with a frequency above the required 75%""",alternateName,"""Total de beneficiários acompanhados com frequência acima da exigida (16 a 17 anos - 75%)@pt"""
Total de Beneficiários acompanhados com frequência abaixo da exigida (16 a 17 anos - 75%) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredBelowFrequentlyThanRequired,,,,,,,name,"""Total number of beneficiaries aged 16-17 who were monitored for education attendance with a frequency below the required 75%""",alternateName,"""Total de Beneficiários acompanhados com frequência abaixo da exigida (16 a 17 anos - 75%)@pt"""
Percentual de beneficiários acompanhados com frequência acima da exigida (16 a 17 anos - 75%) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredMoreFrequentlyThanRequired,measurementDenominator,"-beneficiariesProfile,-name,-alternateName",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries aged 16-17 who were monitored for education attendance with a frequency above the required 75%""",alternateName,"""Percentual de beneficiários acompanhados com frequência acima da exigida (16 a 17 anos - 75%)"
Total de beneficiários sem informação de frequência escolar (16 a 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredWithoutSchoolAttendance,,,,,,,name,"""Total number of beneficiaries aged 16-17 with no information on school attendance""",alternateName,"""Total de beneficiários sem informação de frequência escolar (16 a 17 anos)@pt"""
Percentual de beneficiários sem informação de frequência escolar (16 a 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredWithoutSchoolAttendance,measurementDenominator,"-beneficiariesProfile,-name,-alternateName",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries aged 16-17 with no information on school attendance""",alternateName,"""Percentual de beneficiários sem informação de frequência escolar (16 a 17 anos)@pt"""
Total de beneficiários localizados no acompanhamento pela educação mas sem informação de frequência (16 a 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredEducationWithoutFrequency,,,,,,,name,"""Total number of beneficiaries aged 16-17 identified for education monitoring but with no school attendance information""",alternateName,"""Total de beneficiários localizados no acompanhamento pela educação mas sem informação de frequência (16 a 17 anos)@pt"""
Total de beneficiários não localizados no acompanhamento pela educação (16 e 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredWithoutEducation,,,,,,,name,"""Total beneficiaries not located in education monitoring (16 and 17 years old) - Bachelor of Computer Applications (BCA) program""",alternateName,"""Total de beneficiários não localizados no acompanhamento pela educação (16 e 17 anos)@pt"""
Percentual de beneficiários não localizados no acompanhamento pela educação (16 e 17 anos) - BCA,value,{Number},populationType,Person,beneficiariesProfile,MonitoredWithoutEducation,measurementDenominator,"-beneficiariesProfile,-name,-alternateName",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries aged 16-17 who could not be located for education monitoring""",alternateName,"""Percentual de beneficiários não localizados no acompanhamento pela educação (16 e 17 anos)@pt"""
