key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,,
Referência,observationDate,{Data},populationType,Household,benefitsStatus,Benefited,benefitProgram,Brazil_BolsaFamilyProgram,measuredProperty,count,observationPeriod,P6M
Código,observationAbout,{Data},,,,,,,,,,
Total de repercussões por descumprimento de condicionalidades (BF),value,{Number},benefitsStatus,NonComplianceWithConditionalities,householdType,BolsaFamily,name,"""Total impact of Bolsa Família conditionality non-compliance""",alternateName,"""Total de repercussões por descumprimento de condicionalidades@pt""",,
Total de advertências (BF),value,{Number},benefitsStatus,Warning,householdType,BolsaFamily,name,"""Total number of fraud warnings issued in the Brazil Bolsa Família program""",alternateName,"""Total de advertências@pt""",,
Total de bloqueios (BF),value,{Number},benefitsStatus,Blocked,householdType,BolsaFamily,name,"""Total number of families suspended from the Brazil Bolsa Família program""",alternateName,"""Total de bloqueios@pt""",,
Total de suspensões (BF),value,{Number},benefitsStatus,Suspended,householdType,BolsaFamily,name,"""Total number of families with benefits temporarily suspended in the Bolsa Família program""",alternateName,"""Total de suspensões@pt""",,
Total de cancelamentos (BF),value,{Number},benefitsStatus,Cancelled,householdType,BolsaFamily,name,"""Total number of families whose benefits were permanently cancelled in the Bolsa Família program""",alternateName,"""Total de cancelamentos@pt""",,
Total de repercussões por descumprimento de condicionalidades (BVA),value,{Number},benefitsStatus,NonComplianceWithConditionalities,householdType,BolsaVerdeAmazonia,name,"""Total repercussions for non-compliance with conditionalities (BolsaFamily)""",alternateName,"""Total de repercussões por descumprimento de condicionalidades@pt""",,
Total de advertências (BVA),value,{Number},benefitsStatus,Warning,householdType,BolsaVerdeAmazonia,name,"""Total number of fraud warnings issued in the Bolsa Verde Amazonia program""",alternateName,"""Total de advertências@pt""",,
Total de bloqueios (BVA),value,{Number},benefitsStatus,Blocked,householdType,BolsaVerdeAmazonia,name,"""Total number of families suspended from the Bolsa Verde Amazonia program""",alternateName,"""Total de bloqueios@pt""",,
Total de suspensões (BVA),value,{Number},benefitsStatus,Suspended,householdType,BolsaVerdeAmazonia,name,"""Total number of families with benefits temporarily suspended in the Bolsa Verde Amazonia program""",alternateName,"""Total de suspensões@pt""",,
Total de cancelamentos (BVA),value,{Number},benefitsStatus,Cancelled,householdType,BolsaVerdeAmazonia,name,"""Total number of families whose benefits were permanently cancelled in the Bolsa Verde Amazonia program""",alternateName,"""Total de cancelamentos@pt""",,
