observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
country/BRA,2012-01,66,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
country/BRA,2012-01,403,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
country/BRA,2012-01,8,dcid:Count_Person_BrazilRuralDevelopmentProgram_FishingFamily,,
country/BRA,2012-01,5,dcid:Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily,,
country/BRA,2012-02,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_IndigenousFamily,,
country/BRA,2012-02,20,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
country/BRA,2012-02,1064,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
country/BRA,2012-02,10,dcid:Count_Person_BrazilRuralDevelopmentProgram_FishingFamily,,
country/BRA,2012-02,2,dcid:Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily,,
country/BRA,2012-02,6,dcid:Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily,,
country/BRA,2012-02,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_CampFamily,,
country/BRA,2012-03,19,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
country/BRA,2012-03,471,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
country/BRA,2012-03,32,dcid:Count_Person_BrazilRuralDevelopmentProgram_FishingFamily,,
country/BRA,2012-03,12,dcid:Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily,,
country/BRA,2012-03,7,dcid:Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily,,
country/BRA,2012-03,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_PrisonersInPrisonSystem,,
