observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
country/BRA,2023-08,1000,dcid:Count_Household_RomaFamily_ReceivedFoodBasket,,
country/BRA,2023-08,1000,dcid:Count_FoodBasket_RomaFamily_DestinedFoodBasket,,
country/BRA,2023-09,1000,dcid:Count_Household_RomaFamily_ReceivedFoodBasket,,
country/BRA,2023-09,1000,dcid:Count_FoodBasket_RomaFamily_DestinedFoodBasket,,
country/BRA,2023-09,1000,dcid:Count_FoodBasket_RomaFamily_DeliveredFoodBasket,,
country/BRA,2023-09,21500,dcid:Count_Food_RomaFamily,Kilogram,
country/BRA,2023-09,100,dcid:Count_FoodBasket_RomaFamily_DeliveredFoodBasket_AsAFractionOf_Count_Household_RomaFamily_ReceivedFoodBasket,Percent,
country/BRA,2023-10,1000,dcid:Count_Household_RomaFamily_ReceivedFoodBasket,,
country/BRA,2023-10,1000,dcid:Count_FoodBasket_RomaFamily_DestinedFoodBasket,,
country/BRA,2023-11,1000,dcid:Count_Household_RomaFamily_ReceivedFoodBasket,,
country/BRA,2023-11,1000,dcid:Count_FoodBasket_RomaFamily_DestinedFoodBasket,,
